pXC50,Sp,nC,nBO,nAT,nBT,nSK,SCBO,Sv,MW,X.,nF,nH,Si,nCsp3,Se,O.,RBN,nN,N.,Mv,nHet,nCsp2,nDB,Mi,H.,nAB,AMW,Mp,RBF,nBM
8.301,54.887,34,43,87.0,91.0,39,50.0,50.304,532.84,0.0,0,48,98.174,21,85.508,3.4,11,2,2.3,0.578,5,13,1,1.128,55.2,12,6.125,0.631,0.121,13
8.301,53.126,33,42,84.0,88.0,38,49.0,48.777,518.81,0.0,0,46,94.759,20,82.625,3.6,10,2,2.4,0.581,5,13,1,1.128,54.8,12,6.176,0.632,0.114,13
8.398,54.887,34,43,87.0,91.0,39,50.0,50.304,532.84,0.0,0,48,98.174,21,85.508,3.4,11,2,2.3,0.578,5,13,1,1.128,55.2,12,6.125,0.631,0.121,13
4.93,17.818,12,15,26.0,27.0,14,21.0,16.677,184.26,0.0,0,12,29.073,2,25.622,0.0,1,2,7.7,0.641,2,10,0,1.118,46.2,12,7.087,0.685,0.037,12
8.444,62.41,40,50,97.0,102.0,45,60.0,57.357,608.94,0.0,0,52,109.005,21,95.276,3.1,13,2,2.1,0.591,5,19,1,1.124,53.6,18,6.278,0.643,0.127,19
9.097,50.841,33,42,78.0,82.0,38,52.0,47.196,512.75,0.0,0,40,87.514,14,76.974,3.8,10,2,2.6,0.605,5,19,1,1.122,51.3,18,6.574,0.652,0.122,19
8.222,43.319,27,35,68.0,71.0,32,42.0,40.143,436.65,0.0,0,36,76.683,14,67.207,4.4,9,2,2.9,0.59,5,13,1,1.128,52.9,12,6.421,0.637,0.127,13
8.523,45.08,28,36,71.0,74.0,33,43.0,41.67,450.68,0.0,0,38,80.098,15,70.09,4.2,9,2,2.8,0.587,5,13,1,1.128,53.5,12,6.348,0.635,0.122,13
9.699,52.671,33,41,83.0,87.0,37,48.0,48.062,502.81,0.0,0,46,93.55,20,81.297,2.4,10,2,2.4,0.579,4,13,1,1.127,55.4,12,6.058,0.635,0.115,13
7.0,53.126,33,42,84.0,88.0,38,49.0,48.777,518.81,0.0,0,46,94.759,20,82.625,3.6,10,2,2.4,0.581,5,13,1,1.128,54.8,12,6.176,0.632,0.114,13
9.0,53.433,33,41,85.0,89.0,37,47.0,48.589,504.83,0.0,0,48,95.965,21,83.181,2.4,10,2,2.4,0.572,4,12,0,1.129,56.5,12,5.939,0.629,0.112,12
8.398,47.324,30,39,74.0,78.0,35,46.0,43.865,478.71,1.4,1,39,83.644,17,73.159,2.7,7,2,2.7,0.593,5,13,1,1.13,52.7,12,6.469,0.64,0.09,13
9.398,56.859,34,46,90.0,95.0,41,54.5,52.169,557.89,0.0,0,49,102.126,21,88.436,1.1,10,6,6.7,0.58,7,13,0,1.135,54.4,17,6.199,0.632,0.105,17
9.0,53.433,33,41,85.0,89.0,37,47.0,48.589,504.83,0.0,0,48,95.965,21,83.181,2.4,10,2,2.4,0.572,4,12,0,1.129,56.5,12,5.939,0.629,0.112,12
6.955,53.279,33,48,81.0,85.0,44,63.5,50.911,595.77,0.0,0,37,91.554,11,81.276,4.9,14,7,8.6,0.629,11,22,4,1.13,45.7,23,7.355,0.658,0.165,27
7.602,50.876,33,43,77.0,81.0,39,56.0,47.471,522.75,0.0,0,38,86.47,11,76.083,2.6,12,4,5.2,0.617,6,22,2,1.123,49.4,22,6.789,0.661,0.148,24
7.602,48.16,29,39,71.0,75.0,35,49.5,43.802,508.81,0.0,0,36,79.314,13,70.032,2.8,9,2,2.8,0.617,6,16,2,1.117,50.7,17,7.166,0.678,0.12,19
8.301,61.074,39,53,93.0,98.0,48,68.0,57.502,647.89,0.0,0,45,104.633,14,92.49,4.3,14,5,5.4,0.618,9,25,4,1.125,48.4,22,6.967,0.657,0.143,26
8.155,59.313,38,52,90.0,95.0,47,67.0,55.975,633.86,0.0,0,43,101.218,13,89.607,4.4,14,5,5.6,0.622,9,25,4,1.125,47.8,22,7.043,0.659,0.147,26
7.503,54.194,33,46,82.0,86.0,42,59.0,50.614,588.84,0.0,0,40,92.224,12,81.698,4.9,11,4,4.9,0.617,9,21,4,1.125,48.8,18,7.181,0.661,0.128,22
6.602,47.966,31,41,71.0,75.0,37,52.0,44.75,516.13,1.4,0,34,79.501,11,70.421,2.8,9,3,4.2,0.63,6,20,2,1.12,47.9,18,7.269,0.676,0.12,20
6.475,53.279,33,48,81.0,85.0,44,63.5,50.911,595.77,0.0,0,37,91.554,11,81.276,4.9,14,7,8.6,0.629,11,22,4,1.13,45.7,23,7.355,0.658,0.165,27
8.0,53.79,34,47,82.0,86.0,43,62.0,50.922,581.78,0.0,0,39,92.388,12,81.839,4.9,13,5,6.1,0.621,9,22,4,1.127,47.6,22,7.095,0.656,0.151,26
7.796,48.983,29,43,73.0,76.0,40,55.5,46.523,586.57,2.7,0,33,82.445,11,73.72,5.5,13,5,6.8,0.637,11,18,4,1.129,45.2,17,8.035,0.671,0.171,21
7.553,46.512,28,41,72.0,75.0,38,53.5,44.363,518.68,0.0,0,34,81.64,11,72.29,5.6,13,6,8.3,0.616,10,17,4,1.134,47.2,17,7.204,0.646,0.173,21
6.951,52.637,34,44,80.0,84.0,40,57.0,48.998,536.78,0.0,0,40,89.886,12,78.967,2.5,12,4,5.0,0.612,6,22,2,1.124,50.0,22,6.71,0.658,0.143,24
8.469,44.563,26,37,66.0,69.0,34,45.0,41.27,547.97,3.0,0,32,74.426,12,65.869,3.0,5,4,6.1,0.625,8,14,2,1.128,48.5,12,8.303,0.675,0.072,14
8.959,47.228,28,38,72.0,75.0,35,46.0,43.496,541.59,1.4,0,37,81.312,15,71.312,2.8,6,4,5.6,0.604,7,13,2,1.129,51.4,12,7.522,0.656,0.08,14
8.699,59.171,37,52,89.0,94.0,47,66.0,55.803,656.29,1.1,0,42,100.162,14,88.93,4.5,13,5,5.6,0.627,10,23,3,1.125,47.2,22,7.374,0.665,0.138,25
8.523,48.921,29,38,73.0,76.0,35,48.5,44.329,510.83,0.0,0,38,81.729,13,71.916,2.7,12,2,2.7,0.607,6,16,2,1.12,52.1,17,6.998,0.67,0.158,19
7.745,45.921,27,38,70.0,73.0,35,47.0,42.684,543.56,1.4,0,35,79.106,14,69.756,4.3,5,4,5.7,0.61,8,13,3,1.13,50.0,12,7.765,0.656,0.068,15
7.268,43.455,27,35,65.0,68.0,32,43.0,39.926,497.52,1.5,0,33,72.9,13,64.225,3.1,4,2,3.1,0.614,5,14,2,1.122,50.8,12,7.654,0.669,0.059,14
7.569,52.029,33,46,79.0,83.0,42,61.0,49.395,567.75,0.0,0,37,88.972,11,78.956,5.1,13,5,6.3,0.625,9,22,4,1.126,46.8,22,7.187,0.659,0.157,26
7.209,43.762,27,34,66.0,69.0,31,41.0,39.738,483.54,1.5,0,35,74.106,14,64.781,1.5,4,2,3.0,0.602,4,13,1,1.123,53.0,12,7.326,0.663,0.058,13
6.444,49.932,33,40,76.0,80.0,36,50.0,45.767,480.75,0.0,0,40,85.095,14,74.319,1.3,5,2,2.6,0.602,3,19,1,1.12,52.6,18,6.326,0.657,0.063,19
7.167,43.268,27,34,66.0,69.0,31,41.0,39.541,439.09,1.5,0,35,74.208,14,64.876,1.5,4,2,3.0,0.599,4,13,1,1.124,53.0,12,6.653,0.656,0.058,13
6.81,44.626,28,35,70.0,73.0,32,42.0,40.955,434.68,0.0,0,38,78.889,15,68.763,2.9,5,2,2.9,0.585,4,13,1,1.127,54.3,12,6.21,0.638,0.068,13
7.35,50.972,33,45,75.0,80.0,40,58.0,47.771,555.17,1.3,0,35,83.999,11,74.523,2.7,9,4,5.3,0.637,7,22,2,1.12,46.7,22,7.402,0.68,0.113,24
7.481,45.069,27,34,66.0,69.0,31,41.0,40.03,530.54,1.5,0,35,73.985,14,64.621,1.5,4,2,3.0,0.607,4,13,1,1.121,53.0,12,8.038,0.683,0.058,13
