pXC50,Se,Sp,Sv,nAT,nBT,nC
7.699,34.265,24.102,22.966,34,35,16
4.699,25.171,18.125,17.198,25,26,12
6.886,27.269,18.727,18.815,26,27,12
6.538,27.269,18.727,18.815,26,27,12
5.553,23.615,16.818,16.386,23,24,11
6.759,37.149,25.012,23.813,37,38,15
7.699,35.596,23.154,22.568,35,36,15
7.699,34.825,23.006,21.665,35,36,15
5.523,38.905,27.79,26.368,38,39,17
6.31,34.164,25.097,23.945,34,36,18
4.699,38.585,27.352,26.482,38,40,18
7.699,38.469,24.307,24.492,37,38,15
7.699,35.92,24.011,23.396,35,36,15
5.699,39.476,27.318,26.208,39,40,18
7.699,35.593,24.557,23.681,35,36,16
5.699,39.8,28.176,27.035,39,40,18
6.553,38.48,24.915,24.095,38,39,16
4.699,43.36,30.08,28.735,43,45,20
7.699,24.396,17.574,16.891,24,25,12
6.87,29.498,21.58,20.913,29,31,15
6.015,43.538,29.733,27.943,43,45,17
7.237,35.582,23.949,24.078,34,36,15
6.648,43.462,29.085,27.756,43,45,18
7.387,30.28,22.335,21.418,30,32,16
7.523,29.142,20.006,20.395,27,28,13
4.699,39.149,27.864,26.493,39,41,19
4.699,42.022,29.017,28.417,41,43,19
7.699,27.593,19.585,19.643,26,27,12
4.699,40.367,29.108,27.988,40,42,20
5.699,54.902,39.154,37.095,55,59,27
7.762,25.044,19.29,18.546,24,25,12
