pXC50,nCsp2,nBM,SCBO,nCL,nBO,nC,Mi,Sv,MW,nO,Sp,nAB,nSK,nBT,Se,N.,O.,nHM,Si,nAT,nDB,C.,nN,X.,nX,Mp
5.0,20,24,42.5,0,30,21,1.113,30.037,377.47,1,31.387,23,27,46,43.407,7.0,2.3,1,47.87,43,1,48.8,3,2.3,1,0.73
5.0,19,23,39.5,1,28,20,1.111,28.074,346.84,0,29.449,23,25,43,40.033,10.0,0.0,1,44.428,40,0,50.0,4,2.5,1,0.736
5.0,20,23,55.0,0,43,31,1.128,46.68,527.73,3,49.574,22,39,80,75.629,6.6,3.9,0,85.763,76,1,40.8,5,0.0,0,0.652
5.0,13,13,34.0,1,27,17,1.13,27.598,478.68,2,29.404,12,25,41,40.345,5.1,5.1,2,44.081,39,1,43.6,2,10.3,4,0.754
6.7,14,18,42.5,0,33,21,1.134,34.793,423.6,1,36.995,17,30,58,55.069,12.7,1.8,1,62.354,55,1,38.2,7,0.0,0,0.673
7.495,20,21,48.0,2,36,24,1.118,36.626,483.38,3,37.955,18,33,56,53.989,7.5,5.7,2,59.246,53,3,45.3,4,3.8,2,0.716
5.6,16,18,46.0,1,37,24,1.141,37.517,471.0,0,39.142,18,33,62,58.68,10.3,0.0,1,66.18,58,0,41.4,6,5.2,3,0.675
5.0,17,19,47.5,1,37,24,1.135,38.257,485.99,3,39.563,17,34,62,60.047,8.5,5.1,1,66.971,59,2,40.7,5,3.4,2,0.671
5.0,19,17,42.0,2,31,19,1.115,29.022,436.28,1,29.517,12,28,40,38.8,8.1,2.7,3,41.268,37,5,51.4,3,10.8,4,0.798
5.0,14,19,40.0,1,29,17,1.136,28.677,413.86,3,29.091,16,27,43,42.898,7.3,7.3,2,46.573,41,3,41.5,3,7.3,3,0.71
5.5,13,14,39.0,0,31,19,1.144,30.211,388.41,3,30.353,12,28,49,47.483,8.7,6.5,0,52.622,46,2,41.3,4,4.3,2,0.66
5.0,17,26,43.0,0,30,18,1.119,27.917,359.45,0,28.972,26,26,43,39.44,17.9,0.0,1,43.654,39,0,46.2,7,0.0,0,0.743
5.387,26,32,69.0,0,52,35,1.114,49.508,586.69,5,51.193,30,44,82,74.531,5.4,6.8,0,82.438,74,2,47.3,4,0.0,0,0.692
5.0,13,20,36.0,0,26,16,1.135,25.477,308.38,1,26.296,20,23,42,39.356,15.4,2.6,0,44.275,39,0,41.0,6,0.0,0,0.674
7.1,13,17,39.5,0,31,20,1.135,33.078,395.59,0,35.54,17,28,56,52.741,13.2,0.0,1,60.145,53,0,37.7,7,0.0,0,0.671
5.0,15,18,54.5,0,45,31,1.136,49.47,562.79,4,52.557,17,41,87,82.825,7.2,4.8,0,94.301,83,1,37.3,6,0.0,0,0.633
6.409,16,20,51.0,0,40,27,1.134,44.362,524.76,3,47.466,18,37,76,72.923,8.2,4.1,1,82.766,73,2,37.0,6,0.0,0,0.65
5.243,14,20,33.0,0,23,15,1.121,21.908,264.31,1,22.523,20,20,35,32.269,12.5,3.1,0,35.863,32,0,46.9,4,0.0,0,0.704
5.0,21,24,44.0,0,31,22,1.109,31.675,386.51,1,33.455,22,28,49,45.996,8.7,2.2,1,51.029,46,2,47.8,4,0.0,0,0.727
4.303,11,10,27.5,0,20,12,1.114,19.261,259.31,2,19.858,5,18,29,27.687,11.1,7.4,1,30.079,27,5,44.4,3,0.0,0,0.735
5.0,19,20,45.0,1,34,21,1.144,33.422,464.86,3,33.148,18,32,50,50.32,8.3,6.3,1,54.906,48,2,43.8,4,8.3,4,0.691
4.303,14,15,35.0,2,26,17,1.116,28.244,399.32,3,29.83,12,25,42,41.978,4.9,7.3,3,45.754,41,3,41.5,2,4.9,2,0.728
4.303,20,20,41.0,0,30,22,1.123,30.674,381.4,3,31.097,18,28,47,46.062,2.2,6.7,0,50.543,45,2,48.9,1,4.4,2,0.691
4.303,18,19,40.5,0,30,22,1.108,31.401,376.51,2,33.421,17,27,50,46.887,4.3,4.3,1,52.072,47,2,46.8,2,0.0,0,0.711
4.303,14,14,27.0,1,19,14,1.111,20.219,258.72,1,21.131,12,18,30,29.273,6.9,3.4,1,32.226,29,2,48.3,2,3.4,1,0.729
4.303,13,16,28.0,0,20,15,1.121,21.225,237.33,0,22.586,16,18,35,32.607,9.1,0.0,0,36.986,33,0,45.5,3,0.0,0,0.684
5.104,15,15,37.0,0,28,20,1.125,29.95,351.44,3,31.233,12,26,49,47.24,6.4,6.4,0,52.86,47,3,42.6,3,0.0,0,0.665
5.155,14,18,45.5,1,36,22,1.134,37.862,488.07,2,40.068,17,33,62,59.603,11.9,3.4,2,66.923,59,1,37.3,7,1.7,1,0.679
5.735,11,10,32.0,0,24,15,1.138,23.664,341.33,3,23.398,6,23,34,35.0,3.0,9.1,1,37.557,33,3,45.5,1,9.1,3,0.709
4.303,16,18,36.0,0,24,16,1.103,25.636,350.44,5,26.898,12,23,38,37.975,0.0,13.5,2,40.793,37,6,43.2,0,0.0,0,0.727
4.303,19,23,41.5,0,29,19,1.111,28.174,409.26,2,29.091,21,26,42,39.709,10.3,5.1,1,43.33,39,2,48.7,4,2.6,1,0.746
