pXC50,nS,nHM,N.,nN,nHet,O.,nDB,MW,C.,Mi,Sp
8.102,2,5,10.7,3,12,14.3,4,380.68,28.6,1.131,21.75
8.553,1,2,6.1,2,8,12.1,3,338.79,42.4,1.114,24.142
6.531,2,2,4.0,1,6,12.0,2,233.34,32.0,1.122,17.472
7.292,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
7.268,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
7.276,1,1,4.4,2,6,6.7,3,312.48,33.3,1.136,28.398
8.187,1,1,4.4,2,6,6.7,3,312.48,33.3,1.136,28.398
7.194,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
6.065,1,1,5.6,2,6,8.3,3,270.39,33.3,1.135,23.114
7.222,1,1,5.1,2,6,7.7,3,284.42,33.3,1.135,24.875
6.236,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
5.288,1,1,4.4,2,6,6.7,3,312.48,33.3,1.136,28.398
7.31,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
8.237,1,1,5.6,2,6,8.3,3,270.39,33.3,1.135,23.114
7.268,1,1,5.6,2,6,8.3,3,270.39,33.3,1.135,23.114
8.301,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
5.077,1,1,4.8,2,6,7.1,3,298.45,33.3,1.136,26.637
6.255,1,1,4.4,2,6,6.7,3,312.48,33.3,1.136,28.398
7.208,1,1,5.6,2,6,8.3,3,270.39,33.3,1.135,23.114
6.218,1,1,5.6,2,6,8.3,3,270.39,33.3,1.135,23.114
7.187,1,1,6.1,2,6,9.1,3,256.36,33.3,1.135,21.352
8.268,1,1,5.9,2,7,11.8,2,272.36,32.4,1.137,21.807
8.194,1,1,5.4,2,7,10.8,2,286.39,32.4,1.137,23.568
5.053,0,0,0.0,0,4,12.1,4,258.29,45.5,1.113,22.148
5.041,0,0,5.0,1,3,10.0,1,151.18,40.0,1.129,12.96
5.032,0,0,0.0,0,6,12.8,4,368.41,44.7,1.115,31.341
5.664,1,1,7.5,3,9,5.0,2,381.41,42.5,1.144,27.716
5.146,0,0,0.0,0,4,17.4,1,182.19,39.1,1.127,14.625
6.377,0,0,9.5,2,2,0.0,0,102.21,23.8,1.166,11.58
7.456,2,2,10.0,4,9,7.5,3,342.49,32.5,1.134,27.012
7.319,2,2,9.3,4,9,7.0,3,356.52,32.6,1.134,28.773
4.237,0,0,12.9,4,4,0.0,0,160.31,22.6,1.171,17.114
6.137,0,0,8.7,4,4,0.0,0,230.46,26.1,1.161,25.921
6.444,0,0,7.1,2,2,0.0,0,186.28,42.9,1.125,18.58
5.963,0,0,8.0,4,12,4.0,2,394.42,28.0,1.197,28.455
5.907,0,0,6.1,2,3,3.0,1,228.32,42.4,1.125,21.796
5.959,2,3,7.1,3,11,11.9,3,439.93,40.5,1.115,31.011
5.398,2,3,12.1,4,10,9.1,3,358.86,36.4,1.123,24.585
6.5,1,2,17.2,5,11,13.8,4,329.75,34.5,1.139,20.875
6.081,1,1,13.9,5,11,13.9,4,339.37,33.3,1.142,23.994
5.377,1,1,12.8,6,11,8.5,4,414.49,38.3,1.133,32.068
6.602,1,1,15.2,5,11,15.2,7,325.34,33.3,1.143,22.233
7.0,2,3,11.1,4,10,8.3,3,372.89,36.1,1.124,26.347
6.622,1,1,12.8,5,11,12.8,4,353.4,33.3,1.142,25.756
4.521,0,0,0.0,0,5,20.8,3,220.19,45.8,1.113,16.318
6.057,2,3,10.3,4,10,7.7,3,386.92,35.9,1.126,28.108
5.699,1,2,6.8,3,8,6.8,3,391.91,40.9,1.121,30.977
6.0,1,2,6.4,3,8,6.4,3,405.94,40.4,1.122,32.739
5.0,1,1,13.6,6,11,9.1,4,400.46,38.6,1.132,30.307
5.0,1,2,7.8,4,10,7.8,3,448.97,39.2,1.126,35.199
5.77,2,3,7.7,3,9,7.7,3,395.92,41.0,1.113,29.102
5.854,1,1,12.0,6,11,8.0,4,428.52,38.0,1.133,33.83
7.262,2,3,8.3,3,9,8.3,3,381.89,41.7,1.111,27.341
7.0,2,4,8.3,3,10,8.3,3,460.78,41.7,1.106,28.693
7.0,2,3,9.8,4,10,7.3,3,432.94,43.9,1.109,31.347
6.0,1,2,8.6,3,8,8.6,3,349.82,42.9,1.116,25.693
5.602,1,2,7.9,3,8,7.9,3,363.85,42.1,1.118,27.455
6.398,1,2,7.7,3,9,10.3,3,379.85,41.0,1.12,27.909
5.77,2,3,15.6,5,10,6.3,2,355.86,37.5,1.123,24.375
5.481,1,2,6.3,3,8,6.3,3,439.95,45.8,1.111,34.977
5.77,1,2,7.3,3,8,7.3,3,377.88,41.5,1.119,29.216
7.0,2,3,14.3,5,10,5.7,2,369.89,37.1,1.124,26.136
7.0,2,3,13.2,5,10,5.3,2,383.92,36.8,1.126,27.898
5.602,1,2,6.8,3,8,6.8,3,391.91,40.9,1.121,30.977
5.481,1,2,6.4,3,8,6.4,3,405.94,40.4,1.122,32.739
5.11,1,1,7.7,1,3,7.7,1,127.18,38.5,1.112,9.631
5.327,0,0,0.0,0,10,17.5,1,482.47,43.9,1.117,37.92
5.107,0,0,0.0,0,5,20.8,1,198.19,37.5,1.13,15.079
5.192,0,0,0.0,0,4,19.0,2,180.17,42.9,1.119,13.864
