pXC50,nBO,Sp,nBT,Se,nAT,nN,nC,nH,Sv,MW,nSK,Si,O.,nCsp3,SCBO,nHet,C.,Mi,RBN,Mv,nDB,N.
5.0,30,31.387,46,43.407,43,3,21,16,30.037,377.47,27,47.87,2.3,1,42.5,6,48.8,1.113,4,0.699,1,7.0
5.0,28,29.449,43,40.033,40,4,20,15,28.074,346.84,25,44.428,0.0,1,39.5,5,50.0,1.111,4,0.702,0,10.0
5.0,43,49.574,80,75.629,76,5,31,37,46.68,527.73,39,85.763,3.9,11,55.0,8,40.8,1.128,8,0.614,1,6.6
5.0,27,29.404,41,40.345,39,2,17,14,27.598,478.68,25,44.081,5.1,4,34.0,8,43.6,1.13,6,0.708,1,5.1
6.509,36,39.307,62,58.582,58,6,21,26,36.915,474.67,32,65.61,5.2,10,46.0,11,36.2,1.131,5,0.636,2,10.3
5.276,38,41.745,69,65.305,65,5,25,31,39.815,465.61,34,73.727,6.2,12,46.5,9,38.5,1.134,5,0.613,0,7.7
6.824,28,27.847,45,41.131,41,7,17,17,26.784,319.41,24,46.564,0.0,5,38.0,7,41.5,1.136,2,0.653,0,17.1
9.222,55,58.432,93,88.999,88,7,37,38,56.536,679.82,50,99.518,5.7,9,72.5,13,42.0,1.131,9,0.642,4,8.0
8.62,37,39.557,63,59.902,59,8,20,26,37.431,490.68,33,67.191,5.1,10,47.0,13,33.9,1.139,5,0.634,2,13.6
7.0,37,41.068,65,61.465,61,6,22,28,38.442,488.7,33,69.025,4.9,10,47.0,11,36.1,1.132,5,0.63,2,9.8
8.18,37,40.313,64,60.683,60,7,21,27,37.936,489.69,33,68.108,5.0,10,47.0,12,35.0,1.135,5,0.632,2,11.7
7.796,29,30.921,49,46.527,46,6,17,20,29.433,372.5,26,52.235,4.3,7,37.0,9,37.0,1.136,3,0.64,0,13.0
8.854,38,42.279,67,63.574,63,5,23,29,39.662,503.71,34,71.152,6.3,11,48.0,11,36.5,1.129,6,0.63,2,7.9
9.155,38,41.318,66,62.785,62,8,21,28,38.958,504.71,34,70.607,4.8,11,48.0,13,33.9,1.139,5,0.628,2,12.9
8.284,30,32.682,52,49.411,49,6,18,22,30.96,386.53,27,55.65,4.1,8,38.0,9,36.7,1.136,3,0.632,0,12.2
9.046,37,40.517,64,60.691,60,5,22,27,38.135,489.68,33,67.736,6.7,10,47.0,11,36.7,1.129,5,0.636,2,8.3
7.921,36,39.307,62,58.582,58,6,21,26,36.915,474.67,32,65.61,5.2,10,46.0,11,36.2,1.131,5,0.636,2,10.3
8.262,38,41.318,66,62.785,62,8,21,28,38.958,504.71,34,70.607,4.8,11,48.0,13,33.9,1.139,5,0.628,2,12.9
5.0,37,39.563,62,60.047,59,5,24,25,38.257,485.99,34,66.971,5.1,7,47.5,10,40.7,1.135,8,0.648,2,8.5
5.0,31,29.517,40,38.8,37,3,19,9,29.022,436.28,28,41.268,2.7,0,42.0,9,51.4,1.115,3,0.784,5,8.1
6.594,34,34.063,53,49.342,49,7,22,19,33.025,397.48,30,55.189,2.0,3,47.0,8,44.9,1.126,3,0.674,2,14.3
6.745,35,34.256,50,47.084,46,6,21,15,33.207,450.94,31,51.349,4.3,2,48.0,10,45.7,1.116,5,0.722,2,13.0
9.155,43,41.978,65,60.949,60,7,28,22,41.177,507.57,38,67.568,3.3,3,59.0,10,46.7,1.126,4,0.686,2,11.7
