pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
7.721,6.76,40.6,50.0,0.991,1.129,0.65,0.608,432.62,6.3,17,64.0,0,18,35.0,0,67.0,26,0,0,16,10,1,0,32.0,6,0,0,4,2,0,0,32.0,0,0,3.1,0.104,7,44.5,63.432,72.225,41.591,38.89,0.0
8.222,6.525,40.9,51.5,0.985,1.128,0.65,0.602,430.65,6.1,17,66.0,0,18,35.0,0,69.0,27,0,0,16,11,1,0,34.0,5,0,0,4,1,0,0,32.0,0,0,1.5,0.101,7,44.5,64.989,74.431,42.898,39.702,0.0
6.747,6.371,40.3,52.8,0.983,1.129,0.645,0.594,458.71,5.6,17,72.0,0,18,37.0,0,75.0,29,0,0,16,13,1,0,38.0,5,0,0,4,1,0,0,34.0,0,0,1.4,0.107,8,46.5,70.756,81.261,46.421,42.756,0.0
7.658,6.899,41.3,49.2,0.994,1.133,0.652,0.612,434.61,6.3,17,63.0,0,18,35.0,0,66.0,26,0,0,16,10,1,1,31.0,6,0,0,4,1,0,0,32.0,0,1,1.6,0.106,7,44.5,62.618,71.355,41.074,38.559,1.6
8.0,6.899,41.3,49.2,0.994,1.133,0.652,0.612,434.61,6.3,17,63.0,0,18,35.0,0,66.0,26,0,0,16,10,1,1,31.0,6,0,0,4,1,0,0,32.0,0,1,1.6,0.106,7,44.5,62.618,71.355,41.074,38.559,1.6
6.759,6.445,40.6,52.2,0.984,1.128,0.647,0.598,444.68,5.8,17,69.0,0,18,36.0,0,72.0,28,0,0,16,12,1,0,36.0,5,0,0,4,1,0,0,33.0,0,0,1.4,0.111,8,45.5,67.872,77.846,44.66,41.229,0.0
8.046,6.371,40.3,52.8,0.983,1.129,0.645,0.594,458.71,5.6,17,72.0,0,18,37.0,0,75.0,29,0,0,16,13,1,0,38.0,5,0,0,4,1,0,0,34.0,0,0,1.4,0.107,8,46.5,70.756,81.261,46.421,42.756,0.0
8.155,7.343,40.9,47.0,1.008,1.143,0.647,0.619,484.62,6.1,17,66.0,0,18,38.0,0,69.0,27,0,0,16,11,1,3,31.0,8,0,0,4,1,0,0,35.0,0,3,1.5,0.101,7,47.5,66.527,75.45,42.711,40.852,4.5
7.602,7.47,41.3,46.0,1.01,1.143,0.65,0.624,470.59,6.3,17,63.0,0,18,37.0,0,66.0,26,0,0,16,10,1,3,29.0,8,0,0,4,1,0,0,34.0,0,3,1.6,0.091,6,46.5,63.643,72.035,40.949,39.325,4.8
6.66,6.666,40.3,50.7,0.99,1.129,0.647,0.603,446.65,6.0,17,67.0,0,18,36.0,0,70.0,27,0,0,16,11,1,0,34.0,6,0,0,4,2,0,0,33.0,0,0,3.0,0.114,8,45.5,66.316,75.64,43.353,40.417,0.0
8.523,6.445,40.6,52.2,0.984,1.128,0.647,0.598,444.68,5.8,17,69.0,0,18,36.0,0,72.0,28,0,0,16,12,1,0,36.0,5,0,0,4,1,0,0,33.0,0,0,1.4,0.111,8,45.5,67.872,77.846,44.66,41.229,0.0
8.523,7.343,40.9,47.0,1.008,1.143,0.647,0.619,484.62,6.1,17,66.0,0,18,38.0,0,69.0,27,0,0,16,11,1,3,31.0,8,0,0,4,1,0,0,35.0,0,3,1.5,0.101,7,47.5,66.527,75.45,42.711,40.852,4.5
7.921,7.16,41.3,49.2,0.991,1.126,0.667,0.619,451.06,6.3,17,63.0,0,18,35.0,0,66.0,26,1,0,16,10,1,0,31.0,6,1,0,4,1,0,0,32.0,0,1,1.6,0.106,7,44.5,62.429,70.959,41.995,39.003,1.6
7.678,6.525,40.9,51.5,0.985,1.128,0.65,0.602,430.65,6.1,17,66.0,0,18,35.0,0,69.0,27,0,0,16,11,1,0,34.0,5,0,0,4,1,0,0,32.0,0,0,1.5,0.101,7,44.5,64.989,74.431,42.898,39.702,0.0
7.721,6.525,40.9,51.5,0.985,1.128,0.65,0.602,430.65,6.1,17,66.0,0,18,35.0,0,69.0,27,0,0,16,11,1,0,34.0,5,0,0,4,1,0,0,32.0,0,0,1.5,0.101,7,44.5,64.989,74.431,42.898,39.702,0.0
8.071,7.658,42.6,42.6,1.002,1.13,0.678,0.65,413.53,13.0,22,54.0,0,23,35.0,0,58.0,23,0,0,17,6,1,0,23.0,8,0,0,7,1,0,0,31.0,0,0,1.9,0.052,3,47.0,54.109,61.019,36.586,35.079,0.0
7.495,8.324,42.6,38.9,1.021,1.143,0.675,0.664,449.51,13.0,22,54.0,0,23,37.0,0,58.0,23,0,0,17,6,1,2,21.0,10,0,0,7,1,0,0,33.0,0,2,1.9,0.052,3,49.0,55.134,61.699,36.461,35.846,3.7
7.523,7.501,42.1,43.9,1.0,1.13,0.673,0.642,427.56,12.3,22,57.0,0,23,36.0,0,61.0,24,0,0,17,7,1,0,25.0,8,0,0,7,1,0,0,32.0,0,0,1.8,0.049,3,48.0,56.992,64.434,38.347,36.606,0.0
7.569,7.991,42.6,40.7,1.012,1.136,0.676,0.657,431.52,13.0,22,54.0,0,23,36.0,0,58.0,23,0,0,17,6,1,1,22.0,9,0,0,7,1,0,0,32.0,0,1,1.9,0.052,3,48.0,54.621,61.359,36.523,35.462,1.9
7.553,7.199,39.7,46.6,0.998,1.135,0.657,0.623,417.57,12.1,17,58.0,0,18,35.0,0,62.0,23,0,0,13,10,1,0,27.0,8,0,0,7,1,0,0,31.0,0,0,1.7,0.048,3,44.5,57.876,65.85,38.108,36.133,0.0
7.244,7.573,41.8,43.6,1.004,1.13,0.669,0.642,416.53,10.9,21,55.0,0,22,35.0,0,59.0,23,0,0,16,7,1,0,24.0,8,0,0,6,2,0,0,31.0,0,0,3.6,0.051,3,46.5,55.218,62.145,36.796,35.299,0.0
7.252,8.199,41.8,41.8,1.01,1.129,0.685,0.657,450.97,10.9,21,55.0,0,22,36.0,0,59.0,23,1,0,16,7,1,0,23.0,9,1,0,6,2,0,0,32.0,0,1,3.6,0.051,3,47.5,55.542,62.089,37.654,36.127,1.8
7.745,7.658,42.6,42.6,1.002,1.13,0.678,0.65,413.53,13.0,22,54.0,0,23,35.0,0,58.0,23,0,0,17,6,1,0,23.0,8,0,0,7,1,0,0,31.0,0,0,1.9,0.052,3,47.0,54.109,61.019,36.586,35.079,0.0
7.569,7.991,42.6,40.7,1.012,1.136,0.676,0.657,431.52,13.0,22,54.0,0,23,36.0,0,58.0,23,0,0,17,6,1,1,22.0,9,0,0,7,1,0,0,32.0,0,1,1.9,0.052,3,48.0,54.621,61.359,36.523,35.462,1.9
7.272,7.737,43.6,41.8,1.002,1.128,0.683,0.656,425.54,12.7,22,55.0,0,23,37.0,0,60.0,24,0,0,17,7,1,0,23.0,8,0,0,7,1,0,0,32.0,0,0,1.8,0.05,3,49.0,55.109,62.019,37.586,36.079,0.0
6.959,7.737,43.6,41.8,1.002,1.128,0.683,0.656,425.54,12.7,22,55.0,0,23,37.0,0,60.0,24,0,0,17,7,1,0,23.0,8,0,0,7,1,0,0,32.0,0,0,1.8,0.05,3,49.0,55.109,62.019,37.586,36.079,0.0
5.0,8.064,43.6,40.0,1.011,1.134,0.682,0.663,443.53,12.7,22,55.0,0,23,38.0,0,60.0,24,0,0,17,7,1,1,22.0,9,0,0,7,1,0,0,33.0,0,1,1.8,0.05,3,50.0,55.621,62.359,37.523,36.462,1.8
5.444,8.064,43.6,40.0,1.011,1.134,0.682,0.663,443.53,12.7,22,55.0,0,23,38.0,0,60.0,24,0,0,17,7,1,1,22.0,9,0,0,7,1,0,0,33.0,0,1,1.8,0.05,3,50.0,55.621,62.359,37.523,36.462,1.8
9.222,8.922,44.2,36.5,1.02,1.132,0.704,0.688,463.94,13.5,22,52.0,0,23,38.0,0,57.0,23,1,0,17,6,1,1,19.0,10,1,0,7,1,0,0,33.0,0,2,1.9,0.053,3,50.0,53.062,58.888,36.62,35.763,3.8
6.854,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
6.131,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
6.757,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
6.845,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
6.102,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
5.839,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
5.0,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
6.432,7.889,43.1,41.4,1.009,1.134,0.677,0.655,457.56,12.1,22,58.0,0,23,39.0,0,63.0,25,0,0,17,8,1,1,24.0,9,0,0,7,1,0,0,34.0,0,1,1.7,0.048,3,51.0,58.505,65.774,39.284,37.989,1.7
9.222,8.922,44.2,36.5,1.02,1.132,0.704,0.688,463.94,13.5,22,52.0,0,23,38.0,0,57.0,23,1,0,17,6,1,1,19.0,10,1,0,7,1,0,0,33.0,0,2,1.9,0.053,3,50.0,53.062,58.888,36.62,35.763,3.8
4.052,8.97,51.0,34.7,1.011,1.101,0.742,0.716,439.52,6.1,26,49.0,0,28,36.0,0,53.0,25,0,2,21,2,1,0,17.0,7,1,0,3,3,0,1,32.0,1,0,6.1,0.113,6,52.0,49.549,53.95,36.358,35.083,0.0
8.801,8.126,42.3,42.3,1.008,1.121,0.69,0.657,422.55,7.7,21,52.0,0,22,33.0,0,55.0,22,0,0,17,5,1,0,22.0,8,1,0,4,3,0,1,30.0,0,0,5.8,0.127,7,44.5,52.418,58.278,35.887,34.158,0.0
8.6,8.126,42.3,42.3,1.008,1.121,0.69,0.657,422.55,7.7,21,52.0,0,22,33.0,0,55.0,22,0,0,17,5,1,0,22.0,8,1,0,4,3,0,1,30.0,0,0,5.8,0.127,7,44.5,52.418,58.278,35.887,34.158,0.0
6.2,7.677,39.4,45.5,1.004,1.129,0.669,0.633,506.69,9.1,21,66.0,0,22,40.0,0,70.0,26,0,0,17,9,1,0,30.0,10,1,0,6,3,0,1,36.0,0,0,4.5,0.114,8,51.5,66.272,74.52,44.182,41.781,0.0
6.3,8.126,42.3,42.3,1.008,1.121,0.69,0.657,422.55,7.7,21,52.0,0,22,33.0,0,55.0,22,0,0,17,5,1,0,22.0,8,1,0,4,3,0,1,30.0,0,0,5.8,0.127,7,44.5,52.418,58.278,35.887,34.158,0.0
6.4,8.126,42.3,42.3,1.008,1.121,0.69,0.657,422.55,7.7,21,52.0,0,22,33.0,0,55.0,22,0,0,17,5,1,0,22.0,8,1,0,4,3,0,1,30.0,0,0,5.8,0.127,7,44.5,52.418,58.278,35.887,34.158,0.0
4.8,8.126,42.3,42.3,1.008,1.121,0.69,0.657,422.55,7.7,21,52.0,0,22,33.0,0,55.0,22,0,0,17,5,1,0,22.0,8,1,0,4,3,0,1,30.0,0,0,5.8,0.127,7,44.5,52.418,58.278,35.887,34.158,0.0
4.8,8.126,42.3,42.3,1.008,1.121,0.69,0.657,422.55,7.7,21,52.0,0,22,33.0,0,55.0,22,0,0,17,5,1,0,22.0,8,1,0,4,3,0,1,30.0,0,0,5.8,0.127,7,44.5,52.418,58.278,35.887,34.158,0.0
7.8,8.275,41.5,41.5,1.014,1.122,0.686,0.658,438.55,7.5,21,53.0,0,22,34.0,0,56.0,22,0,0,17,5,1,0,22.0,9,1,0,4,4,0,1,31.0,0,0,7.5,0.143,8,45.5,53.745,59.488,36.341,34.873,0.0
7.4,9.716,43.5,34.8,1.032,1.125,0.721,0.703,446.92,8.7,21,46.0,0,22,33.0,0,49.0,20,1,0,17,3,1,1,16.0,10,2,0,4,3,0,1,30.0,0,2,6.5,0.143,7,44.5,47.487,51.732,33.159,32.316,4.3
6.0,8.576,43.5,39.1,1.014,1.118,0.704,0.676,394.49,8.7,21,46.0,0,22,31.0,0,49.0,20,0,0,17,3,1,0,18.0,8,1,0,4,3,0,1,28.0,0,0,6.5,0.143,7,42.5,46.651,51.448,32.364,31.105,0.0
7.4,8.337,42.9,40.8,1.011,1.12,0.696,0.666,408.52,8.2,21,49.0,0,22,32.0,0,52.0,21,0,0,17,4,1,0,20.0,8,1,0,4,3,0,1,29.0,0,0,6.1,0.135,7,43.5,49.534,54.863,34.125,32.632,0.0
7.3,8.337,42.9,40.8,1.011,1.12,0.696,0.666,408.52,8.2,21,49.0,0,22,32.0,0,52.0,21,0,0,17,4,1,0,20.0,8,1,0,4,3,0,1,29.0,0,0,6.1,0.135,7,43.5,49.534,54.863,34.125,32.632,0.0
4.8,8.337,42.9,40.8,1.011,1.12,0.696,0.666,408.52,8.2,21,49.0,0,22,32.0,0,52.0,21,0,0,17,4,1,0,20.0,8,1,0,4,3,0,1,29.0,0,0,6.1,0.135,7,43.5,49.534,54.863,34.125,32.632,0.0
6.8,8.967,43.5,37.0,1.025,1.126,0.702,0.685,412.48,8.7,21,46.0,0,22,32.0,0,49.0,20,0,0,17,3,1,1,17.0,9,1,0,4,3,0,1,29.0,0,1,6.5,0.143,7,43.5,47.163,51.788,32.301,31.488,2.2
6.3,8.967,43.5,37.0,1.025,1.126,0.702,0.685,412.48,8.7,21,46.0,0,22,32.0,0,49.0,20,0,0,17,3,1,1,17.0,9,1,0,4,3,0,1,29.0,0,1,6.5,0.143,7,43.5,47.163,51.788,32.301,31.488,2.2
5.7,8.967,43.5,37.0,1.025,1.126,0.702,0.685,412.48,8.7,21,46.0,0,22,32.0,0,49.0,20,0,0,17,3,1,1,17.0,9,1,0,4,3,0,1,29.0,0,1,6.5,0.143,7,43.5,47.163,51.788,32.301,31.488,2.2
7.0,9.325,43.5,37.0,1.021,1.117,0.722,0.694,428.93,8.7,21,46.0,0,22,32.0,0,49.0,20,1,0,17,3,1,0,17.0,9,2,0,4,3,0,1,29.0,0,1,6.5,0.143,7,43.5,46.974,51.392,33.222,31.932,2.2
7.2,9.325,43.5,37.0,1.021,1.117,0.722,0.694,428.93,8.7,21,46.0,0,22,32.0,0,49.0,20,1,0,17,3,1,0,17.0,9,2,0,4,3,0,1,29.0,0,1,6.5,0.143,7,43.5,46.974,51.392,33.222,31.932,2.2
6.3,8.49,42.0,40.0,1.017,1.121,0.692,0.667,424.52,8.0,21,50.0,0,22,33.0,0,53.0,21,0,0,17,4,1,0,20.0,9,1,0,4,4,0,1,30.0,0,0,8.0,0.151,8,44.5,50.862,56.072,34.58,33.346,0.0
