pXC50,nN,Mi,nCsp2,H.,Mp,nCL,C.,nAB,Mv,N.,nBM,Sp,nSK,nC,nBO,SCBO,nCsp3,Sv,MW,X.,RBF,nAT
7.577,2,1.126,13,48.1,0.661,1,40.4,12,0.622,3.8,13,34.37,27,21,29,36.0,8,32.336,388.93,1.9,0.148,52
8.222,4,1.127,11,46.5,0.679,0,39.5,11,0.633,9.3,12,29.216,23,17,26,32.5,6,27.202,328.48,0.0,0.043,43
4.959,4,1.123,16,44.8,0.679,0,41.4,17,0.642,6.9,19,39.409,32,24,35,45.5,8,37.212,450.61,0.0,0.148,58
5.041,2,1.123,13,48.3,0.662,0,39.7,12,0.62,3.4,15,38.375,30,23,33,42.0,10,35.937,428.6,0.0,0.164,58
6.3,3,1.134,11,50.9,0.632,0,37.7,11,0.595,5.7,12,33.517,26,20,28,34.5,9,31.53,357.5,0.0,0.145,53
5.051,3,1.123,13,45.8,0.672,0,40.7,12,0.634,5.1,16,39.62,32,24,35,46.0,10,37.432,453.61,0.0,0.161,59
5.131,3,1.129,13,48.1,0.649,0,40.4,12,0.615,5.8,14,33.756,27,21,29,37.0,8,32.003,367.49,0.0,0.148,52
5.347,2,1.122,13,46.6,0.676,1,39.7,12,0.634,3.4,15,39.233,31,23,34,43.0,10,36.765,463.04,1.7,0.164,58
4.097,3,1.14,9,52.2,0.611,0,34.3,6,0.579,4.5,9,40.926,32,23,33,39.0,14,38.782,449.61,0.0,0.176,67
6.24,2,1.122,12,49.0,0.659,0,42.9,12,0.618,4.1,13,32.296,25,21,27,35.0,8,30.267,336.47,0.0,0.118,49
5.45,3,1.125,12,50.0,0.657,0,42.0,12,0.611,6.0,13,32.847,25,21,27,35.0,8,30.574,335.49,0.0,0.115,50
4.854,3,1.124,13,45.5,0.67,0,40.0,12,0.635,5.5,16,36.858,30,22,32,43.0,8,34.905,427.57,0.0,0.158,55
5.638,2,1.125,13,50.0,0.655,0,39.1,12,0.609,3.1,15,41.898,32,25,35,44.0,12,38.991,456.66,0.0,0.164,64
4.796,2,1.124,13,49.2,0.658,0,39.3,12,0.614,3.3,15,40.137,31,24,34,43.0,11,37.464,442.63,0.0,0.156,61
5.46,2,1.121,12,51.0,0.659,0,43.1,12,0.609,3.9,13,33.603,25,22,27,35.0,9,31.079,334.5,0.0,0.113,51
5.18,2,1.124,13,49.2,0.658,0,39.3,12,0.614,3.3,15,40.137,31,24,34,43.0,11,37.464,442.63,0.0,0.156,61
4.252,3,1.139,9,53.0,0.613,0,34.8,6,0.577,4.5,9,40.472,31,23,32,38.0,14,38.067,433.61,0.0,0.164,66
4.532,2,1.101,21,40.5,0.737,1,52.4,23,0.692,4.8,23,30.961,25,22,28,39.5,1,29.085,344.86,2.4,0.089,42
5.602,2,1.122,13,46.6,0.676,1,39.7,12,0.634,3.4,15,39.233,31,23,34,43.0,10,36.765,463.04,1.7,0.164,58
5.027,2,1.129,13,46.6,0.661,0,39.7,12,0.626,3.4,15,38.313,31,23,34,43.0,10,36.321,446.59,1.7,0.164,58
5.35,2,1.121,12,47.8,0.664,0,43.5,12,0.625,4.3,13,30.534,24,20,26,34.0,7,28.74,322.44,0.0,0.125,46
5.036,2,1.129,13,46.6,0.661,0,39.7,12,0.626,3.4,15,38.313,31,23,34,43.0,10,36.321,446.59,1.7,0.164,58
5.229,2,1.129,13,46.6,0.661,0,39.7,12,0.626,3.4,15,38.313,31,23,34,43.0,10,36.321,446.59,1.7,0.164,58
5.83,4,1.138,10,50.0,0.63,0,36.5,11,0.597,7.7,12,32.762,26,19,28,34.5,9,31.025,358.49,0.0,0.148,52
4.367,3,1.141,8,51.9,0.615,0,34.6,6,0.582,5.8,8,31.972,25,18,26,31.0,10,30.245,349.48,0.0,0.17,52
5.638,2,1.126,13,51.4,0.649,0,38.6,12,0.601,2.9,15,45.421,34,27,37,46.0,14,42.045,484.72,0.0,0.151,70
4.86,3,1.125,12,48.9,0.661,0,42.6,12,0.618,6.4,13,31.086,24,20,26,34.0,7,29.047,321.46,0.0,0.122,47
6.42,3,1.127,13,48.2,0.652,0,41.1,12,0.617,5.4,14,36.517,29,23,31,40.0,9,34.53,393.53,0.0,0.138,56
6.45,2,1.127,13,49.1,0.657,1,40.0,12,0.616,3.6,13,36.131,28,22,30,37.0,9,33.863,402.96,1.8,0.14,55
6.45,2,1.13,13,50.8,0.635,0,39.0,12,0.598,3.4,13,37.489,29,23,31,38.0,10,35.277,398.55,0.0,0.148,59
5.4,2,1.122,12,51.9,0.655,0,42.6,12,0.604,3.7,13,35.364,26,23,28,36.0,10,32.606,348.53,0.0,0.107,54
6.12,2,1.126,11,50.0,0.657,0,38.5,11,0.61,3.8,12,34.159,26,20,28,34.5,9,31.696,374.55,0.0,0.148,52
5.05,3,1.125,12,48.9,0.661,0,42.6,12,0.618,6.4,13,31.086,24,20,26,34.0,7,29.047,321.46,0.0,0.122,47
7.56,3,1.127,13,49.2,0.649,0,40.7,12,0.611,5.1,14,38.279,30,24,32,41.0,10,36.057,407.56,0.0,0.131,59
6.25,2,1.121,12,51.0,0.659,0,43.1,12,0.609,3.9,13,33.603,25,22,27,35.0,9,31.079,334.5,0.0,0.113,51
6.79,3,1.132,13,47.4,0.639,0,38.6,12,0.613,5.3,15,36.426,30,22,32,41.0,9,34.96,413.52,0.0,0.153,57
5.41,3,1.125,12,50.0,0.657,0,42.0,12,0.611,6.0,13,32.847,25,21,27,35.0,8,30.574,335.49,0.0,0.115,50
5.286,1,1.118,12,52.8,0.663,0,44.4,12,0.605,2.8,12,23.858,17,16,18,24.0,4,21.763,225.36,0.0,0.108,36
5.49,2,1.121,12,47.8,0.664,0,43.5,12,0.625,4.3,13,30.534,24,20,26,34.0,7,28.74,322.44,0.0,0.125,46
5.43,3,1.125,12,50.0,0.657,0,42.0,12,0.611,6.0,13,32.847,25,21,27,35.0,8,30.574,335.49,0.0,0.135,50
5.11,2,1.122,12,49.0,0.659,0,42.9,12,0.618,4.1,13,32.296,25,21,27,35.0,8,30.267,336.47,0.0,0.118,49
6.35,2,1.126,11,50.0,0.657,0,38.5,11,0.61,3.8,12,34.159,26,20,28,34.5,9,31.696,374.55,0.0,0.148,52
5.357,2,1.125,13,48.4,0.655,0,38.7,12,0.616,3.2,15,40.591,32,24,35,44.0,11,38.179,458.63,0.0,0.169,62
5.26,2,1.124,13,49.2,0.658,0,39.3,12,0.614,3.3,15,40.137,31,24,34,43.0,11,37.464,442.63,0.0,0.156,61
5.0,5,1.14,10,46.3,0.656,0,34.1,11,0.62,12.2,14,26.915,22,14,23,31.5,4,25.411,321.45,0.0,0.167,41
5.0,6,1.155,4,52.6,0.615,0,31.6,5,0.574,15.8,7,23.364,18,12,18,23.5,7,21.816,248.38,0.0,0.211,38
5.0,6,1.157,4,51.4,0.617,0,31.4,5,0.58,17.1,7,21.603,17,11,17,22.5,6,20.289,234.35,0.0,0.229,35
5.0,6,1.14,10,51.0,0.64,0,37.3,11,0.596,11.8,13,32.648,25,19,26,34.5,8,30.396,338.51,0.0,0.212,51
5.0,6,1.158,4,50.0,0.62,0,31.3,5,0.586,18.8,7,19.841,16,10,16,21.5,5,18.762,220.32,0.0,0.219,32
6.701,4,1.125,19,45.7,0.666,0,40.0,22,0.632,5.7,24,46.603,38,28,42,55.0,9,44.222,536.71,0.0,0.135,70
5.0,1,1.113,12,50.0,0.678,0,46.7,12,0.624,3.3,12,20.336,15,14,16,22.0,2,18.709,197.3,0.0,0.097,30
5.994,4,1.131,13,45.0,0.666,1,36.7,16,0.633,6.7,18,39.938,33,22,36,46.0,9,37.996,495.05,1.7,0.127,60
5.0,6,1.154,4,53.7,0.613,0,31.7,5,0.569,14.6,7,25.125,19,13,19,24.5,8,23.343,262.41,0.0,0.22,41
