pXC50,nCsp2,nC,SCBO,nBO,MW,Mv,nSK,nH,RBF,nBT,nBM,Se,nAT,nCsp3,H.,C.,nAB
4.93,21,22,39.5,28,344.86,0.692,25,17,0.089,45,23,41.596,42,1,40.5,52.4,23
7.96,15,27,46.0,37,448.61,0.612,33,32,0.116,69,17,64.767,65,12,49.2,41.5,16
7.14,23,32,57.0,44,524.66,0.641,39,32,0.105,76,24,71.094,71,9,45.1,45.1,22
7.14,21,28,51.0,39,454.56,0.654,34,26,0.077,65,23,60.116,60,7,43.3,46.7,22
9.0,15,25,44.0,35,436.62,0.631,31,28,0.095,63,17,58.749,59,10,47.5,42.4,16
7.21,16,23,45.5,35,402.49,0.653,30,22,0.035,57,21,52.342,52,7,42.3,44.2,21
5.87,20,27,47.0,36,410.55,0.646,31,26,0.048,62,22,56.461,57,7,45.6,47.4,22
8.15,15,23,42.0,33,408.56,0.645,29,24,0.07,57,17,52.982,53,8,45.3,43.4,16
8.4,15,24,43.0,34,406.52,0.629,30,26,0.083,60,17,56.116,56,9,46.4,42.9,16
7.85,15,28,47.0,38,462.64,0.608,34,34,0.125,72,17,67.65,68,13,50.0,41.2,16
5.71,15,22,41.0,32,396.9,0.659,28,21,0.057,53,17,49.345,49,7,42.9,44.9,16
6.44,15,22,41.0,32,396.9,0.659,28,21,0.057,53,17,49.345,49,7,42.9,44.9,16
6.72,15,23,42.0,33,392.49,0.636,29,24,0.053,57,17,53.232,53,8,45.3,43.4,16
8.52,15,25,44.0,35,420.55,0.623,31,28,0.079,63,17,59.0,59,10,47.5,42.4,16
7.01,21,31,54.0,42,496.65,0.635,37,32,0.095,74,23,68.767,69,10,46.4,44.9,22
8.7,15,26,45.0,36,434.58,0.617,32,30,0.091,66,17,61.883,62,11,48.4,41.9,16
5.01,15,24,43.0,34,405.54,0.623,30,27,0.049,61,17,56.891,57,9,47.4,42.1,16
7.17,15,25,44.0,35,420.55,0.623,31,28,0.095,63,17,59.0,59,10,47.5,42.4,16
7.82,15,24,43.0,34,406.52,0.629,30,26,0.067,60,17,56.116,56,9,46.4,42.9,16
6.96,15,25,44.0,35,420.55,0.623,31,28,0.079,63,17,59.0,59,10,47.5,42.4,16
4.91,15,22,41.0,32,378.46,0.643,28,22,0.056,54,17,50.349,50,7,44.0,44.0,16
5.5,13,20,35.0,28,378.88,0.641,26,21,0.082,49,13,47.6,47,7,44.7,42.6,12
5.8,13,19,33.0,26,346.86,0.642,24,20,0.087,46,13,44.203,44,6,45.5,43.2,12
5.1,15,19,34.0,26,344.84,0.66,24,18,0.091,44,14,42.32,42,4,42.9,45.2,12
6.4,13,20,33.0,26,342.9,0.625,24,23,0.082,49,13,46.574,47,7,48.9,42.6,12
5.0,10,16,30.5,24,335.89,0.65,22,18,0.095,42,12,40.102,40,6,45.0,40.0,11
6.8,13,20,34.0,27,360.89,0.633,25,22,0.082,49,13,47.087,47,7,46.8,42.6,12
5.5,13,20,33.0,26,342.9,0.625,24,23,0.082,49,13,46.574,47,7,48.9,42.6,12
5.3,13,19,32.0,25,328.87,0.633,23,21,0.087,46,13,43.691,44,6,47.7,43.2,12
5.432,13,20,37.0,30,411.89,0.644,28,21,0.078,51,13,50.214,49,7,42.9,40.8,12
5.824,13,21,41.0,34,479.89,0.658,32,20,0.074,54,13,54.636,52,8,38.5,40.4,12
5.432,13,21,41.0,34,479.89,0.658,32,20,0.074,54,13,54.636,52,8,38.5,40.4,12
