pXC50,X.,RBF,nX,RBN,nHM,nAB,nBM,Mp,C.,N.,nCL,nN,AMW,Mv,nF,MW,SCBO
8.268,0.0,0.044,0,2,0,6,6,0.622,37.2,2.3,0,1,6.451,0.58,0,277.4,25.0
6.0,0.0,0.073,0,3,0,12,12,0.661,43.6,2.6,0,1,6.907,0.62,0,269.37,28.0
4.301,0.0,0.097,0,3,1,5,7,0.674,36.7,10.0,0,3,7.379,0.614,0,221.36,20.5
5.886,2.3,0.043,1,2,0,12,12,0.662,44.2,2.3,0,1,7.288,0.63,1,313.4,32.0
5.509,2.3,0.042,1,2,0,12,12,0.67,45.5,2.3,0,1,7.396,0.639,1,325.41,34.0
5.0,0.0,0.042,0,2,0,12,12,0.656,42.2,4.4,0,2,6.898,0.616,0,310.43,32.0
5.0,0.0,0.04,0,2,0,12,12,0.664,43.5,4.3,0,2,7.01,0.625,0,322.44,34.0
5.301,0.0,0.068,0,3,0,12,14,0.687,47.6,4.8,0,2,6.867,0.638,0,288.42,33.0
7.121,1.7,0.133,1,8,1,12,12,0.651,39.7,3.4,1,2,6.673,0.595,0,387.01,35.0
5.0,0.0,0.064,0,3,0,12,14,0.681,46.7,4.4,0,2,6.721,0.629,0,302.45,34.0
5.788,2.0,0.135,1,7,1,12,14,0.675,40.0,12.0,1,6,7.659,0.634,0,382.94,38.0
5.0,0.0,0.137,0,7,0,12,14,0.656,38.8,14.3,0,7,7.132,0.62,0,349.49,37.0
5.0,0.0,0.153,0,9,0,12,14,0.647,38.6,10.5,0,6,6.887,0.608,0,392.56,40.0
7.493,1.6,0.127,1,8,1,12,12,0.648,39.3,3.3,1,2,6.574,0.59,0,401.04,36.0
5.0,0.0,0.065,0,3,0,12,14,0.679,45.5,6.8,0,3,6.896,0.632,0,303.44,34.0
5.0,0.0,0.065,0,3,0,12,14,0.679,45.5,6.8,0,3,6.896,0.632,0,303.44,34.0
5.301,0.0,0.027,0,1,0,12,12,0.673,45.7,2.9,0,1,6.838,0.627,0,239.34,26.0
5.0,0.0,0.143,0,8,0,12,14,0.65,38.9,11.1,0,6,7.01,0.613,0,378.53,39.0
5.708,3.5,0.117,2,7,2,12,13,0.676,40.4,5.3,2,3,7.867,0.632,0,448.43,40.0
6.939,0.0,0.0,0,0,0,12,12,0.675,46.2,2.6,0,1,6.805,0.628,0,265.38,29.0
5.523,0.0,0.093,0,5,0,17,17,0.67,45.1,3.9,0,2,6.481,0.615,0,330.51,36.5
5.0,0.0,0.104,0,5,0,12,12,0.655,43.5,2.2,0,1,6.075,0.594,0,279.46,29.0
5.0,0.0,0.13,0,7,0,12,12,0.647,42.3,1.9,0,1,5.914,0.585,0,307.52,31.0
5.256,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
6.991,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
5.0,1.6,0.091,1,6,1,18,19,0.686,44.4,3.2,0,2,7.802,0.63,0,491.51,45.0
7.476,1.7,0.079,1,5,1,18,19,0.683,45.0,3.3,1,2,7.217,0.633,0,433.03,44.0
6.091,1.8,0.105,1,6,1,12,12,0.654,40.0,3.6,1,2,6.781,0.599,0,372.98,34.0
7.054,1.7,0.081,1,5,1,18,18,0.678,44.1,3.4,1,2,7.136,0.626,0,421.02,42.0
5.0,0.0,0.042,0,2,0,12,12,0.663,44.4,2.2,0,1,6.521,0.612,0,293.44,31.0
5.0,0.0,0.102,0,5,0,12,12,0.651,42.6,2.1,0,1,6.286,0.597,0,295.46,30.0
6.107,0.0,0.022,0,1,0,12,12,0.668,45.2,2.4,0,1,6.653,0.619,0,279.41,30.0
6.554,0.0,0.0,0,0,0,12,13,0.704,50.0,5.6,0,2,7.232,0.659,0,260.36,31.0
5.824,4.1,0.118,2,6,1,12,13,0.67,42.9,2.0,1,1,7.671,0.632,1,375.9,35.0
4.661,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
7.7,2.2,0.061,1,3,2,11,11,0.698,39.1,6.5,0,3,8.878,0.636,0,408.4,32.5
6.0,0.0,0.13,0,9,0,12,12,0.628,36.4,9.1,0,6,6.192,0.576,0,408.66,39.0
6.0,0.0,0.129,0,9,0,12,12,0.63,37.3,7.5,0,5,6.085,0.575,0,407.67,39.0
6.0,2.9,0.127,2,9,2,12,12,0.657,38.2,5.9,2,4,6.994,0.598,0,475.56,41.0
6.0,0.0,0.123,0,9,0,12,12,0.628,37.1,7.1,0,5,6.024,0.572,0,421.7,40.0
6.0,0.0,0.117,0,9,0,12,12,0.628,37.8,5.4,0,4,5.875,0.569,0,434.74,41.0
6.0,0.0,0.127,0,9,0,12,12,0.632,38.2,5.9,0,4,5.981,0.574,0,406.68,39.0
6.0,0.0,0.139,0,11,0,12,12,0.624,36.8,5.3,0,4,6.141,0.573,0,466.74,43.0
6.0,0.0,0.122,0,9,0,12,12,0.63,38.0,5.6,0,4,5.925,0.571,0,420.71,40.0
6.0,0.0,0.117,0,9,0,17,17,0.643,39.7,6.8,0,5,6.27,0.59,0,457.73,46.5
6.0,0.0,0.123,0,9,0,12,12,0.628,37.1,7.1,0,5,6.024,0.572,0,421.7,40.0
6.0,0.0,0.118,0,9,0,12,12,0.626,37.0,6.8,0,5,5.969,0.57,0,435.73,41.0
6.0,1.4,0.133,1,10,1,12,12,0.639,37.5,5.6,1,4,6.544,0.585,0,471.15,42.0
5.301,0.0,0.024,0,1,0,12,12,0.675,46.2,2.6,0,1,6.805,0.628,0,265.38,29.0
5.485,0.0,0.024,0,1,0,12,12,0.675,46.2,2.6,0,1,6.805,0.628,0,265.38,29.0
6.0,1.8,0.196,1,11,1,12,12,0.65,40.0,1.8,1,1,6.545,0.59,0,359.98,32.0
7.273,2.2,0.021,1,1,2,11,11,0.692,40.0,6.7,1,3,7.732,0.63,0,347.95,31.5
6.569,0.0,0.023,0,1,0,12,12,0.674,46.3,2.4,0,1,6.425,0.617,0,263.41,29.0
6.77,0.0,0.111,0,5,0,6,6,0.615,36.4,2.3,0,1,5.987,0.563,0,263.42,23.0
9.523,0.0,0.114,0,5,0,10,11,0.638,38.1,7.1,0,3,6.843,0.601,0,287.4,29.0
5.699,0.0,0.059,0,3,0,12,12,0.658,43.8,2.1,0,1,6.406,0.605,0,307.47,32.0
7.74,2.2,0.042,1,2,2,11,11,0.692,40.0,6.7,1,3,7.732,0.63,0,347.95,31.5
7.142,2.2,0.061,1,3,1,11,11,0.667,39.1,6.5,0,3,7.554,0.622,1,347.5,32.5
5.301,0.0,0.026,0,1,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
4.854,0.0,0.04,0,2,0,17,17,0.685,47.8,2.2,0,1,7.205,0.646,0,331.44,37.5
5.301,0.0,0.063,0,3,0,12,12,0.663,44.4,2.2,0,1,6.521,0.612,0,293.44,31.0
5.301,0.0,0.054,0,3,0,18,18,0.685,48.1,1.9,0,1,6.837,0.636,0,355.51,40.0
5.523,0.0,0.04,0,2,0,18,18,0.697,50.0,2.2,0,1,7.118,0.652,0,327.45,38.0
5.0,0.0,0.057,0,3,0,18,18,0.691,49.0,2.0,0,1,6.969,0.643,0,341.48,39.0
6.965,0.0,0.0,0,0,0,12,12,0.682,47.2,2.8,0,1,6.982,0.638,0,251.35,28.0
5.027,0.0,0.02,0,1,0,18,18,0.697,50.0,2.2,0,1,7.118,0.652,0,327.45,38.0
5.699,0.0,0.042,0,2,0,12,12,0.663,44.4,2.2,0,1,6.521,0.612,0,293.44,31.0
6.143,0.0,0.024,0,1,0,12,13,0.689,48.7,2.6,0,1,6.702,0.635,0,261.39,30.0
7.57,2.2,0.061,1,3,2,11,11,0.687,39.1,6.5,1,3,7.912,0.632,0,363.95,32.5
5.699,5.8,0.091,3,5,1,12,14,0.662,40.4,1.9,0,1,8.491,0.645,3,441.51,41.0
5.0,0.0,0.093,0,5,0,6,7,0.627,37.3,3.9,0,2,6.794,0.593,0,346.47,32.0
6.398,0.0,0.111,0,7,2,11,13,0.673,36.7,8.3,0,5,7.662,0.621,0,459.7,41.5
7.658,2.4,0.022,1,1,2,11,11,0.699,40.5,7.1,1,3,7.95,0.639,0,333.92,30.5
7.174,0.0,0.0,0,0,0,12,12,0.684,47.1,2.9,0,1,7.451,0.651,0,253.32,28.0
7.847,2.4,0.022,1,1,2,11,11,0.711,40.5,7.1,0,3,9.009,0.643,0,378.37,30.5
6.222,0.0,0.105,0,6,2,11,13,0.679,35.2,13.0,0,7,7.994,0.629,0,431.65,39.5
8.7,0.0,0.1,0,3,1,6,7,0.689,41.4,3.4,0,1,7.081,0.617,0,205.35,19.0
5.276,0.0,0.0,0,0,0,12,12,0.684,47.1,2.9,0,1,7.451,0.651,0,253.32,28.0
5.0,0.0,0.119,0,8,0,22,22,0.664,42.9,6.3,0,4,7.026,0.625,0,442.61,48.0
5.591,0.0,0.129,0,8,0,16,17,0.649,40.7,5.1,0,3,6.908,0.611,0,407.56,42.0
7.481,0.0,0.0,0,0,0,12,12,0.684,47.1,2.9,0,1,7.451,0.651,0,253.32,28.0
8.009,4.8,0.044,2,2,1,16,17,0.706,47.6,4.8,1,2,8.115,0.667,1,340.85,36.0
5.781,3.6,0.121,2,7,2,16,17,0.687,41.8,5.5,2,3,8.117,0.645,0,446.41,42.0
8.745,0.0,0.016,0,1,0,12,12,0.653,43.1,1.7,0,1,6.234,0.597,0,361.57,37.0
5.64,1.8,0.138,1,8,1,6,7,0.631,35.7,3.6,1,2,7.089,0.591,0,396.96,33.0
5.0,0.0,0.154,0,8,0,6,7,0.613,35.3,3.9,0,2,6.284,0.569,0,320.48,28.0
5.0,1.9,0.127,1,7,0,6,7,0.616,35.8,3.8,0,2,6.915,0.587,1,366.48,32.0
6.013,0.0,0.127,0,8,0,16,17,0.647,40.0,6.7,0,4,6.776,0.606,0,406.58,42.0
7.638,7.5,0.071,4,4,0,12,12,0.644,41.5,3.8,0,2,7.707,0.625,4,408.48,38.0
6.109,0.0,0.116,0,8,0,21,22,0.659,41.5,7.7,0,5,7.04,0.621,0,457.63,49.5
5.0,5.4,0.119,3,7,3,16,17,0.7,41.1,7.1,3,4,8.569,0.654,0,479.87,43.0
7.921,3.5,0.082,2,5,1,16,17,0.674,42.1,7.0,1,4,7.737,0.637,1,440.99,44.0
5.87,0.0,0.125,0,8,0,17,18,0.653,41.0,6.6,0,4,6.862,0.613,0,418.59,43.5
5.842,0.0,0.127,0,8,0,17,18,0.651,40.0,8.3,0,5,6.993,0.614,0,419.58,43.5
5.83,0.0,0.125,0,8,0,17,18,0.653,41.0,6.6,0,4,6.862,0.613,0,418.59,43.5
