pXC50,Sp,nAT,nBT,Sv,Si,Se,nC,H.,AMW,C.,Me,Mi,Mp,Mv,MW,N.,nAB
5.996,50.637,73,78,48.496,81.73,73.6,32,41.1,8.147,43.8,1.008,1.12,0.694,0.664,594.75,8.2,32
6.301,49.046,71,75,46.894,78.986,71.614,32,42.3,8.038,45.1,1.009,1.112,0.691,0.66,570.71,2.8,27
6.496,49.051,72,75,46.915,80.484,72.716,31,43.1,7.968,43.1,1.01,1.118,0.681,0.652,573.72,4.2,17
4.301,50.159,74,78,48.234,82.481,74.421,34,43.2,7.631,45.9,1.006,1.115,0.678,0.652,564.68,2.7,28
4.301,41.398,64,66,39.707,72.066,64.538,26,46.9,7.29,40.6,1.008,1.126,0.647,0.62,466.58,3.1,12
4.31,39.637,61,63,38.18,68.651,61.654,25,45.9,7.419,41.0,1.011,1.125,0.65,0.626,452.55,3.3,12
4.301,41.852,65,67,40.422,73.275,65.865,26,46.2,7.424,40.0,1.013,1.127,0.644,0.622,482.58,3.1,12
4.523,47.614,72,75,45.948,80.69,72.749,31,44.4,7.565,43.1,1.01,1.121,0.661,0.638,544.65,2.8,23
4.699,38.881,60,62,37.675,67.734,60.872,24,45.0,7.559,40.0,1.015,1.129,0.648,0.628,453.54,5.0,17
5.658,40.534,58,60,37.97,64.956,58.84,24,43.1,9.731,41.4,1.014,1.12,0.699,0.655,564.41,3.4,17
6.066,42.989,66,69,41.309,74.81,66.523,26,45.5,7.434,39.4,1.008,1.133,0.651,0.626,490.62,9.1,17
4.301,41.398,64,66,39.707,72.066,64.538,26,46.9,7.29,40.6,1.008,1.126,0.647,0.62,466.58,3.1,12
5.71,38.733,58,60,37.481,65.179,59.094,24,43.1,8.154,41.4,1.019,1.124,0.668,0.646,472.96,3.4,17
4.301,41.852,65,67,40.422,73.275,65.865,26,46.2,7.424,40.0,1.013,1.127,0.644,0.622,482.58,3.1,12
6.523,49.046,71,75,46.894,78.986,71.614,32,42.3,8.038,45.1,1.009,1.112,0.691,0.66,570.71,2.8,27
5.733,37.875,58,60,36.653,65.235,58.771,24,44.8,7.561,41.4,1.013,1.125,0.653,0.632,438.52,3.4,17
5.301,40.494,61,63,39.007,68.595,61.978,25,44.3,7.983,41.0,1.016,1.125,0.664,0.639,486.99,3.3,12
6.046,39.119,59,61,38.148,66.319,59.989,25,42.4,7.856,42.4,1.017,1.124,0.663,0.647,463.53,5.1,17
4.886,41.352,61,63,39.835,68.539,62.302,25,42.6,8.548,41.0,1.021,1.124,0.678,0.653,521.43,3.3,12
6.16,49.046,71,75,46.894,78.986,71.614,32,42.3,8.038,45.1,1.009,1.112,0.691,0.66,570.71,2.8,27
6.174,50.159,74,78,48.234,82.481,74.421,34,43.2,7.631,45.9,1.006,1.115,0.678,0.652,564.68,2.7,28
4.301,42.256,64,66,40.534,72.01,64.862,26,45.3,7.828,40.6,1.013,1.125,0.66,0.633,501.02,3.1,12
5.437,41.852,65,67,40.422,73.275,65.865,26,46.2,7.424,40.0,1.013,1.127,0.644,0.622,482.58,3.1,12
5.444,39.028,60,62,38.577,67.737,61.643,24,41.7,8.059,40.0,1.027,1.129,0.65,0.643,483.52,5.0,17
5.398,44.398,67,70,42.707,75.066,67.538,29,44.8,7.502,43.3,1.008,1.12,0.663,0.637,502.61,3.0,17
5.71,41.398,64,66,39.707,72.066,64.538,26,46.9,7.29,40.6,1.008,1.126,0.647,0.62,466.58,3.1,12
5.523,38.733,58,60,37.481,65.179,59.094,24,43.1,8.154,41.4,1.019,1.124,0.668,0.646,472.96,3.4,17
5.699,46.256,68,71,44.534,76.01,68.862,30,42.6,8.074,44.1,1.013,1.118,0.68,0.655,549.06,2.9,23
5.155,40.534,58,60,37.97,64.956,58.84,24,43.1,9.731,41.4,1.014,1.12,0.699,0.655,564.41,3.4,17
4.678,39.637,61,63,38.18,68.651,61.654,25,45.9,7.419,41.0,1.011,1.125,0.65,0.626,452.55,3.3,12
4.523,38.881,60,62,37.675,67.734,60.872,24,45.0,7.559,40.0,1.015,1.129,0.648,0.628,453.54,5.0,17
5.102,39.028,60,62,38.577,67.737,61.643,24,41.7,8.059,40.0,1.027,1.129,0.65,0.643,483.52,5.0,17
5.745,46.682,73,75,44.287,82.311,73.189,29,49.3,6.968,39.7,1.003,1.128,0.639,0.607,508.67,2.7,17
5.987,39.449,61,63,39.33,69.67,63.192,25,41.0,8.304,41.0,1.036,1.142,0.647,0.645,506.52,3.3,17
5.701,40.989,61,63,39.205,68.492,61.883,25,44.3,8.712,41.0,1.014,1.123,0.672,0.643,531.44,3.3,12
5.31,37.813,58,60,37.036,65.575,59.283,24,43.1,7.871,41.4,1.022,1.131,0.652,0.639,456.51,3.4,17
5.658,40.165,65,67,38.255,73.979,65.523,23,50.8,6.886,35.4,1.008,1.138,0.618,0.589,447.59,4.6,6
6.222,60.404,95,98,57.372,107.305,95.363,37,49.5,6.967,38.9,1.004,1.13,0.636,0.604,661.87,3.2,18
6.301,53.211,83,86,50.362,93.64,83.058,33,49.4,6.937,39.8,1.001,1.128,0.641,0.607,575.77,3.6,18
5.569,43.472,69,71,41.067,78.185,69.08,26,50.7,6.806,37.7,1.001,1.133,0.63,0.595,469.64,4.3,12
6.027,41.926,68,70,39.782,77.395,68.407,24,51.5,6.789,35.3,1.006,1.138,0.617,0.585,461.62,4.4,6
5.921,55.12,86,89,52.792,97.059,86.712,34,47.7,7.207,39.5,1.008,1.129,0.641,0.614,619.78,3.5,18
5.538,38.404,62,64,36.728,70.564,62.64,22,50.0,6.993,35.5,1.01,1.138,0.619,0.592,433.56,4.8,6
5.745,60.307,95,98,57.78,107.225,95.916,37,48.4,7.146,38.9,1.01,1.129,0.635,0.608,678.85,2.1,18
6.276,56.574,88,92,54.507,99.268,89.04,35,46.6,7.361,39.8,1.012,1.128,0.643,0.619,647.79,3.4,18
5.409,60.853,95,99,58.066,107.016,95.589,38,48.4,7.104,40.0,1.006,1.126,0.641,0.611,674.86,2.1,18
6.398,40.852,64,66,39.422,72.275,64.865,25,46.9,7.353,39.1,1.014,1.129,0.638,0.616,470.57,3.1,12
4.824,41.864,66,68,38.428,74.474,64.879,26,54.5,6.192,39.4,0.983,1.128,0.634,0.582,408.64,3.0,12
4.824,49.841,77,80,46.196,86.514,75.974,32,51.9,6.503,41.6,0.987,1.124,0.647,0.6,500.74,2.6,18
4.824,41.108,65,67,37.923,73.557,64.098,25,53.8,6.302,38.5,0.986,1.132,0.632,0.583,409.63,4.6,12
6.149,52.142,81,84,49.724,91.482,81.469,33,48.1,7.145,40.7,1.006,1.129,0.644,0.614,578.74,2.5,18
5.301,64.375,101,105,61.119,113.846,101.356,40,49.5,6.96,39.6,1.004,1.127,0.637,0.605,702.92,2.0,18
5.0,45.552,68,71,42.595,75.77,67.221,31,48.5,6.877,45.6,0.989,1.114,0.67,0.626,467.65,1.5,22
4.886,34.222,48,52,32.907,52.863,48.036,25,39.6,7.947,52.1,1.001,1.101,0.713,0.686,381.45,2.1,23
4.77,33.489,48,51,33.772,54.092,49.902,24,33.3,9.154,50.0,1.04,1.127,0.698,0.704,439.41,2.1,22
4.678,40.722,60,63,38.729,66.734,59.898,28,45.0,7.359,46.7,0.998,1.112,0.679,0.645,441.56,1.7,22
4.818,33.335,46,48,32.981,51.336,47.775,21,32.6,10.006,45.7,1.039,1.116,0.725,0.717,460.29,6.5,18
4.796,40.534,60,63,39.879,67.753,61.436,28,40.0,8.259,46.7,1.024,1.129,0.676,0.665,495.53,1.7,22
5.0,33.489,48,51,33.772,54.092,49.902,24,33.3,9.154,50.0,1.04,1.127,0.698,0.704,439.41,2.1,22
5.009,33.489,48,51,33.772,54.092,49.902,24,33.3,9.154,50.0,1.04,1.127,0.698,0.704,439.41,2.1,22
4.585,31.46,44,47,30.38,48.448,44.153,23,38.6,8.077,52.3,1.003,1.101,0.715,0.69,355.41,2.3,22
5.174,39.029,59,62,38.889,67.417,60.974,25,39.0,8.483,42.4,1.033,1.143,0.662,0.659,500.52,6.8,18
5.678,38.29,58,61,39.733,67.147,61.738,25,32.8,9.577,43.1,1.064,1.158,0.66,0.685,555.47,5.2,18
5.432,38.29,58,61,39.733,67.147,61.738,25,32.8,9.577,43.1,1.064,1.158,0.66,0.685,555.47,5.2,18
6.0,48.58,73,77,49.335,83.891,76.49,32,35.6,9.05,43.8,1.048,1.149,0.665,0.676,660.62,5.5,24
5.959,39.364,62,65,40.093,72.267,65.279,24,38.7,8.815,38.7,1.053,1.166,0.635,0.647,546.52,6.5,12
5.495,38.608,61,64,39.588,71.35,64.498,23,37.7,8.976,37.7,1.057,1.17,0.633,0.649,547.51,8.2,12
4.824,50.79,83,86,49.06,95.573,84.581,29,49.4,7.214,34.9,1.019,1.151,0.612,0.591,598.74,4.8,6
6.046,34.841,55,57,36.039,64.436,58.512,21,36.4,9.208,38.2,1.064,1.172,0.633,0.655,506.45,7.3,12
5.301,40.818,64,67,41.808,74.476,67.607,25,37.5,8.977,39.1,1.056,1.164,0.638,0.653,574.53,6.3,12
5.367,41.125,65,68,41.62,75.682,68.163,25,40.0,8.624,38.5,1.049,1.164,0.633,0.64,560.55,6.2,12
6.0,48.438,75,79,48.154,86.848,77.672,31,41.3,8.329,41.3,1.036,1.158,0.646,0.642,624.66,5.3,18
5.77,39.449,60,63,39.642,69.35,62.523,26,38.3,8.725,43.3,1.042,1.156,0.657,0.661,523.52,5.0,18
5.456,41.824,66,69,42.829,76.974,69.709,25,37.9,8.933,37.9,1.056,1.166,0.634,0.649,589.55,7.6,12
5.469,38.273,58,61,38.384,66.5,60.192,24,37.9,8.647,41.4,1.038,1.147,0.66,0.662,501.51,8.6,18
5.77,50.074,78,82,50.447,90.943,81.581,32,39.7,8.65,41.0,1.046,1.166,0.642,0.647,674.67,5.1,18
5.854,40.182,61,64,40.814,69.919,63.847,25,36.1,8.943,41.0,1.047,1.146,0.659,0.669,545.52,8.2,18
5.215,38.273,58,61,38.384,66.5,60.192,24,37.9,8.647,41.4,1.038,1.147,0.66,0.662,501.51,8.6,18
5.854,47.83,74,78,48.551,85.935,77.661,30,37.8,8.86,40.5,1.049,1.161,0.646,0.656,655.63,6.8,18
5.745,34.978,54,56,35.678,63.369,57.814,19,35.2,9.785,35.2,1.071,1.174,0.648,0.661,528.39,7.4,12
5.553,39.364,62,65,40.093,72.267,65.279,24,38.7,8.815,38.7,1.053,1.166,0.635,0.647,546.52,6.5,12
5.469,43.381,63,67,43.991,71.049,65.752,30,33.3,9.183,47.6,1.044,1.128,0.689,0.698,578.53,3.2,28
5.31,41.165,59,63,41.749,66.424,61.542,29,32.2,9.297,49.2,1.043,1.126,0.698,0.708,548.5,3.4,28
4.009,41.352,59,63,40.6,65.405,60.003,29,37.3,8.382,49.2,1.017,1.109,0.701,0.688,494.53,3.4,28
4.538,49.767,74,79,49.185,83.872,75.952,33,39.2,8.36,44.6,1.026,1.133,0.673,0.665,618.66,5.4,24
4.195,51.529,77,82,50.711,87.287,78.836,34,40.3,8.217,44.2,1.024,1.134,0.669,0.659,632.69,5.2,24
5.495,49.006,72,77,48.658,81.457,74.069,33,37.5,8.564,45.8,1.029,1.131,0.681,0.676,616.64,5.6,28
4.836,48.25,71,76,48.152,80.54,73.287,32,36.6,8.699,45.1,1.032,1.134,0.68,0.678,617.63,7.0,28
5.62,51.222,76,81,50.899,86.082,78.28,34,38.2,8.509,44.7,1.03,1.133,0.674,0.67,646.67,5.3,28
4.658,51.222,76,81,50.899,86.082,78.28,34,38.2,8.509,44.7,1.03,1.133,0.674,0.67,646.67,5.3,28
4.2,41.091,57,61,39.357,62.906,57.425,28,38.6,8.466,49.1,1.007,1.104,0.721,0.69,482.59,3.5,28
5.081,43.119,61,65,42.749,68.55,63.174,29,34.4,9.288,47.5,1.036,1.124,0.707,0.701,566.59,3.3,28
4.921,53.103,76,81,49.901,84.059,74.996,38,44.7,7.247,50.0,0.987,1.106,0.699,0.657,550.74,2.6,34
5.372,38.881,60,62,37.675,67.734,60.872,24,45.0,7.559,40.0,1.015,1.129,0.648,0.628,453.54,5.0,17
5.783,42.307,66,68,41.136,74.485,67.192,26,45.5,7.554,39.4,1.018,1.129,0.641,0.623,498.58,3.0,17
4.747,43.307,67,69,42.136,75.485,68.192,27,44.8,7.621,40.3,1.018,1.127,0.646,0.629,510.59,3.0,12
