pXC50,MW,SCBO,nSK,nBO,nAB,Sp,nBM,Se,nAT,nCsp2,Si,nHet,nO,nC,nBT,nS,O.,Mi,RBF,RBN,N.,Sv,nDB,nH,AMW,C.
4.034,455.07,43.5,31,34,17,40.12,18,57.738,58,15,65.049,7,1,24,61,1,1.7,1.122,0.115,7,6.9,37.137,1,27,7.846,41.4
4.102,594.76,62.0,44,50,24,54.444,24,82.072,82,24,91.727,8,6,36,88,0,7.3,1.119,0.023,2,2.4,51.814,0,38,7.253,43.9
5.258,476.66,48.0,35,38,18,45.285,19,68.578,69,19,77.944,5,1,30,72,0,1.4,1.13,0.139,10,2.9,42.48,1,34,6.908,43.5
8.2,511.82,51.0,38,41,18,53.461,19,81.188,83,19,93.424,4,1,34,86,0,1.2,1.126,0.163,14,3.6,48.842,1,45,6.167,41.0
4.034,314.41,38.0,24,27,22,29.557,22,41.6,42,19,46.528,3,1,21,45,0,2.4,1.108,0.089,4,4.8,27.972,0,18,7.486,50.0
4.034,416.59,38.0,30,32,6,38.296,9,62.08,62,8,71.016,9,3,21,64,0,4.8,1.145,0.141,9,9.7,36.121,3,32,6.719,33.9
4.034,652.26,58.5,40,44,29,48.892,29,63.902,63,27,69.475,9,1,31,67,0,1.6,1.103,0.134,9,3.2,45.834,0,23,10.353,49.2
9.0,336.44,36.5,24,26,17,28.898,19,40.12,40,18,44.242,5,2,19,42,1,5.0,1.106,0.119,5,5.0,27.347,2,16,8.411,47.5
6.759,332.53,36.0,25,28,16,34.91,16,51.69,53,14,59.394,2,0,23,56,0,0.0,1.121,0.107,6,3.8,31.891,0,28,6.274,43.4
4.034,425.44,35.0,28,31,6,38.057,7,57.76,58,7,65.531,6,2,22,61,0,3.4,1.13,0.066,4,3.4,35.029,1,30,7.335,37.9
4.034,465.41,41.0,31,33,12,38.443,14,57.647,57,14,64.12,8,4,23,59,0,7.0,1.125,0.153,9,3.5,36.405,2,26,8.165,40.4
5.066,396.96,33.0,27,29,6,35.347,7,56.207,56,7,63.591,7,4,20,58,0,7.1,1.136,0.138,8,3.6,33.105,1,29,7.089,35.7
5.0,320.48,28.0,23,24,6,31.273,7,50.672,51,7,58.022,5,3,18,52,0,5.9,1.138,0.154,8,3.9,29.036,1,28,6.284,35.3
5.0,366.48,32.0,26,28,6,32.665,7,53.512,53,7,60.572,7,4,19,55,0,7.5,1.143,0.127,7,3.8,31.134,1,27,6.915,35.8
5.951,244.37,25.0,18,20,10,24.319,10,37.483,38,8,42.943,3,1,15,40,0,2.6,1.13,0.075,3,5.3,22.499,0,20,6.431,39.5
6.469,365.49,39.0,27,30,16,33.785,17,50.865,51,15,57.611,5,1,22,54,0,2.0,1.13,0.093,5,5.9,31.957,1,24,7.166,43.1
5.967,326.45,34.0,24,26,16,30.779,16,46.763,47,14,53.113,4,1,20,49,0,2.1,1.13,0.143,7,4.3,28.936,0,23,6.946,42.6
6.398,285.39,29.0,21,23,12,27.012,12,40.778,41,12,46.199,3,1,18,43,0,2.4,1.127,0.116,5,2.4,25.388,0,20,6.961,43.9
6.648,372.9,37.0,26,29,16,32.637,16,48.087,48,14,54.057,5,1,21,51,0,2.1,1.126,0.098,5,4.2,30.763,0,22,7.769,43.8
6.208,320.47,35.0,24,27,16,31.841,16,47.251,48,14,53.773,3,1,21,51,0,2.1,1.12,0.098,5,4.2,29.552,0,24,6.676,43.8
6.699,389.35,37.0,26,29,16,33.557,16,47.898,48,14,53.661,5,1,21,51,0,2.1,1.118,0.098,5,4.2,31.207,0,22,8.111,43.8
6.699,354.91,36.0,25,28,16,32.699,16,47.574,48,14,53.717,4,1,21,51,0,2.1,1.119,0.098,5,4.2,30.38,0,23,7.394,43.8
6.032,324.43,35.0,24,27,16,30.017,16,44.88,45,14,50.698,4,1,20,48,0,2.2,1.127,0.083,4,4.4,28.409,0,21,7.21,44.4
6.0,253.38,28.0,19,21,10,25.108,11,37.374,38,8,42.817,3,0,16,40,0,0.0,1.127,0.05,2,7.9,23.279,0,19,6.668,42.1
6.0,432.63,44.5,32,36,11,41.387,14,63.425,64,13,72.597,7,1,25,68,0,1.6,1.134,0.088,6,9.4,38.692,3,32,6.76,39.1
7.0,334.5,36.0,25,28,16,33.603,16,50.134,51,14,57.188,3,1,22,54,0,2.0,1.121,0.111,6,3.9,31.079,0,26,6.559,43.1
5.855,368.49,38.0,27,30,16,33.995,16,51.974,52,14,58.738,5,2,22,55,0,3.8,1.13,0.109,6,3.8,32.177,0,25,7.086,42.3
6.783,368.49,38.0,27,30,16,33.995,16,51.974,52,14,58.738,5,2,22,55,0,3.8,1.13,0.109,6,3.8,32.177,0,25,7.086,42.3
7.0,320.47,35.0,24,27,16,31.841,16,47.251,48,14,53.773,3,1,21,51,0,2.1,1.12,0.098,5,4.2,29.552,0,24,6.676,43.8
