pXC50,nH,RBN,nCsp3,C.,Sp,H.
6.119,26,12,9,35.3,31.421,51.0
6.921,29,12,8,39.0,37.733,49.2
6.469,33,14,10,38.5,41.256,50.8
7.456,35,14,10,40.8,46.017,49.3
6.046,26,11,11,29.8,27.421,55.3
6.071,25,13,9,34.0,32.574,47.2
6.678,30,13,9,39.3,38.943,49.2
6.854,31,13,9,38.7,39.495,50.0
7.398,28,12,9,38.6,36.182,49.1
6.155,22,11,8,33.3,28.546,48.9
7.0,16,5,2,43.2,24.705,43.2
6.841,16,4,1,47.5,27.705,40.0
6.996,18,5,4,43.9,27.466,43.9
6.959,36,7,17,32.4,40.932,52.9
4.18,15,5,1,41.0,25.858,38.5
4.46,14,4,2,42.4,21.943,42.4
5.852,18,5,3,42.5,26.466,45.0
6.578,26,10,7,40.4,33.512,50.0
5.53,14,4,1,44.1,22.943,41.2
5.83,18,6,2,43.6,26.012,46.2
7.15,24,9,6,40.8,31.75,49.0
4.432,16,5,3,41.7,23.705,44.4
6.745,17,8,5,34.2,23.619,44.7
7.0,25,9,8,34.0,28.756,53.2
5.699,21,7,6,34.1,25.233,51.2
5.284,15,5,1,44.7,26.563,39.5
6.745,19,5,3,40.5,27.472,45.2
6.523,27,10,9,34.0,30.517,54.0
4.398,19,5,3,40.5,27.472,45.2
7.0,22,8,5,41.3,29.989,47.8
6.824,17,7,5,36.1,23.324,47.2
6.854,20,8,6,35.0,24.682,50.0
6.046,18,7,5,36.1,22.466,50.0
4.616,15,5,1,44.7,26.563,39.5
4.991,18,5,2,43.9,27.466,43.9
6.569,18,5,2,43.9,27.466,43.9
4.599,15,5,1,44.7,26.563,39.5
6.553,16,5,1,44.7,25.705,42.1
4.577,20,6,1,47.9,33.228,41.7
4.658,15,5,1,44.7,25.642,39.5
6.244,18,6,2,42.9,27.921,42.9
6.377,20,6,3,43.2,29.228,45.5
6.699,18,5,1,47.7,30.466,40.9
6.268,18,6,2,42.9,27.921,42.9
4.452,15,5,1,44.7,25.642,39.5
6.602,18,6,2,42.9,27.921,42.9
4.545,15,5,1,44.7,27.057,39.5
8.155,12,2,6,35.7,17.295,42.9
7.215,25,11,8,37.3,33.404,49.0
6.672,15,7,5,31.3,20.597,46.9
7.432,23,10,7,37.5,31.642,47.9
5.046,13,5,1,41.2,23.835,38.2
6.959,17,7,6,31.4,22.358,48.6
6.87,21,9,8,31.7,25.881,51.2
7.42,15,6,3,38.9,24.597,41.7
6.64,17,7,4,38.5,26.358,43.6
6.903,19,8,5,38.1,28.12,45.2
8.0,40,11,16,39.8,53.455,48.2
7.77,17,6,1,45.5,31.358,38.6
7.284,25,10,6,41.8,37.404,45.5
7.432,17,7,4,38.5,26.358,43.6
7.495,25,10,8,37.3,33.404,49.0
7.046,27,12,9,37.0,35.165,50.0
6.688,19,8,5,38.1,28.12,45.2
7.638,17,6,1,45.5,31.358,38.6
7.377,23,10,7,37.5,31.642,47.9
7.097,19,7,2,44.7,33.12,40.4
7.398,21,9,6,37.8,29.881,46.7
7.086,23,10,7,36.7,32.097,46.9
7.208,23,9,8,38.8,32.642,46.9
8.097,17,7,4,38.5,26.358,43.6
6.119,19,7,2,44.7,33.12,40.4
8.046,23,9,7,37.5,31.642,47.9
7.081,25,11,8,37.3,33.404,49.0
6.435,17,6,1,45.5,31.358,38.6
7.745,21,9,6,37.8,29.881,46.7
7.387,19,7,2,44.7,33.12,40.4
6.959,34,8,17,33.3,40.171,51.5
7.921,19,8,5,38.1,28.12,45.2
6.921,27,12,9,36.4,34.426,49.1
6.888,20,7,4,41.9,28.228,46.5
4.969,16,5,3,41.7,23.705,44.4
5.888,18,5,2,43.9,27.466,43.9
5.57,16,4,2,43.2,24.705,43.2
7.369,18,6,3,42.5,26.466,45.0
5.002,18,6,1,45.2,28.466,42.9
4.689,14,4,2,42.4,21.943,42.4
6.7,17,6,2,40.5,27.619,40.5
6.68,28,11,8,40.0,35.273,50.9
6.94,16,4,1,47.5,27.705,40.0
8.0,42,11,17,39.5,55.216,48.8
6.96,22,8,5,41.3,29.989,47.8
6.112,16,5,1,44.7,25.705,42.1
5.921,18,6,4,41.0,25.466,46.2
6.51,18,5,4,43.9,27.466,43.9
6.577,14,4,1,44.1,22.943,41.2
5.52,13,5,1,41.7,24.097,36.1
7.301,14,4,1,44.1,22.943,41.2
6.481,33,14,10,38.5,41.256,50.8
6.495,16,7,6,26.7,17.159,53.3
6.602,28,13,10,34.5,33.637,50.9
6.125,24,11,8,35.4,29.659,50.0
5.959,25,11,8,34.7,30.211,51.0
6.284,27,11,8,38.2,34.972,49.1
6.444,28,12,9,38.6,36.182,49.1
4.398,19,6,5,34.2,23.472,50.0
5.699,43,16,12,43.2,64.074,45.3
5.678,15,5,1,44.7,27.057,39.5
6.167,18,5,2,43.9,27.466,43.9
6.444,15,5,1,44.7,27.057,39.5
5.745,18,5,1,47.7,30.466,40.9
4.31,15,5,2,43.9,27.279,36.6
5.149,15,5,1,44.7,25.642,39.5
4.498,15,4,4,40.5,25.597,40.5
7.456,23,9,7,37.5,31.642,47.9
7.569,15,6,3,38.9,24.597,41.7
4.387,15,6,2,40.5,25.597,40.5
7.42,21,9,6,37.8,29.881,46.7
6.0,16,5,1,44.7,25.705,42.1
6.085,13,5,2,39.4,22.835,39.4
5.102,18,5,2,43.9,27.466,43.9
6.42,35,15,11,38.2,43.017,51.5
4.769,16,5,3,41.7,23.705,44.4
5.42,14,4,1,44.1,22.943,41.2
6.301,26,12,9,35.3,31.421,51.0
7.0,23,8,7,34.1,26.995,52.3
5.84,19,5,3,40.5,27.472,45.2
5.95,16,4,2,43.2,24.705,43.2
5.649,16,5,2,42.1,25.159,42.1
5.53,13,4,1,44.1,22.881,38.2
5.73,13,4,1,44.1,23.801,38.2
6.88,20,8,6,35.9,24.228,51.3
8.36,22,6,5,38.6,27.989,50.0
