pXC50,AMW,nHet,N.,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nB
7.62,9.451,9,7.3,39.0,39.0,1.034,1.144,0.699,0.671,387.49,11,41,0
5.186,9.059,9,7.3,39.0,39.0,1.04,1.151,0.67,0.66,371.42,11,41,0
6.815,8.82,9,9.5,38.1,40.5,1.034,1.154,0.667,0.651,370.44,11,42,0
8.0,9.059,9,7.3,39.0,39.0,1.04,1.151,0.67,0.66,371.42,11,41,0
5.549,8.667,10,12.2,36.6,39.0,1.046,1.167,0.636,0.643,355.36,11,41,0
7.854,8.667,9,7.3,39.0,39.0,1.046,1.158,0.641,0.648,355.35,11,41,0
5.992,9.702,11,7.1,35.7,38.1,1.049,1.15,0.68,0.665,407.48,11,42,0
6.759,8.573,9,6.3,39.6,41.7,1.029,1.146,0.667,0.648,411.49,11,48,0
7.076,9.405,9,7.9,39.5,36.8,1.046,1.152,0.677,0.672,357.39,11,38,0
8.155,9.31,10,10.0,37.5,37.5,1.047,1.156,0.668,0.663,372.41,11,40,0
6.701,8.908,10,10.0,37.5,37.5,1.053,1.164,0.638,0.652,356.34,11,40,0
6.111,8.921,10,6.7,37.8,40.0,1.041,1.151,0.66,0.651,401.45,11,45,0
7.26,9.196,9,7.0,41.9,37.2,1.038,1.144,0.686,0.675,395.44,16,43,0
7.187,9.439,10,9.5,40.5,35.7,1.044,1.149,0.684,0.68,396.43,16,42,0
7.409,9.121,10,8.9,40.0,37.8,1.039,1.148,0.677,0.668,410.46,16,45,0
9.0,9.271,11,8.7,39.1,37.0,1.045,1.15,0.673,0.669,426.46,16,46,0
7.796,9.439,10,9.5,40.5,35.7,1.044,1.149,0.684,0.68,396.43,16,42,0
7.62,8.499,5,4.9,48.8,39.0,1.003,1.103,0.729,0.691,348.45,22,41,0
5.633,8.677,6,4.8,47.6,38.1,1.011,1.106,0.723,0.692,364.45,22,42,0
7.824,9.339,6,4.9,48.8,36.6,1.011,1.102,0.75,0.712,382.89,22,41,0
6.466,8.677,6,4.8,47.6,38.1,1.011,1.106,0.723,0.692,364.45,22,42,0
7.523,8.938,6,4.9,48.8,36.6,1.015,1.112,0.728,0.701,366.44,22,41,0
6.593,9.339,6,4.9,48.8,36.6,1.011,1.102,0.75,0.712,382.89,22,41,0
5.372,8.736,6,7.5,47.5,37.5,1.008,1.108,0.729,0.696,349.44,22,40,0
5.754,8.736,6,7.5,47.5,37.5,1.008,1.108,0.729,0.696,349.44,22,40,0
5.768,8.906,6,5.3,47.4,36.8,1.015,1.106,0.726,0.698,338.41,21,38,0
6.636,9.328,6,5.3,47.4,36.8,1.008,1.099,0.757,0.711,354.48,21,38,0
6.947,9.186,7,7.5,47.5,35.0,1.021,1.117,0.727,0.706,367.43,22,40,0
6.136,7.329,3,4.3,48.9,44.7,0.99,1.117,0.693,0.653,344.46,22,47,0
4.699,8.704,4,8.3,55.6,33.3,1.007,1.109,0.743,0.724,313.35,22,36,0
