pXC50,AMW,C.,H.,Me
5.0,8.295,37.1,40.0,1.032
7.155,8.008,38.3,44.7,1.014
5.796,7.202,37.1,50.0,1.001
5.943,7.212,35.9,50.0,1.003
6.721,7.797,36.5,46.2,1.012
5.585,8.03,37.8,44.4,1.012
5.0,7.636,32.6,48.8,1.015
6.097,7.953,38.9,44.4,1.012
6.081,8.225,39.1,43.5,1.018
6.432,7.834,39.1,45.7,1.007
6.041,7.728,40.0,46.0,1.004
6.523,8.225,39.1,43.5,1.018
5.724,7.641,38.8,46.9,1.004
6.745,7.924,40.7,44.1,1.009
6.367,7.828,36.1,45.9,1.017
6.284,8.435,36.2,44.7,1.015
5.975,8.225,39.1,43.5,1.018
6.18,8.098,41.1,42.9,1.011
5.65,7.631,37.7,47.2,1.008
5.449,7.752,44.3,44.3,1.001
5.873,7.278,38.1,49.2,1.001
5.0,7.808,38.0,46.0,1.011
5.507,7.775,41.7,45.0,1.005
6.155,7.47,38.5,48.1,1.002
6.252,8.175,35.4,43.8,1.02
7.249,6.938,35.7,50.0,1.006
7.249,6.18,30.6,56.8,1.001
7.155,7.475,36.7,48.3,1.009
6.585,7.938,42.1,43.9,1.007
6.638,7.808,38.0,46.0,1.011
6.051,8.521,37.2,44.2,1.012
6.092,7.473,37.5,48.2,1.005
6.292,7.622,36.8,47.4,1.011
5.0,7.808,38.0,46.0,1.011
5.777,7.924,40.7,44.1,1.009
5.0,7.808,38.0,46.0,1.011
5.301,7.255,38.6,47.4,1.01
6.18,7.821,37.5,45.8,1.009
5.301,7.746,35.1,45.6,1.029
5.708,7.794,42.9,44.6,1.002
4.336,6.599,32.6,53.4,1.006
4.068,6.567,32.6,53.6,1.006
4.0,6.496,32.9,53.9,1.003
