pXC50,C.,N.,nN,H.,Mv,nCsp2
3.066,36.0,4.0,1,44.0,0.621,7
6.06,40.9,9.1,4,45.5,0.641,12
6.013,42.2,6.7,3,46.7,0.638,12
5.873,41.9,7.0,3,44.2,0.649,12
5.876,42.9,7.1,3,45.2,0.647,12
5.827,40.4,8.5,4,46.8,0.633,12
4.762,47.7,2.3,1,38.6,0.688,21
4.415,46.7,2.2,1,37.8,0.689,21
4.881,45.7,4.3,2,34.8,0.7,21
4.682,47.7,2.3,1,36.4,0.697,21
4.567,37.5,8.3,2,50.0,0.619,7
4.645,45.7,4.3,2,39.1,0.681,21
4.595,38.1,9.5,2,47.6,0.635,7
4.0,37.5,8.3,2,50.0,0.619,7
4.188,37.0,7.4,2,51.9,0.607,7
5.854,38.1,9.5,2,47.6,0.635,7
6.097,37.5,8.3,2,50.0,0.619,7
5.77,36.7,6.7,2,53.3,0.597,7
6.222,38.1,9.5,2,47.6,0.635,7
6.076,38.1,9.5,2,47.6,0.635,7
4.0,36.7,6.7,2,53.3,0.597,7
5.62,36.4,18.2,4,36.4,0.684,8
4.0,41.7,4.2,2,45.8,0.629,10
4.0,41.7,4.2,2,45.8,0.629,10
4.0,42.6,4.3,2,46.8,0.627,10
5.538,28.6,28.6,4,14.3,0.879,4
4.0,40.8,4.1,2,44.9,0.63,10
5.189,44.4,11.1,2,33.3,0.722,8
4.0,41.7,4.2,2,45.8,0.629,10
5.435,42.9,9.5,2,38.1,0.692,8
4.0,39.6,3.8,2,49.1,0.608,9
4.31,43.8,6.3,2,43.8,0.645,13
4.159,28.6,28.6,4,14.3,0.812,4
4.0,41.7,4.2,2,45.8,0.629,9
4.474,50.0,8.3,2,33.3,0.73,12
4.0,40.0,4.0,2,48.0,0.614,9
4.129,48.6,2.7,1,40.5,0.672,13
4.0,42.1,10.5,2,42.1,0.674,7
6.398,46.7,0.0,0,40.0,0.667,7
4.785,40.4,5.3,3,45.6,0.633,15
4.75,39.0,6.8,4,42.4,0.644,15
5.652,38.5,4.6,3,47.7,0.611,15
4.855,40.4,5.3,3,45.6,0.625,15
4.495,34.8,8.7,2,43.5,0.621,7
4.222,44.1,0.0,0,41.2,0.655,13
4.046,42.9,0.0,0,45.7,0.631,12
4.097,45.2,0.0,0,38.7,0.664,12
4.222,45.2,0.0,0,38.7,0.664,12
4.155,45.2,0.0,0,38.7,0.664,12
4.222,42.9,0.0,0,42.9,0.642,12
4.097,43.8,0.0,0,40.6,0.654,12
4.046,43.8,0.0,0,43.8,0.642,12
4.361,44.1,0.0,0,41.2,0.655,13
4.762,42.9,0.0,0,40.0,0.656,13
4.301,41.5,0.0,0,43.9,0.635,13
4.373,44.9,2.0,1,42.9,0.65,19
4.332,40.4,2.1,1,48.9,0.61,13
4.225,48.4,0.0,0,38.7,0.678,14
4.119,45.5,0.0,0,36.4,0.68,14
6.538,36.8,10.5,2,42.1,0.634,7
5.585,36.4,0.0,0,45.5,0.635,5
5.714,36.0,0.0,0,48.0,0.62,5
5.83,35.7,0.0,0,50.0,0.608,5
7.013,35.5,0.0,0,51.6,0.598,5
6.721,35.3,0.0,0,52.9,0.59,5
5.577,35.1,0.0,0,54.1,0.584,5
4.336,35.0,0.0,0,55.0,0.578,5
7.06,37.5,0.0,0,50.0,0.611,5
4.098,34.4,0.0,0,50.0,0.602,5
4.132,34.3,0.0,0,51.4,0.594,5
4.102,36.4,0.0,0,48.5,0.614,5
4.116,33.3,0.0,0,48.5,0.605,5
4.308,33.3,0.0,0,50.0,0.597,5
4.161,35.3,0.0,0,47.1,0.617,5
3.42,41.7,0.0,0,50.0,0.608,7
3.149,41.7,0.0,0,50.0,0.608,7
4.097,41.7,0.0,0,37.5,0.664,16
2.886,50.0,3.8,1,34.6,0.721,13
5.429,50.0,0.0,0,40.0,0.677,15
4.0,44.1,5.9,2,47.1,0.645,13
4.0,48.4,0.0,0,32.3,0.707,15
4.0,43.2,5.4,2,48.6,0.634,13
4.002,45.8,8.3,2,41.7,0.661,11
4.0,43.8,6.3,2,43.8,0.66,13
4.255,48.3,0.0,0,41.4,0.666,14
5.42,40.0,0.0,0,40.0,0.68,5
5.234,45.2,0.0,0,38.7,0.669,13
4.91,45.2,0.0,0,38.7,0.669,13
5.642,45.2,0.0,0,38.7,0.669,13
4.59,43.8,0.0,0,37.5,0.67,13
5.097,43.8,0.0,0,37.5,0.67,13
5.214,45.2,0.0,0,38.7,0.669,13
4.613,45.2,0.0,0,38.7,0.669,13
5.206,45.2,0.0,0,38.7,0.669,13
