pXC50,nC,nSK,MW,Sv,SCBO,Sp,nBO,Se,nO,N.,nAB,O.,nBM,nCsp2,Si,nHet,nAT,nBT,nH,nS,nCL,nDB,RBN,AMW,C.,H.,Me,Mi
5.9,21,27,377.47,30.037,42.5,31.387,30,43.407,1,7.0,23,2.3,24,20,47.87,6,43,46,16,1,0,1,4,8.778,48.8,37.2,1.009,1.113
5.9,20,25,346.84,28.074,39.5,29.449,28,40.033,0,10.0,23,0.0,23,19,44.428,5,40,43,15,0,1,0,4,8.671,50.0,37.5,1.001,1.111
5.9,16,22,319.47,26.422,31.5,28.426,24,42.989,2,7.0,11,4.7,13,9,48.571,6,43,45,21,1,0,2,2,7.43,37.2,48.8,1.0,1.13
5.9,21,35,507.55,36.846,50.0,36.955,38,57.378,3,12.7,18,5.5,21,16,63.377,14,55,58,20,1,0,3,7,9.228,38.2,36.4,1.043,1.152
5.9,33,43,587.76,48.561,66.5,50.972,49,72.163,2,9.7,33,2.8,34,28,80.394,10,72,78,29,1,0,1,8,8.163,45.8,40.3,1.002,1.117
5.9,33,43,587.76,48.561,66.5,50.972,49,72.163,2,9.7,33,2.8,34,28,80.394,10,72,78,29,1,0,1,8,8.163,45.8,40.3,1.002,1.117
5.0,23,33,448.59,37.869,46.5,39.569,37,61.305,2,13.1,17,3.3,18,14,69.557,10,61,65,28,0,0,1,5,7.354,37.7,45.9,1.005,1.14
6.1,14,20,349.22,21.792,31.0,22.966,22,29.698,2,6.9,16,6.9,17,14,31.838,6,29,31,9,1,0,1,3,12.042,48.3,31.0,1.024,1.098
6.1,24,33,471.0,37.517,46.0,39.142,37,58.68,0,10.3,18,0.0,18,16,66.18,9,58,62,25,0,1,0,4,8.121,41.4,43.1,1.012,1.141
5.9,15,19,251.31,21.413,29.5,22.279,21,32.051,1,9.4,17,3.1,17,14,35.78,4,32,34,13,0,0,0,3,7.853,46.9,40.6,1.002,1.118
7.7,20,29,390.44,31.434,44.0,31.966,32,47.894,3,12.8,22,6.4,23,18,53.109,9,47,50,18,0,0,1,6,8.307,42.6,38.3,1.019,1.13
7.699,11,16,214.25,17.381,24.5,17.762,18,26.385,1,15.4,11,3.8,12,9,29.448,5,26,28,10,0,0,1,1,8.24,42.3,38.5,1.015,1.133
5.9,19,28,388.41,30.211,39.0,30.353,31,47.483,3,8.7,12,6.5,14,13,52.622,9,46,49,18,0,0,2,4,8.444,41.3,39.1,1.032,1.144
5.0,19,26,361.55,32.385,32.5,34.836,28,56.65,2,8.8,5,3.5,7,5,65.308,7,57,59,31,0,0,2,4,6.343,33.3,54.4,0.994,1.146
5.9,22,32,440.5,35.642,46.0,36.364,34,57.207,6,7.1,16,10.7,20,15,63.402,10,56,58,24,0,0,4,9,7.866,39.3,42.9,1.022,1.132
8.2,20,32,440.46,34.105,46.0,34.091,34,53.76,6,11.5,18,11.5,21,17,59.153,12,52,54,20,0,0,3,9,8.47,38.5,38.5,1.034,1.138
5.9,22,29,401.53,32.697,45.0,34.461,33,48.098,1,10.4,22,2.1,23,19,53.527,7,48,52,19,1,0,1,2,8.365,45.8,39.6,1.002,1.115
5.706,29,39,544.74,45.308,56.5,47.944,44,71.156,3,8.5,21,4.2,23,19,79.936,10,71,76,32,1,0,2,8,7.672,40.8,45.1,1.002,1.126
5.319,11,16,216.27,17.908,23.5,18.523,17,28.269,1,14.3,11,3.6,12,10,31.863,5,28,29,12,0,0,1,3,7.724,39.3,42.9,1.01,1.138
6.533,16,20,269.38,23.993,28.5,25.563,22,38.702,1,7.7,11,2.6,12,10,44.026,4,39,41,19,0,0,1,3,6.907,41.0,48.7,0.992,1.129
8.046,16,20,263.32,22.413,31.5,23.279,22,33.051,1,9.1,17,3.0,18,16,36.78,4,33,35,13,0,0,1,3,7.979,48.5,39.4,1.002,1.115
6.699,15,20,264.31,21.908,31.5,22.523,22,32.269,1,12.5,17,3.1,18,15,35.863,5,32,34,12,0,0,1,3,8.26,46.9,37.5,1.008,1.121
5.886,15,20,270.37,23.488,28.5,24.807,22,37.92,1,10.5,11,2.6,12,10,43.109,5,38,40,18,0,0,1,3,7.115,39.5,47.4,0.998,1.134
6.706,10,15,266.11,16.385,22.5,17.108,16,23.513,1,13.0,11,4.3,12,10,25.792,5,23,24,8,0,0,1,2,11.57,43.5,34.8,1.022,1.121
6.553,10,14,187.22,15.359,21.5,15.756,15,23.284,1,13.0,11,4.3,12,10,25.95,4,23,24,9,0,0,1,2,8.14,43.5,39.1,1.012,1.128
7.658,13,20,285.36,21.589,31.0,22.415,22,31.564,1,16.1,16,3.2,17,13,34.867,7,31,33,11,1,0,1,3,9.205,41.9,35.5,1.018,1.125
7.409,13,20,285.36,21.589,31.0,22.415,22,31.564,1,16.1,16,3.2,17,13,34.867,7,31,33,11,1,0,1,3,9.205,41.9,35.5,1.018,1.125
6.287,11,15,201.25,16.886,22.5,17.517,16,26.167,1,11.5,11,3.8,12,10,29.365,4,26,27,11,0,0,1,2,7.74,42.3,42.3,1.006,1.129
6.317,12,16,215.28,18.413,23.5,19.279,17,29.051,1,10.3,11,3.4,12,10,32.78,4,29,30,13,0,0,1,3,7.423,41.4,44.8,1.002,1.13
6.334,13,17,229.31,19.94,24.5,21.04,18,31.934,1,9.4,11,3.1,12,10,36.196,4,32,33,15,0,0,1,3,7.166,40.6,46.9,0.998,1.131
6.194,15,21,280.31,22.622,32.5,22.977,23,33.596,2,12.1,17,6.1,18,15,37.073,6,33,35,12,0,0,1,3,8.494,45.5,36.4,1.018,1.123
