pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
7.77,9.384,33.3,33.3,1.06,1.17,0.642,0.666,225.21,20.8,5,24,0,8,17,0,25,8,0,0,7,1,3,1,8,8,0,0,5,2,0,0,16,0,1,8.3,0.08,2,22.5,25.444,28.08,15.398,15.974,4.2
3.098,9.556,32.3,35.5,1.086,1.179,0.602,0.643,296.23,6.5,0,31,0,3,21,0,32,10,0,0,4,6,3,3,11,10,0,0,2,5,0,0,20,0,3,16.1,0.063,2,24.0,33.68,36.554,18.665,19.928,9.7
4.192,9.011,40.0,37.1,1.022,1.128,0.704,0.681,315.39,14.3,11,35,0,14,24,0,37,14,0,0,13,1,3,0,13,8,1,0,5,2,0,1,22,0,0,5.7,0.135,5,32.5,35.774,39.491,24.631,23.831,0.0
7.721,11.485,32.0,36.0,1.044,1.152,0.688,0.675,287.12,20.0,11,25,0,11,17,1,26,8,0,0,7,1,0,0,9,8,1,0,5,2,0,0,16,0,1,8.0,0.077,2,22.5,26.102,28.79,17.193,16.879,4.0
4.347,9.446,37.5,31.3,1.053,1.146,0.668,0.689,151.14,18.8,5,16,0,7,12,0,17,6,0,0,6,0,2,0,5,5,0,0,3,2,0,0,11,0,0,12.5,0.0,0,16.5,16.844,18.329,10.688,11.021,0.0
4.411,7.088,28.9,50.0,1.018,1.159,0.598,0.577,269.35,13.2,0,38,0,4,19,0,38,11,0,0,4,7,4,0,19,8,0,0,5,3,0,0,19,0,0,7.9,0.158,6,23.0,38.676,44.026,22.722,21.939,0.0
4.119,10.239,31.8,31.8,1.051,1.148,0.698,0.693,225.26,22.7,5,22,0,8,16,0,23,7,0,0,7,0,3,0,7,8,1,0,5,2,0,1,15,0,0,9.1,0.087,2,21.5,23.124,25.246,15.347,15.251,0.0
4.31,8.732,34.5,37.9,1.051,1.145,0.632,0.646,253.24,10.3,0,29,0,4,19,0,30,10,0,1,4,5,3,0,11,8,0,0,3,5,0,0,18,1,0,17.2,0.067,2,24.0,30.476,33.203,18.335,18.745,0.0
4.67,7.63,31.1,48.9,1.017,1.143,0.635,0.596,343.36,6.7,5,45,0,8,24,0,46,14,0,0,6,8,3,0,22,9,1,0,3,5,1,0,23,0,0,11.1,0.196,9,29.5,45.753,51.418,28.585,26.83,0.0
4.638,7.639,37.0,44.4,1.016,1.14,0.643,0.625,412.5,11.1,10,54,0,14,33,0,57,20,0,0,12,8,4,0,24,10,0,0,6,4,0,0,30,0,0,7.4,0.158,9,42.0,54.872,61.564,34.705,33.729,0.0
