pXC50,SCBO,nBO,nSK,RBF,Me,MW,nC,Sv,RBN,Sp,nBT,nDB,Se,Si,nAT,C.,AMW
6.699,50.0,42,40,0.14,0.983,549.88,34,51.852,13,56.654,93,2,89.494,103.088,91,37.4,6.043
6.018,51.0,43,40,0.13,0.984,547.86,34,51.325,12,55.893,92,2,87.61,100.673,89,38.2,6.156
6.854,52.0,44,41,0.126,0.984,561.89,35,52.852,12,57.654,95,2,90.494,104.088,92,38.0,6.107
5.824,46.0,40,38,0.146,0.988,527.83,31,49.04,13,53.347,89,3,85.937,98.882,87,35.6,6.067
5.42,48.0,40,38,0.138,0.985,521.82,32,48.798,12,53.131,87,2,83.727,96.258,85,37.6,6.139
5.432,49.0,41,39,0.144,0.984,535.85,33,50.325,13,54.893,90,2,86.61,99.673,88,37.5,6.089
5.149,48.5,35,32,0.138,0.998,442.98,26,36.896,8,38.949,58,0,54.894,61.299,55,47.3,8.054
6.0,50.5,39,36,0.167,0.995,505.11,29,43.245,12,46.211,72,0,68.64,77.584,69,42.0,7.32
6.328,51.5,40,37,0.173,0.993,519.14,30,44.771,13,47.972,75,0,71.523,80.999,72,41.7,7.21
6.244,38.5,28,25,0.068,1.009,332.39,19,27.676,3,28.5,44,2,41.363,45.903,41,46.3,8.107
5.996,40.0,29,26,0.067,1.008,344.41,19,28.477,3,29.296,45,2,42.356,47.275,42,45.2,8.2
6.0,41.0,30,27,0.065,1.015,361.41,20,29.366,3,29.989,46,2,43.651,48.532,43,46.5,8.405
6.721,38.5,28,25,0.068,1.003,348.46,19,28.148,3,29.693,44,2,41.113,45.614,41,46.3,8.499
7.222,42.0,31,28,0.064,1.021,378.41,21,30.255,3,30.682,47,2,44.945,49.788,44,47.7,8.6
7.699,42.0,31,28,0.078,1.003,372.46,22,31.73,4,33.023,51,2,48.131,53.734,48,45.8,7.76
6.854,45.0,34,31,0.078,1.035,426.43,22,32.88,4,32.836,51,2,49.669,54.753,48,45.8,8.884
7.398,44.0,31,28,0.063,1.003,367.44,22,30.983,3,32.051,48,2,45.138,50.192,45,48.9,8.165
7.097,41.0,30,27,0.064,1.01,360.42,21,29.871,3,30.745,47,2,44.432,49.449,44,47.7,8.191
6.77,44.0,38,37,0.161,0.988,515.82,30,48.04,14,52.347,87,3,84.937,97.882,86,34.9,5.998
6.886,42.0,31,28,0.064,1.021,378.41,21,30.255,3,30.682,47,2,44.945,49.788,44,47.7,8.6
6.921,42.0,31,28,0.064,1.021,378.41,21,30.255,3,30.682,47,2,44.945,49.788,44,47.7,8.6
7.0,42.0,31,28,0.064,1.021,378.41,21,30.255,3,30.682,47,2,44.945,49.788,44,47.7,8.6
6.155,42.0,31,28,0.064,1.021,378.41,21,30.255,3,30.682,47,2,44.945,49.788,44,47.7,8.6
6.432,43.0,37,36,0.155,0.989,501.79,29,46.513,13,50.586,84,3,82.054,94.467,83,34.9,6.046
8.268,65.0,52,48,0.117,1.013,684.88,35,55.864,11,58.5,94,4,91.145,102.153,90,38.9,7.61
6.184,59.0,46,43,0.148,0.999,606.86,33,51.856,13,55.41,88,4,84.909,95.849,85,38.8,7.14
6.222,53.0,42,39,0.146,0.991,528.76,32,47.712,12,51.091,82,2,78.294,89.095,79,40.5,6.693
5.051,57.0,45,42,0.138,0.994,570.8,34,50.954,12,54.307,87,3,83.505,94.72,84,40.5,6.795
5.149,56.0,46,43,0.138,0.995,612.92,33,53.436,13,57.694,94,4,90.559,103.095,91,36.3,6.735
5.387,60.0,47,44,0.154,0.998,620.89,34,53.383,14,57.171,91,4,87.792,99.264,88,38.6,7.056
4.1,58.0,45,42,0.153,1.0,592.83,32,50.329,13,53.648,85,4,82.025,92.434,82,39.0,7.23
4.456,59.0,46,43,0.161,1.002,607.84,33,51.549,14,54.858,87,4,84.134,94.56,84,39.3,7.236
4.337,58.0,45,42,0.151,0.998,591.84,33,50.834,13,54.404,86,4,82.807,93.351,83,39.8,7.131
6.06,61.0,46,43,0.154,1.018,611.74,32,48.689,12,50.478,78,3,76.367,84.915,75,42.7,8.157
5.442,61.0,48,45,0.152,1.001,636.89,34,54.097,14,57.625,92,4,89.119,100.474,89,38.2,7.156
4.995,63.0,48,45,0.146,1.001,631.87,34,53.35,13,56.654,89,4,86.127,96.932,86,39.5,7.347
6.116,61.0,48,45,0.152,1.001,636.89,34,54.097,14,57.625,92,4,89.119,100.474,89,38.2,7.156
6.292,63.0,48,45,0.146,1.001,631.87,34,53.35,13,56.654,89,4,86.127,96.932,86,39.5,7.347
6.362,61.0,48,45,0.152,1.001,636.89,34,54.097,14,57.625,92,4,89.119,100.474,89,38.2,7.156
6.161,63.0,50,47,0.143,1.015,674.86,34,54.533,13,56.983,91,4,89.33,100.283,88,38.6,7.669
6.377,60.0,47,44,0.148,1.003,641.3,33,52.683,13,56.267,88,4,85.232,95.793,85,38.8,7.545
5.375,63.0,48,45,0.146,1.001,631.87,34,53.35,13,56.654,89,4,86.127,96.932,86,39.5,7.347
6.367,61.0,48,45,0.148,1.007,675.74,33,53.511,13,57.125,88,4,85.556,95.737,85,38.8,7.95
5.9,62.0,47,43,0.133,1.027,611.69,31,47.35,10,48.409,75,3,72.927,80.294,71,43.7,8.615
5.08,61.0,46,43,0.156,1.021,612.73,31,48.184,12,49.722,77,3,75.585,83.998,74,41.9,8.28
4.99,61.0,46,43,0.156,1.021,612.73,31,48.184,12,49.722,77,3,75.585,83.998,74,41.9,8.28
6.208,62.0,47,44,0.148,1.016,625.77,33,50.216,12,52.239,81,3,79.25,88.33,78,42.3,8.023
5.16,62.0,47,44,0.148,1.016,625.77,33,50.216,12,52.239,81,3,79.25,88.33,78,42.3,8.023
4.61,62.0,47,44,0.148,1.016,625.77,33,50.216,12,52.239,81,3,79.25,88.33,78,42.3,8.023
6.237,61.0,46,43,0.156,1.021,612.73,31,48.184,12,49.722,77,3,75.585,83.998,74,41.9,8.28
5.64,61.0,46,43,0.156,1.021,612.73,31,48.184,12,49.722,77,3,75.585,83.998,74,41.9,8.28
6.77,62.0,49,46,0.156,0.998,649.94,35,55.931,15,59.938,96,4,92.778,105.178,93,37.6,6.989
6.796,64.0,49,46,0.165,1.018,655.8,34,52.458,14,54.455,85,3,83.461,92.955,82,41.5,7.998
6.237,64.0,49,46,0.149,1.012,653.83,35,53.27,13,55.762,87,3,85.018,95.16,84,41.7,7.784
7.167,71.0,53,49,0.146,1.013,687.84,38,55.743,13,58.0,89,3,86.134,95.745,85,44.7,8.092
6.839,69.0,53,49,0.144,1.018,694.84,36,55.479,13,57.461,90,4,87.563,97.453,86,41.9,8.08
5.821,68.0,51,48,0.161,1.022,703.87,34,54.359,14,56.557,87,5,85.865,95.084,84,40.5,8.379
6.108,54.0,42,40,0.176,0.992,565.85,32,49.646,15,53.711,85,3,82.363,93.557,83,38.6,6.817
5.489,53.0,41,38,0.141,0.996,535.77,30,46.066,11,49.427,78,3,74.712,84.311,75,40.0,7.144
4.92,50.0,38,35,0.159,1.001,493.68,27,41.486,11,44.142,69,3,66.061,74.065,66,40.9,7.48
