pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
4.42,8.351,36.2,42.6,1.025,1.134,0.66,0.64,392.48,8.5,10,47,0,14,28,0,48,17,0,0,12,5,4,0,20,10,1,0,4,5,0,1,27,0,0,10.6,0.188,9,37.0,48.189,53.282,31.034,30.061,0
4.292,7.261,27.8,52.8,1.012,1.149,0.614,0.573,261.39,8.3,0,36,0,3,16,0,35,10,0,0,3,7,3,0,19,7,1,0,3,3,0,1,17,0,0,8.3,0.171,6,19.0,36.433,41.365,22.12,20.61,0
4.432,8.01,34.1,45.5,1.02,1.138,0.65,0.622,352.46,9.1,6,44,0,10,24,0,44,15,0,0,10,5,4,0,20,9,1,0,4,4,0,1,24,0,0,9.1,0.205,9,31.0,44.862,50.072,28.58,27.346,0
5.409,7.304,27.1,54.2,1.005,1.146,0.626,0.571,350.57,8.3,0,48,0,3,21,0,47,13,0,0,3,10,3,0,26,9,2,0,4,3,0,2,22,0,0,6.3,0.255,12,24.0,48.262,55.029,30.057,27.399,0
5.26,8.396,34.1,43.2,1.032,1.136,0.647,0.631,369.44,6.8,6,44,0,10,25,0,44,15,0,0,10,5,4,0,19,10,1,0,3,6,0,1,25,0,0,13.6,0.205,9,32.0,45.414,49.993,28.483,27.755,0
4.276,6.615,29.2,56.3,0.999,1.146,0.608,0.557,317.51,6.3,0,48,0,3,20,0,47,14,0,0,3,11,3,0,27,7,1,0,3,3,0,1,21,0,0,6.3,0.191,9,23.0,47.967,55.026,29.165,26.717,0
5.0,7.374,34.5,49.1,1.005,1.138,0.644,0.604,405.58,9.1,10,55,0,13,29,0,56,19,0,0,11,8,3,0,27,9,1,0,5,3,0,1,28,0,0,5.5,0.196,11,37.0,55.287,62.607,35.415,33.233,0
4.187,7.885,35.4,45.8,1.016,1.135,0.653,0.622,378.5,8.3,10,48,0,13,27,0,49,17,0,0,11,6,3,0,22,9,1,0,4,4,0,1,26,0,0,8.3,0.163,8,35.0,48.745,54.488,31.341,29.873,0
5.187,7.873,39.2,45.1,1.01,1.126,0.669,0.635,401.53,5.9,12,51,0,15,29,0,52,20,0,0,15,5,3,0,23,8,1,0,3,4,0,1,28,0,0,7.8,0.173,9,38.0,51.527,57.405,34.097,32.379,0
4.854,8.01,40.0,43.6,1.011,1.126,0.675,0.644,440.57,7.3,16,55,0,19,33,0,57,22,0,0,17,5,3,0,24,9,1,0,4,4,0,1,31,0,0,7.3,0.158,9,44.0,55.629,61.903,37.102,35.4,0
4.602,7.607,33.3,47.4,1.011,1.144,0.643,0.61,433.6,12.3,10,57,0,14,31,0,58,19,0,0,12,7,4,0,27,11,1,0,7,3,0,1,30,0,0,5.3,0.207,12,40.0,57.607,65.188,36.665,34.749,0
5.745,6.744,28.9,55.6,1.002,1.147,0.609,0.56,303.48,6.7,0,45,0,3,19,0,44,13,0,0,3,10,3,0,25,7,1,0,3,3,0,1,20,0,0,6.7,0.182,8,22.0,45.083,51.61,27.404,25.191,0
4.678,7.989,36.2,44.7,1.014,1.135,0.662,0.631,375.5,10.6,11,47,0,14,27,0,48,17,0,0,12,5,3,0,21,9,1,0,5,3,0,1,26,0,0,6.4,0.188,9,35.5,47.636,53.361,31.131,29.653,0
4.745,8.128,37.3,43.1,1.014,1.135,0.669,0.641,414.54,11.8,15,51,0,18,31,0,53,19,0,0,14,5,3,0,22,10,1,0,6,3,0,1,29,0,0,5.9,0.17,9,41.5,51.738,57.86,34.137,32.674,0
4.658,6.777,27.7,55.3,1.004,1.151,0.604,0.558,318.5,8.5,0,47,0,3,20,0,46,13,0,0,3,10,3,0,26,8,1,0,4,3,0,1,21,0,0,6.4,0.217,10,23.0,47.185,54.109,28.409,26.212,0
4.161,7.072,26.5,53.1,1.01,1.157,0.605,0.566,346.52,12.2,0,49,0,4,22,0,48,13,0,0,4,9,4,0,26,10,1,0,6,3,0,1,23,0,0,6.1,0.208,10,26.0,49.505,56.69,29.659,27.728,0
5.886,6.615,29.2,56.3,0.999,1.146,0.608,0.557,317.51,6.3,0,48,0,3,20,0,47,14,0,0,3,11,3,0,27,7,1,0,3,3,0,1,21,0,0,6.3,0.191,9,23.0,47.967,55.026,29.165,26.717,0
4.041,7.78,36.5,46.2,1.012,1.133,0.656,0.623,404.54,7.7,10,52,0,14,29,0,53,19,0,0,12,7,4,0,24,9,1,0,4,4,0,1,28,0,0,7.7,0.189,10,38.0,52.629,58.903,34.103,32.4,0
4.143,7.337,34.8,50.0,1.004,1.135,0.644,0.601,337.49,6.5,6,46,0,9,23,0,46,16,0,0,9,7,3,0,23,7,1,0,3,3,0,1,23,0,0,6.5,0.174,8,29.0,46.2,52.195,29.642,27.664,0
5.0,6.892,28.6,54.8,1.005,1.148,0.611,0.563,289.45,7.1,0,42,0,3,18,0,41,12,0,0,3,9,3,0,23,7,1,0,3,3,0,1,19,0,0,7.1,0.171,7,21.0,42.2,48.195,25.642,23.664,0
4.328,7.615,30.2,48.8,1.015,1.148,0.631,0.597,327.46,11.6,5,43,0,8,22,0,43,13,0,0,6,7,3,0,21,9,1,0,5,3,0,1,22,0,0,7.0,0.186,8,27.5,43.636,49.361,27.131,25.653,0
4.161,6.744,28.9,55.6,1.002,1.147,0.609,0.56,303.48,6.7,0,45,0,3,19,0,44,13,0,0,3,10,3,0,25,7,1,0,3,3,0,1,20,0,0,6.7,0.182,8,22.0,45.083,51.61,27.404,25.191,0
4.31,7.993,41.4,43.1,1.007,1.124,0.684,0.65,463.61,8.6,20,58,0,23,36,0,61,24,0,0,19,5,3,0,25,9,1,0,5,3,0,1,33,0,0,5.2,0.148,9,49.0,58.403,65.192,39.654,37.706,0
5.387,7.531,36.0,48.0,1.006,1.134,0.653,0.614,376.53,8.0,10,50,0,13,27,0,51,18,0,0,11,7,3,0,24,8,1,0,4,3,0,1,26,0,0,6.0,0.157,8,35.0,50.302,56.693,32.648,30.685,0
4.678,7.062,28.2,53.8,1.008,1.148,0.612,0.568,275.42,7.7,0,39,0,3,17,0,38,11,0,0,3,8,3,0,21,7,1,0,3,3,0,1,18,0,0,7.7,0.184,7,20.0,39.316,44.78,23.881,22.137,0
5.18,7.572,26.0,52.0,1.012,1.152,0.626,0.578,378.59,12.0,0,50,0,4,23,0,49,13,0,0,4,9,4,0,26,11,2,0,6,3,0,2,24,0,0,6.0,0.245,12,27.0,50.582,57.61,31.307,28.915,0
4.569,7.786,34.7,46.9,1.017,1.135,0.644,0.614,381.5,6.1,6,49,0,10,26,0,49,17,0,0,10,7,4,0,23,9,1,0,3,5,0,1,26,0,0,10.2,0.204,10,33.0,49.854,55.614,31.551,30.093,0
4.292,7.984,35.1,45.9,1.015,1.134,0.658,0.624,295.4,8.1,6,37,0,9,20,0,37,13,0,0,9,4,3,0,17,7,1,0,3,3,0,1,20,0,0,8.1,0.189,7,26.0,37.549,41.95,24.358,23.083,0
5.155,8.437,27.5,47.5,1.029,1.143,0.642,0.606,337.47,7.5,0,40,0,4,20,0,39,11,0,0,4,7,4,0,19,10,2,0,3,5,0,2,21,0,0,12.5,0.256,10,24.0,41.164,45.704,25.676,24.227,0
4.854,6.651,28.0,56.0,1.001,1.15,0.603,0.555,332.53,8.0,0,50,0,3,21,0,49,14,0,0,3,11,3,0,28,8,1,0,4,3,0,1,22,0,0,6.0,0.224,11,24.0,50.069,57.524,30.171,27.739,0
4.009,7.477,27.9,53.5,1.006,1.142,0.635,0.578,321.52,7.0,0,43,0,3,19,0,42,12,0,0,3,9,3,0,23,8,2,0,3,3,0,2,20,0,0,7.0,0.214,9,22.0,43.276,49.115,27.29,24.851,0
4.125,7.937,34.1,46.3,1.019,1.136,0.648,0.618,325.43,7.3,6,41,0,9,22,0,41,14,0,0,9,5,3,0,19,8,1,0,3,4,0,1,22,0,0,9.8,0.195,8,28.0,41.76,46.574,26.574,25.325,0
5.959,7.862,40.7,44.4,1.006,1.124,0.679,0.642,424.57,7.4,16,54,0,19,32,0,56,22,0,0,17,5,3,0,24,8,1,0,4,3,0,1,30,0,0,5.6,0.161,9,43.0,54.302,60.693,36.648,34.685,0
4.252,7.33,27.7,51.1,1.013,1.155,0.615,0.579,344.5,12.8,0,47,0,4,23,0,47,13,0,0,4,9,4,0,24,10,1,0,6,3,0,1,23,0,0,6.4,0.191,9,27.0,47.622,54.275,28.898,27.201,0
4.959,7.337,34.8,50.0,1.004,1.135,0.644,0.601,337.49,6.5,6,46,0,9,23,0,46,16,0,0,9,7,3,0,23,7,1,0,3,3,0,1,23,0,0,6.5,0.174,8,29.0,46.2,52.195,29.642,27.664,0
6.114,7.521,34.0,48.9,1.011,1.136,0.64,0.604,353.49,6.4,6,47,0,9,24,0,47,16,0,0,9,7,3,0,23,8,1,0,3,4,0,1,24,0,0,8.5,0.17,8,30.0,47.527,53.405,30.097,28.379,0
4.481,7.35,34.0,50.0,1.008,1.136,0.637,0.598,367.52,6.0,6,50,0,9,25,0,50,17,0,0,9,8,3,0,25,8,1,0,3,4,0,1,25,0,0,8.0,0.18,9,31.0,50.411,56.82,31.858,29.905,0
4.119,7.187,33.3,51.0,1.004,1.139,0.635,0.592,366.54,7.8,6,51,0,9,25,0,51,17,0,0,9,8,3,0,26,8,1,0,4,3,0,1,25,0,0,5.9,0.216,11,31.0,51.185,58.109,32.409,30.212,0
5.071,7.357,32.7,50.0,1.01,1.141,0.632,0.595,382.54,7.7,6,52,0,9,26,0,52,17,0,0,9,8,3,0,26,9,1,0,4,4,0,1,26,0,0,7.7,0.212,11,32.0,52.512,59.318,32.864,30.927,0
5.523,7.603,31.5,48.1,1.015,1.146,0.632,0.601,410.56,11.1,6,54,0,10,28,0,54,17,0,0,10,7,4,0,26,11,1,0,6,4,0,1,28,0,0,7.4,0.222,12,35.0,54.832,61.899,34.114,32.443,0
5.432,7.369,35.8,49.1,1.003,1.134,0.649,0.608,390.56,7.5,10,53,0,13,28,0,54,19,0,0,11,8,3,0,26,8,1,0,4,3,0,1,27,0,0,5.7,0.167,9,36.0,53.185,60.109,34.409,32.212,0
4.155,8.156,35.4,43.8,1.02,1.137,0.658,0.633,391.5,10.4,10,48,0,14,28,0,49,17,0,0,12,5,4,0,21,10,1,0,5,4,0,1,27,0,0,8.3,0.184,9,37.0,48.963,54.571,31.585,30.368,0
4.041,7.952,35.3,45.1,1.017,1.137,0.654,0.625,405.53,9.8,10,51,0,14,29,0,52,18,0,0,12,6,4,0,23,10,1,0,5,4,0,1,28,0,0,7.8,0.192,10,38.0,51.847,57.986,33.347,31.895,0
