pXC50,nCsp3,Mv,Mp,AMW,H.,nN,C.,nCsp2,nH
5.602,1,0.699,0.73,8.778,37.2,3,48.8,20,16
5.0,1,0.702,0.736,8.671,37.5,4,50.0,19,15
5.701,11,0.614,0.652,6.944,48.7,5,40.8,20,37
5.0,4,0.708,0.754,12.274,35.9,2,43.6,13,14
5.174,4,0.661,0.673,8.189,40.0,3,44.0,18,20
7.18,4,0.653,0.671,7.964,40.9,6,40.9,14,18
6.618,4,0.651,0.676,7.777,41.9,6,41.9,14,18
5.0,7,0.648,0.671,8.237,42.4,5,40.7,17,25
5.0,0,0.784,0.798,11.791,24.3,3,51.4,19,9
5.0,3,0.699,0.71,10.094,34.1,3,41.5,14,14
6.74,14,0.63,0.65,7.691,44.3,8,39.8,21,39
5.0,1,0.716,0.743,9.217,33.3,7,46.2,17,13
5.0,9,0.669,0.692,7.928,40.5,4,47.3,26,30
6.201,3,0.653,0.674,7.907,41.0,6,41.0,13,16
5.0,16,0.596,0.633,6.781,50.6,6,37.3,15,42
5.0,0,0.674,0.692,8.216,38.2,5,44.1,15,13
5.914,4,0.679,0.666,9.191,34.1,6,40.9,14,15
6.347,11,0.608,0.65,7.188,49.3,6,37.0,16,36
5.058,1,0.685,0.704,8.26,37.5,4,46.9,14,12
5.409,1,0.689,0.727,8.402,39.1,4,47.8,21,18
5.456,2,0.696,0.691,9.685,33.3,4,43.8,19,16
5.0,8,0.642,0.679,8.272,44.1,7,37.3,14,26
5.737,8,0.598,0.637,6.817,50.0,6,36.5,11,26
5.0,3,0.694,0.711,10.898,35.7,4,40.5,14,15
5.0,7,0.66,0.67,8.699,39.7,5,41.3,19,25
7.108,9,0.656,0.685,7.649,42.6,4,45.9,19,26
6.745,9,0.621,0.643,7.501,45.8,4,39.0,14,27
5.0,10,0.635,0.64,8.194,41.5,8,36.9,14,27
6.319,7,0.641,0.673,7.473,43.9,6,41.5,9,18
5.0,6,0.658,0.687,8.074,42.0,6,43.5,23,29
6.408,17,0.626,0.649,7.546,45.3,8,40.0,21,43
7.143,17,0.614,0.651,6.978,48.4,8,40.0,21,46
6.695,17,0.626,0.649,7.546,45.3,8,40.0,21,43
7.721,15,0.613,0.65,6.999,48.4,8,39.6,21,44
6.686,15,0.626,0.648,7.592,45.1,8,39.6,21,41
7.678,14,0.617,0.652,7.078,47.7,8,39.8,21,42
6.836,14,0.63,0.65,7.691,44.3,8,39.8,21,39
6.276,7,0.639,0.675,7.3,45.2,6,43.5,20,28
4.921,5,0.653,0.685,7.581,42.9,6,44.6,20,24
6.28,8,0.635,0.668,7.313,45.5,6,42.4,20,30
6.085,8,0.652,0.665,8.13,40.9,6,42.4,20,27
7.444,8,0.637,0.665,7.51,44.3,7,41.4,21,31
6.854,8,0.654,0.662,8.281,40.0,7,41.4,21,28
7.076,14,0.617,0.652,7.078,47.7,8,39.8,21,42
7.481,12,0.616,0.65,7.105,47.6,8,39.3,21,40
6.886,12,0.63,0.648,7.747,44.0,8,39.3,21,37
6.987,17,0.614,0.651,6.978,48.4,8,40.0,21,46
8.398,10,0.61,0.645,7.028,48.2,7,37.5,11,27
5.0,7,0.642,0.686,7.556,45.5,6,42.4,21,30
7.658,7,0.633,0.669,7.189,46.3,5,43.3,22,31
6.367,13,0.635,0.653,7.741,43.9,4,41.5,21,36
5.0,9,0.647,0.671,8.237,42.4,5,40.9,18,28
7.469,12,0.612,0.649,6.979,48.5,6,39.4,13,32
5.0,5,0.657,0.682,8.286,41.4,4,41.4,19,24
6.959,4,0.645,0.679,7.388,44.4,4,44.4,16,20
6.721,0,0.701,0.691,10.113,30.8,6,38.5,15,12
5.514,6,0.648,0.668,7.862,42.6,4,44.1,24,29
5.148,6,0.647,0.67,8.315,42.4,4,40.7,18,25
5.072,6,0.647,0.67,8.315,42.4,4,40.7,18,25
5.318,6,0.657,0.681,8.318,41.5,4,43.1,22,27
8.398,11,0.604,0.642,6.908,49.2,7,37.3,11,29
6.444,15,0.597,0.634,6.843,50.0,8,36.1,11,36
6.77,12,0.603,0.644,6.776,50.0,6,38.3,11,30
7.456,12,0.597,0.635,6.822,50.0,8,35.9,11,32
6.886,9,0.617,0.644,7.324,46.3,7,37.0,11,25
7.553,12,0.607,0.635,7.174,47.8,8,35.8,12,32
6.638,10,0.606,0.64,7.044,48.3,8,36.2,11,28
7.854,11,0.61,0.643,7.044,48.3,6,37.9,11,28
9.0,11,0.606,0.639,7.06,48.3,7,36.7,11,29
9.0,11,0.625,0.636,7.959,43.3,7,36.7,11,26
6.0,11,0.617,0.652,7.607,46.8,7,35.5,11,29
6.292,11,0.614,0.659,7.327,48.3,7,36.7,11,29
8.398,11,0.606,0.639,7.06,48.3,7,36.7,11,29
9.0,12,0.602,0.636,6.946,49.2,7,36.5,11,31
8.523,11,0.624,0.639,7.823,44.1,7,37.3,11,26
9.0,11,0.601,0.637,6.928,49.2,8,36.1,11,30
8.699,12,0.609,0.645,7.473,47.8,8,34.3,11,32
8.699,18,0.595,0.633,7.138,50.0,9,33.7,11,43
8.523,17,0.597,0.632,6.86,50.0,8,36.3,12,40
8.523,16,0.594,0.63,6.86,50.0,10,35.0,12,40
8.046,12,0.609,0.636,7.252,47.1,9,35.7,13,33
8.523,11,0.624,0.654,7.329,45.8,9,38.9,17,33
8.046,12,0.613,0.649,7.037,47.9,9,38.4,16,35
8.301,15,0.601,0.633,7.049,48.7,9,35.5,12,37
8.046,16,0.593,0.632,6.756,50.7,8,36.0,11,38
7.959,16,0.593,0.632,6.756,50.7,8,36.0,11,38
8.398,18,0.59,0.63,6.688,51.2,9,35.7,12,43
8.398,16,0.6,0.634,6.945,49.4,8,36.4,12,38
8.301,17,0.59,0.63,6.676,51.3,8,35.9,11,40
8.523,17,0.597,0.632,6.86,50.0,8,36.3,12,40
8.301,18,0.59,0.63,6.688,51.2,9,35.7,12,43
8.398,17,0.58,0.626,6.415,53.2,8,35.4,11,42
8.155,19,0.587,0.628,6.619,51.7,9,35.6,12,45
8.155,17,0.595,0.635,6.744,50.6,8,36.7,12,40
8.398,15,0.604,0.636,7.037,48.6,8,36.5,12,36
5.0,5,0.672,0.705,8.701,40.0,7,41.7,20,24
5.0,6,0.671,0.703,9.073,40.3,5,40.3,19,25
5.071,8,0.627,0.649,7.577,44.8,7,38.8,18,30
7.602,7,0.636,0.634,8.397,40.8,5,36.7,11,20
5.0,8,0.617,0.647,7.266,46.5,6,37.2,7,20
5.0,1,0.672,0.69,8.162,39.1,5,45.7,20,18
5.114,0,0.692,0.7,8.659,35.0,6,45.0,18,14
8.187,7,0.679,0.698,8.139,38.9,3,48.1,19,21
6.456,9,0.668,0.695,7.818,41.1,4,47.9,26,30
5.0,4,0.684,0.715,8.913,38.6,5,43.9,21,22
