pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
4.265,7.899,40.7,40.7,1.006,1.138,0.678,0.655,213.27,18.5,12,27,0,13,17,0,28,11,0,0,11,0,1,0,11,5,0,0,5,0,0,0,16,0,0,0.0,0.071,2,24.0,27.16,30.737,18.313,17.687,0
4.152,7.143,43.3,46.7,0.994,1.123,0.668,0.631,214.29,6.7,10,30,0,11,18,0,32,13,0,0,9,4,1,0,14,3,0,0,2,1,0,0,16,0,0,3.3,0.031,1,24.0,29.833,33.697,20.034,18.918,0
4.466,7.054,38.2,48.5,1.003,1.134,0.64,0.608,479.64,7.4,16,68,0,19,37,0,70,26,0,0,17,9,3,0,33,9,0,0,5,4,0,0,35,0,0,5.9,0.157,11,48.0,68.189,77.142,43.506,41.341,0
4.234,7.225,35.4,47.7,1.01,1.143,0.631,0.605,469.61,10.8,15,65,0,18,36,0,67,23,0,0,14,9,3,0,31,11,0,0,7,4,0,0,34,0,0,6.2,0.164,11,46.5,65.625,74.308,40.995,39.331,0
4.335,7.183,37.7,47.8,1.007,1.136,0.637,0.61,495.64,7.2,16,69,0,19,38,0,71,26,0,0,17,9,3,0,33,10,0,0,5,5,0,0,36,0,0,7.2,0.155,11,49.0,69.516,78.351,43.961,42.056,0
6.301,6.884,37.5,50.0,1.001,1.135,0.633,0.599,440.6,6.3,12,64,0,15,33,0,65,24,0,0,15,9,3,0,32,8,0,0,4,4,0,0,32,0,0,6.3,0.169,11,42.0,64.087,72.644,40.5,38.32,0
4.51,7.025,36.9,49.2,1.006,1.136,0.63,0.601,456.6,6.2,12,65,0,15,34,0,66,24,0,0,15,9,3,0,32,9,0,0,4,5,0,0,33,0,0,7.7,0.167,11,43.0,65.414,73.853,40.955,39.035,0
5.337,6.711,31.3,52.2,1.006,1.151,0.605,0.573,449.63,10.4,6,67,0,10,32,0,67,21,0,0,10,11,4,0,35,11,0,0,7,4,0,0,32,0,0,6.0,0.194,13,39.0,67.392,77.139,40.517,38.384,0
4.03,7.342,43.8,45.8,1.004,1.119,0.663,0.634,352.44,2.1,17,48,0,17,29,0,51,21,0,0,15,6,0,0,22,5,0,0,1,4,0,0,26,0,0,8.3,0.078,4,37.5,48.189,53.696,31.818,30.412,0
5.921,7.583,36.5,49.2,1.002,1.127,0.663,0.614,477.71,4.8,11,63,0,14,33,0,64,23,0,0,13,10,3,0,31,9,2,0,3,4,0,2,32,0,0,6.3,0.188,12,41.5,63.138,70.985,41.79,38.673,0
4.055,9.908,30.0,30.0,1.08,1.162,0.63,0.674,198.16,20.0,5,20,0,9,14,0,20,6,0,0,6,0,4,0,6,8,0,0,4,4,0,0,14,0,0,20.0,0.15,3,20.5,21.6,23.246,12.602,13.472,0
