pXC50,AMW,C.,H.,Me,Mi,Mp
5.522,7.897,41.3,42.9,1.024,1.124,0.651
4.076,6.81,42.2,48.9,0.986,1.127,0.664
4.861,9.34,40.0,46.7,0.995,1.128,0.698
5.364,10.465,37.8,32.4,1.057,1.135,0.698
5.312,8.518,44.4,39.7,1.022,1.119,0.69
4.781,7.479,40.6,46.9,0.999,1.124,0.671
5.096,8.811,40.0,40.0,1.023,1.121,0.694
5.029,8.354,46.2,41.0,1.004,1.117,0.709
6.796,7.738,43.2,45.5,0.997,1.115,0.691
5.562,8.561,47.4,38.6,1.014,1.113,0.707
5.427,7.519,43.4,45.3,1.009,1.134,0.659
6.442,11.988,42.9,32.1,1.036,1.108,0.803
5.517,9.777,41.5,36.6,1.041,1.134,0.704
6.51,8.321,42.6,41.0,1.017,1.119,0.685
4.214,8.517,39.2,47.1,1.005,1.128,0.669
5.173,7.501,45.8,44.1,1.002,1.116,0.677
6.047,8.252,54.5,36.4,0.998,1.099,0.736
4.286,9.977,39.1,32.6,1.038,1.133,0.717
4.627,9.038,52.6,34.2,1.003,1.097,0.761
6.796,7.01,41.3,47.8,0.993,1.129,0.659
5.016,8.473,48.3,41.4,1.002,1.108,0.72
5.686,11.494,46.4,28.6,1.027,1.098,0.818
4.949,8.536,47.5,40.0,1.01,1.112,0.715
4.46,7.214,35.9,48.7,1.018,1.135,0.619
4.45,8.141,44.7,39.5,1.015,1.121,0.683
4.421,8.311,38.3,43.3,1.01,1.127,0.688
4.029,11.273,50.0,32.4,1.007,1.1,0.796
5.072,9.535,46.2,35.9,1.017,1.109,0.744
4.659,11.03,46.4,32.1,1.019,1.095,0.809
4.495,8.839,43.9,34.1,1.027,1.129,0.694
6.449,7.352,47.4,44.7,0.995,1.112,0.684
4.366,7.893,51.2,39.5,0.996,1.107,0.716
5.597,7.756,47.3,43.6,0.991,1.109,0.711
4.173,8.929,41.0,39.3,1.028,1.116,0.694
4.669,8.714,48.6,37.8,1.006,1.103,0.733
4.958,6.64,37.1,53.2,0.983,1.133,0.651
4.39,7.876,42.3,44.2,1.004,1.119,0.685
5.696,6.688,39.0,50.8,0.992,1.132,0.641
4.384,7.77,52.0,40.0,0.99,1.106,0.722
4.519,8.168,41.5,46.3,0.997,1.117,0.703
6.796,6.792,34.1,53.7,0.986,1.138,0.647
5.067,9.839,41.5,31.7,1.051,1.121,0.699
5.08,7.562,36.8,44.7,1.012,1.142,0.645
4.908,7.739,34.5,49.1,1.007,1.13,0.659
6.796,8.947,51.6,35.5,0.997,1.099,0.765
4.283,8.204,48.8,39.0,1.017,1.107,0.692
5.341,11.042,46.2,30.8,1.053,1.108,0.744
6.796,8.788,44.4,37.8,1.019,1.115,0.707
5.42,8.496,40.5,40.5,1.013,1.134,0.688
5.396,8.162,47.8,39.1,1.012,1.121,0.695
4.437,10.423,46.3,36.6,1.008,1.109,0.757
4.791,7.962,43.9,43.9,1.0,1.114,0.699
5.008,8.31,50.0,36.7,1.006,1.112,0.717
