pXC50,X.,nF,O.,nX,N.,nN,nO,Mv,nCsp3,AMW,C.,H.,Me
5.0,2.3,1,2.3,1,7.0,3,1,0.699,1,8.778,48.8,37.2,1.009
5.0,2.5,0,0.0,1,10.0,4,0,0.702,1,8.671,50.0,37.5,1.001
5.316,0.0,0,4.3,0,1.4,1,3,0.553,18,5.767,35.7,58.6,0.982
5.271,0.0,0,4.3,0,1.4,1,3,0.553,18,5.767,35.7,58.6,0.982
7.125,0.0,0,5.7,0,5.7,4,4,0.633,10,7.324,42.9,45.7,1.001
5.103,0.0,0,4.3,0,1.4,1,3,0.553,18,5.767,35.7,58.6,0.982
6.509,0.0,0,5.7,0,5.7,4,4,0.633,10,7.324,42.9,45.7,1.001
6.77,0.0,0,2.7,0,8.0,6,2,0.619,11,6.996,41.3,48.0,0.994
5.0,0.0,0,3.9,0,6.6,5,3,0.614,11,6.944,40.8,48.7,0.995
5.0,10.3,2,5.1,4,5.1,2,2,0.708,4,12.274,43.6,35.9,1.034
6.215,0.0,0,4.2,0,7.0,5,3,0.629,10,7.207,42.3,46.5,0.998
6.602,0.0,0,6.0,0,6.0,4,4,0.639,9,7.442,43.3,44.8,1.003
7.097,0.0,0,4.2,0,7.0,5,3,0.629,10,7.207,42.3,46.5,0.998
8.796,0.0,0,3.1,0,9.2,6,2,0.654,6,7.888,43.1,43.1,1.001
7.444,0.0,0,2.9,0,8.8,6,2,0.648,7,7.746,42.6,44.1,0.999
6.0,4.5,0,4.5,2,6.8,3,2,0.69,4,9.143,45.5,38.6,1.015
6.475,0.0,0,2.6,0,7.7,3,1,0.577,8,6.343,35.9,53.8,0.989
5.097,2.3,0,4.5,1,6.8,3,2,0.671,4,8.36,45.5,40.9,1.008
5.097,2.3,0,4.7,1,7.0,3,2,0.664,3,8.276,44.2,41.9,1.008
8.699,0.0,0,0.0,0,10.9,7,0,0.64,7,7.244,43.8,45.3,0.991
5.097,2.9,0,5.7,1,5.7,2,2,0.699,1,8.936,48.6,37.1,1.014
5.097,2.5,0,5.0,1,7.5,3,2,0.675,2,8.545,45.0,40.0,1.012
5.097,2.5,0,5.0,1,7.5,3,2,0.675,2,8.545,45.0,40.0,1.012
5.097,2.7,0,5.4,1,8.1,3,2,0.689,1,8.859,45.9,37.8,1.016
5.055,0.0,0,12.8,0,0.0,0,6,0.65,2,7.839,44.7,42.6,1.017
4.921,0.0,0,13.0,0,0.0,0,6,0.611,7,7.27,39.1,47.8,1.015
5.0,3.4,1,5.1,2,8.5,5,3,0.648,7,8.237,40.7,42.4,1.018
5.0,10.8,2,2.7,4,8.1,3,1,0.784,0,11.791,51.4,24.3,1.049
8.301,0.0,0,0.0,0,14.3,5,0,0.65,2,7.581,42.9,42.9,0.998
8.097,0.0,0,0.0,0,12.8,5,0,0.648,4,7.472,43.6,43.6,0.995
5.0,7.3,2,7.3,3,7.3,3,3,0.699,3,10.094,41.5,34.1,1.046
5.0,0.0,0,0.0,0,17.9,7,0,0.716,1,9.217,46.2,33.3,1.011
5.347,0.0,0,6.8,0,5.4,4,5,0.669,9,7.928,47.3,40.5,1.007
8.046,0.0,0,2.6,0,15.4,6,1,0.653,3,7.907,41.0,41.0,1.009
5.0,0.0,0,4.8,0,7.2,6,4,0.596,16,6.781,37.3,50.6,0.998
