pXC50,MW,nBO,SCBO,nSK,nHet,Sv,AMW,Sp,Mv,nBM,nN,Se,nAB,nBT,nDB
6.139,280.45,23,29.0,21,2,26.838,6.232,29.387,0.596,12,2,43.923,12,47,0
6.234,366.7,23,29.0,21,4,25.33,9.65,27.523,0.667,12,1,37.934,12,40,0
7.377,325.46,26,33.0,24,3,29.441,6.78,31.535,0.613,13,1,47.545,12,50,1
5.217,323.47,26,33.0,24,3,29.773,6.601,32.052,0.608,13,1,48.36,12,51,1
5.0,314.44,25,31.0,23,4,27.936,6.836,29.779,0.607,12,2,45.763,12,48,0
8.155,364.5,30,39.0,27,4,32.463,7.01,34.54,0.624,17,2,51.647,16,55,1
5.331,361.44,28,35.0,26,5,30.208,7.53,31.41,0.629,13,1,48.57,12,50,1
5.142,351.53,29,35.0,26,3,32.826,6.391,35.574,0.597,12,1,54.127,12,58,0
5.951,366.7,23,29.0,21,4,25.33,9.65,27.523,0.667,12,1,37.934,12,40,0
5.56,300.41,24,30.0,22,4,26.409,6.986,28.017,0.614,12,2,42.88,12,45,0
5.0,323.47,26,33.0,24,3,29.773,6.601,32.052,0.608,13,1,48.36,12,51,1
5.0,290.4,23,28.0,21,5,25.455,6.753,26.989,0.592,8,2,43.022,6,45,2
4.585,325.49,26,32.0,24,3,30.299,6.382,32.813,0.594,12,1,50.243,12,53,0
5.409,313.45,25,31.0,23,3,28.441,6.669,30.535,0.605,12,1,46.545,12,49,0
7.26,385.49,30,38.0,28,5,33.066,7.273,34.688,0.624,14,1,53.269,12,55,2
5.476,311.43,25,32.0,23,3,27.914,6.921,29.773,0.62,13,1,44.661,12,47,1
5.0,323.5,24,29.0,22,5,27.675,6.883,30.154,0.589,8,1,46.763,6,49,2
5.133,341.56,26,32.0,24,3,30.772,6.697,34.006,0.603,12,1,49.992,12,53,0
6.747,346.3,24,27.0,22,5,27.096,7.87,29.25,0.616,6,1,44.192,6,46,0
6.094,327.48,26,32.0,24,3,29.968,6.55,32.296,0.599,12,1,49.429,12,52,0
6.046,355.54,28,34.0,26,3,33.022,6.349,35.819,0.59,12,1,55.196,12,58,0
5.092,309.49,25,31.0,23,2,29.585,6.19,32.358,0.592,12,1,48.916,12,52,0
5.77,341.51,27,33.0,25,3,31.495,6.444,34.057,0.594,12,1,52.312,12,55,0
5.0,289.46,23,26.0,21,3,27.299,6.03,29.813,0.569,6,1,47.243,6,50,0
6.733,275.4,22,26.0,20,3,24.914,6.557,26.773,0.593,7,1,41.661,6,44,1
6.216,329.42,26,33.0,24,4,28.298,7.32,29.711,0.629,13,1,45.174,12,47,1
7.469,311.43,25,32.0,23,3,27.914,6.921,29.773,0.62,13,1,44.661,12,47,1
6.146,339.54,26,33.0,24,3,30.245,6.929,33.245,0.617,13,1,48.109,12,51,1
8.0,393.46,30,37.0,28,6,32.118,7.715,33.108,0.63,13,1,51.967,12,53,1
5.971,317.41,25,31.0,23,4,27.298,7.214,28.711,0.62,12,1,44.174,12,46,0
5.0,275.43,22,25.0,20,3,25.773,6.121,28.052,0.573,6,1,44.36,6,47,0
6.252,327.48,26,32.0,24,3,29.968,6.55,32.296,0.599,12,1,49.429,12,52,0
6.025,277.42,22,25.0,20,3,25.441,6.305,27.535,0.578,6,1,43.545,6,46,0
5.0,311.46,25,31.0,23,3,28.773,6.489,31.052,0.599,12,1,47.36,12,50,0
5.0,272.43,22,26.0,20,3,25.552,6.192,27.841,0.581,7,2,43.251,6,46,1
5.0,291.45,23,26.0,21,3,26.968,6.201,29.296,0.574,6,1,46.429,6,49,0
5.478,345.52,29,37.5,26,2,32.585,6.519,35.358,0.615,17,1,51.916,17,56,0
5.769,293.49,22,25.0,20,3,25.913,6.67,28.728,0.589,6,1,43.294,6,46,0
5.0,325.49,24,29.0,22,5,27.343,7.076,29.637,0.594,8,1,45.949,6,48,2
