pXC50,nDB,MW,AMW,O.,C.,H.,Me,Mi,Mp,Mv,N.,nAB,nAT
5.863,6,494.21,10.515,29.8,23.4,36.2,1.078,1.145,0.665,0.65,4.3,0,47
5.886,9,708.41,9.839,26.4,26.4,37.5,1.07,1.146,0.647,0.643,5.6,0,72
7.921,9,739.43,9.859,26.7,25.3,37.3,1.073,1.15,0.641,0.64,6.7,0,75
7.201,9,768.48,9.606,25.0,25.0,38.8,1.068,1.152,0.635,0.632,7.5,0,80
5.156,6,566.33,9.439,25.0,25.0,41.7,1.059,1.145,0.646,0.623,3.3,0,60
5.672,6,560.27,10.375,27.8,27.8,35.2,1.072,1.138,0.676,0.663,3.7,6,54
5.0,6,646.33,9.944,30.8,23.1,38.5,1.079,1.15,0.631,0.63,3.1,0,65
5.329,6,772.22,11.88,30.8,23.1,36.9,1.08,1.146,0.672,0.65,3.1,0,65
5.0,7,764.47,9.556,26.3,28.8,38.8,1.064,1.14,0.647,0.641,2.5,6,80
5.0,6,644.36,9.617,28.4,23.9,40.3,1.07,1.149,0.632,0.623,3.0,0,67
6.745,6,675.38,9.648,28.6,22.9,40.0,1.074,1.152,0.626,0.622,4.3,0,70
5.457,6,589.32,9.988,25.4,27.1,37.3,1.065,1.142,0.665,0.65,5.1,6,59
7.097,6,513.22,10.474,30.6,20.4,36.7,1.083,1.154,0.648,0.639,6.1,0,49
5.444,5,433.24,9.846,27.3,22.7,38.6,1.074,1.154,0.635,0.63,6.8,0,44
6.553,5,447.27,9.516,25.5,23.4,40.4,1.067,1.153,0.632,0.622,6.4,0,47
5.455,5,475.33,8.968,22.6,24.5,43.4,1.055,1.151,0.627,0.609,5.7,0,53
5.672,5,509.34,9.432,22.2,29.6,38.9,1.056,1.141,0.656,0.644,5.6,6,54
5.0,5,431.27,9.375,23.9,23.9,41.3,1.061,1.152,0.635,0.62,6.5,0,46
6.886,5,528.11,12.881,26.8,24.4,36.6,1.071,1.141,0.71,0.665,4.9,0,41
7.377,5,414.23,9.863,26.2,26.2,38.1,1.067,1.145,0.654,0.642,4.8,0,42
4.745,6,477.32,10.377,26.1,23.9,37.0,1.072,1.146,0.665,0.65,6.5,0,46
7.222,5,420.26,10.776,28.2,23.1,35.9,1.077,1.143,0.676,0.657,5.1,0,39
5.959,6,492.33,10.257,27.1,25.0,37.5,1.072,1.142,0.662,0.648,4.2,0,48
5.056,6,506.36,9.929,25.5,25.5,39.2,1.065,1.142,0.658,0.64,3.9,0,51
5.638,5,434.29,10.34,26.2,23.8,38.1,1.069,1.143,0.669,0.647,4.8,0,42
5.31,5,504.44,8.85,19.3,26.3,45.6,1.041,1.141,0.648,0.61,3.5,0,57
6.553,5,448.32,9.963,24.4,24.4,40.0,1.062,1.142,0.664,0.637,4.4,0,45
6.252,6,460.33,10.007,23.9,26.1,39.1,1.06,1.139,0.671,0.645,4.3,0,46
7.824,5,530.08,13.592,30.8,23.1,33.3,1.086,1.143,0.713,0.679,5.1,0,39
6.097,5,510.39,9.815,21.2,30.8,38.5,1.051,1.131,0.685,0.658,3.8,6,52
5.77,6,478.3,10.629,28.9,24.4,35.6,1.079,1.142,0.667,0.657,4.4,0,45
5.26,5,406.18,10.689,28.9,23.7,34.2,1.091,1.158,0.648,0.653,5.3,0,38
5.456,5,400.2,10.262,28.2,25.6,35.9,1.075,1.145,0.659,0.652,5.1,0,39
5.011,3,546.37,9.757,19.6,30.4,35.7,1.058,1.144,0.669,0.662,10.7,16,56
6.812,9,812.52,9.673,23.8,31.0,36.9,1.061,1.138,0.662,0.655,4.8,6,84
6.549,9,710.38,10.148,28.6,25.7,35.7,1.078,1.148,0.647,0.65,5.7,0,70
4.523,10,844.46,9.935,27.1,25.9,37.6,1.07,1.145,0.652,0.643,4.7,0,85
5.041,5,462.35,9.632,22.9,25.0,41.7,1.056,1.142,0.659,0.629,4.2,0,48
5.0,5,418.22,9.958,28.6,23.8,38.1,1.075,1.149,0.641,0.635,4.8,0,42
5.0,5,457.26,9.94,26.1,26.1,37.0,1.071,1.147,0.651,0.646,6.5,0,46
5.69,5,476.38,9.341,21.6,25.5,43.1,1.05,1.142,0.655,0.622,3.9,0,51
5.0,5,434.29,10.34,26.2,23.8,38.1,1.069,1.143,0.669,0.647,4.8,0,42
5.0,5,486.35,8.843,21.8,27.3,43.6,1.049,1.144,0.636,0.614,3.6,0,55
5.131,5,480.29,9.802,24.5,30.6,36.7,1.062,1.137,0.667,0.657,4.1,6,49
5.0,5,478.28,9.566,28.0,24.0,40.0,1.071,1.151,0.627,0.623,4.0,0,50
5.133,5,514.73,10.505,24.5,30.6,34.7,1.069,1.135,0.684,0.674,4.1,6,49
5.0,5,510.32,9.629,24.5,30.2,37.7,1.061,1.138,0.658,0.65,3.8,6,53
5.0,5,448.32,9.963,24.4,24.4,40.0,1.062,1.142,0.664,0.637,4.4,0,45
6.886,6,513.22,10.474,30.6,20.4,36.7,1.083,1.154,0.648,0.639,6.1,0,49
7.155,5,433.24,9.846,27.3,22.7,38.6,1.074,1.154,0.635,0.63,6.8,0,44
4.699,10,790.36,10.538,30.7,24.0,34.7,1.084,1.148,0.655,0.654,5.3,0,75
4.0,4,340.28,10.008,23.5,26.5,38.2,1.064,1.141,0.663,0.648,5.9,0,34
4.0,4,323.23,9.235,22.9,25.7,40.0,1.063,1.154,0.626,0.625,8.6,0,35
4.0,2,425.27,9.665,20.5,25.0,38.6,1.059,1.153,0.655,0.638,11.4,10,44
7.328,5,404.19,10.364,30.8,23.1,35.9,1.084,1.15,0.645,0.645,5.1,0,39
7.4,6,472.74,9.455,0.0,40.0,40.0,1.002,1.112,0.759,0.691,12.0,12,50
4.0,3,507.22,10.792,27.7,21.3,34.0,1.082,1.155,0.666,0.657,10.6,10,47
4.187,2,427.24,10.172,23.8,23.8,35.7,1.072,1.155,0.655,0.649,11.9,10,42
5.0,4,424.46,9.227,13.0,45.7,34.8,1.031,1.11,0.711,0.7,4.3,18,46
5.0,4,484.56,8.81,9.1,49.1,36.4,1.016,1.104,0.723,0.701,3.6,24,55
5.341,4,486.53,9.18,11.3,49.1,34.0,1.025,1.104,0.726,0.712,3.8,24,53
5.0,6,637.47,11.59,14.5,41.8,25.5,1.063,1.118,0.754,0.755,10.9,24,55
5.0,4,557.4,10.929,9.8,45.1,27.5,1.047,1.116,0.754,0.749,11.8,24,51
5.208,6,551.08,11.98,30.4,21.7,32.6,1.094,1.146,0.695,0.679,4.3,0,46
6.848,7,669.22,10.971,24.6,29.5,34.4,1.07,1.134,0.7,0.681,3.3,6,61
5.092,6,567.15,12.329,28.3,21.7,32.6,1.088,1.14,0.721,0.689,4.3,0,46
5.58,6,518.18,11.265,30.4,21.7,32.6,1.102,1.163,0.655,0.659,4.3,0,46
5.836,7,636.32,10.431,24.6,29.5,34.4,1.076,1.147,0.67,0.666,3.3,6,61
5.155,6,534.25,11.614,28.3,21.7,32.6,1.096,1.157,0.681,0.67,4.3,0,46
5.215,6,638.18,11.603,25.5,27.3,34.5,1.07,1.138,0.698,0.675,5.5,6,55
6.0,10,773.38,10.312,28.0,24.0,36.0,1.077,1.149,0.656,0.649,6.7,0,75
5.699,10,790.36,10.538,30.7,24.0,34.7,1.084,1.148,0.655,0.654,5.3,0,75
5.328,5,434.29,10.34,26.2,23.8,38.1,1.069,1.143,0.669,0.647,4.8,0,42
4.0,5,462.35,9.632,22.9,25.0,41.7,1.056,1.142,0.659,0.629,4.2,0,48
5.167,5,510.39,9.815,21.2,30.8,38.5,1.051,1.131,0.685,0.658,3.8,6,52
5.602,5,524.42,9.535,20.0,30.9,40.0,1.046,1.132,0.68,0.65,3.6,6,55
5.863,5,418.22,9.958,28.6,23.8,38.1,1.075,1.149,0.641,0.635,4.8,0,42
4.0,5,403.21,10.08,27.5,22.5,37.5,1.076,1.154,0.643,0.637,7.5,0,40
4.0,5,417.24,9.703,25.6,23.3,39.5,1.068,1.153,0.639,0.628,7.0,0,43
4.0,4,354.31,9.576,21.6,27.0,40.5,1.056,1.141,0.657,0.637,5.4,0,37
4.0,4,368.34,9.209,20.0,27.5,42.5,1.049,1.141,0.652,0.627,5.0,0,40
5.208,4,382.37,8.892,18.6,27.9,44.2,1.042,1.141,0.647,0.619,4.7,0,43
4.0,4,430.41,9.158,17.0,34.0,40.4,1.039,1.129,0.677,0.651,4.3,6,47
4.0,4,444.44,8.889,16.0,34.0,42.0,1.034,1.129,0.672,0.643,4.0,6,50
5.009,4,338.24,9.142,24.3,27.0,40.5,1.062,1.149,0.625,0.624,5.4,0,37
