pXC50,SCBO,nBO,nBM,nCsp2,nSK,AMW
7.724,53.0,43,13,13,42,7.18
7.583,54.0,44,13,13,42,7.547
7.103,84.5,68,24,20,66,7.178
5.867,179.0,152,27,27,152,6.869
6.804,54.0,44,13,13,42,7.547
8.249,42.0,36,6,6,34,7.158
5.688,38.0,28,18,15,26,8.055
5.319,40.0,30,18,15,27,8.142
6.222,41.0,31,18,15,28,7.926
6.509,44.0,34,18,15,30,7.817
7.854,58.0,45,24,21,39,8.101
8.301,54.0,41,24,20,36,7.927
7.518,173.5,143,41,37,139,7.151
7.498,187.5,153,48,44,148,7.277
4.314,179.0,152,27,27,152,6.869
7.951,55.0,45,13,13,44,7.291
4.241,191.5,158,44,38,155,7.189
5.367,42.0,32,18,15,29,7.735
4.701,191.5,158,42,40,155,7.229
4.301,27.0,20,10,8,20,8.344
7.009,37.5,26,16,12,25,9.563
5.041,26.0,19,10,8,19,8.677
4.301,19.0,16,3,3,17,7.037
4.301,30.0,23,10,8,23,7.61
6.495,36.0,26,16,14,25,8.429
6.155,35.5,26,15,12,25,8.985
7.208,37.0,27,16,14,26,10.432
8.097,35.5,26,15,12,25,11.441
4.523,31.0,24,10,8,24,7.427
4.301,33.0,26,10,8,26,7.433
4.301,36.0,27,15,13,26,7.53
4.301,25.0,19,9,7,19,7.74
7.387,37.5,28,15,11,27,8.239
6.097,29.0,22,10,8,22,7.82
4.301,26.0,20,9,9,20,9.974
4.301,24.0,18,9,9,18,7.821
4.301,25.0,19,9,9,19,8.069
7.959,37.5,28,15,11,27,8.051
7.201,38.0,28,16,12,27,8.351
6.521,38.0,28,16,13,27,8.156
7.721,35.5,26,15,12,25,11.441
6.682,35.5,26,15,12,25,8.985
7.357,36.5,27,15,12,26,8.62
7.602,36.0,26,16,14,25,11.857
5.337,41.0,29,18,14,28,9.272
4.301,39.0,29,16,14,28,7.779
6.928,37.0,27,16,14,26,10.432
7.495,36.5,27,15,12,26,8.271
6.585,36.0,26,16,14,25,9.571
6.011,40.0,30,16,14,28,8.05
7.108,40.0,30,16,14,29,7.935
6.585,34.5,25,15,12,24,8.81
6.137,37.0,27,16,14,26,8.601
6.921,38.0,28,16,14,27,7.969
4.301,30.0,23,10,8,23,8.01
5.097,29.0,22,10,8,22,7.82
7.62,36.5,27,15,12,26,12.372
6.101,33.5,24,15,11,23,9.427
4.301,31.0,23,11,7,23,8.477
7.092,38.0,28,16,13,27,8.156
5.097,37.5,28,15,12,27,8.051
4.411,56.0,45,14,14,44,7.545
4.726,77.0,62,21,21,60,7.585
5.081,124.5,99,37,37,92,7.712
5.237,102.5,81,30,30,75,7.783
4.959,123.5,98,37,37,91,7.661
4.807,78.0,63,21,21,61,7.509
4.472,70.0,55,21,21,53,7.686
4.0,117.5,92,37,37,85,7.789
5.319,121.5,96,37,37,89,7.775
