pXC50,nH,nN,Se,nBT,nAT,nCsp3,Sp,Sv,MW,Si,X.,nC,nF,nX,Mv,SCBO,nSK
6.217,34,2,66.978,68,67,11,42.466,40.046,454.62,75.687,0.0,26,0,0,0.598,43.0,33
6.0,38,2,76.745,79,77,11,49.989,47.099,530.72,86.517,0.0,32,0,0,0.612,53.0,39
7.523,33,3,64.869,66,65,10,41.256,38.825,439.61,73.561,0.0,25,0,0,0.597,42.0,32
8.669,42,4,85.487,87,85,15,53.671,51.098,594.78,96.348,0.0,32,0,0,0.601,56.0,43
5.824,40,2,76.629,79,77,14,48.75,45.626,508.72,86.932,0.0,30,0,0,0.593,48.0,37
6.553,33,2,64.32,67,65,11,42.961,39.729,453.07,73.003,1.5,27,0,1,0.611,43.0,32
6.131,36,2,66.879,70,68,12,43.864,40.428,432.66,76.474,0.0,28,0,0,0.595,43.0,32
6.229,34,2,67.65,71,68,12,44.012,41.331,462.64,76.477,0.0,28,0,0,0.608,46.0,34
6.076,34,2,63.996,67,65,11,42.103,38.901,418.63,73.059,0.0,27,0,0,0.598,42.0,31
6.108,32,2,61.112,64,62,10,40.341,37.374,404.6,69.643,0.0,26,0,0,0.603,41.0,30
8.16,41,3,83.73,87,84,13,54.756,51.647,583.79,94.431,0.0,35,0,0,0.615,59.0,43
7.24,39,3,81.174,84,81,13,52.449,49.835,573.75,91.225,0.0,33,0,0,0.615,57.5,42
8.3,41,3,85.058,88,85,13,55.211,52.362,599.79,95.64,0.0,35,0,0,0.616,60.0,44
8.68,43,3,87.941,91,88,14,56.972,53.889,613.82,99.055,0.0,36,0,0,0.612,61.0,45
7.959,21,3,41.258,43,42,7,27.87,25.805,279.42,47.232,0.0,18,0,0,0.614,30.0,21
7.959,23,3,41.141,43,42,11,26.631,24.332,257.42,47.647,0.0,16,0,0,0.579,25.0,19
5.699,11,4,36.018,35,34,4,22.551,23.299,324.29,39.507,8.8,14,3,3,0.685,32.0,23
5.0,14,4,35.807,36,35,4,23.193,22.864,286.32,39.697,0.0,14,0,0,0.653,30.0,21
5.959,20,4,40.131,41,40,10,25.023,23.73,276.38,45.734,0.0,14,0,0,0.593,26.0,20
5.95,13,3,29.723,31,30,3,20.824,19.698,223.3,33.571,0.0,14,0,0,0.657,26.0,17
4.516,37,5,81.687,84,81,9,53.586,51.012,619.81,91.311,0.0,32,0,0,0.63,62.0,44
5.456,14,4,34.48,35,34,4,22.739,22.149,270.32,38.488,0.0,14,0,0,0.651,29.0,20
7.143,18,4,40.247,41,40,6,26.262,25.203,298.38,45.318,0.0,16,0,0,0.63,31.0,22
6.541,20,4,43.131,44,43,7,28.023,26.73,312.41,48.734,0.0,17,0,0,0.622,32.0,23
5.0,16,4,41.363,43,41,3,28.5,27.676,332.39,45.903,0.0,19,0,0,0.675,38.0,25
5.0,14,4,35.807,36,35,4,23.193,22.864,286.32,39.697,0.0,14,0,0,0.653,30.0,21
6.06,16,4,34.363,35,34,8,21.5,20.676,248.32,38.903,0.0,12,0,0,0.608,24.0,18
6.706,18,4,37.247,38,37,9,23.262,22.203,262.35,42.318,0.0,13,0,0,0.6,25.0,19
7.42,20,4,40.131,41,40,10,25.023,23.73,276.38,45.734,0.0,14,0,0,0.593,26.0,20
5.131,13,4,38.902,38,37,5,24.313,24.826,338.32,42.922,8.1,15,3,3,0.671,33.0,24
5.602,9,4,33.134,32,31,3,20.79,21.772,310.26,36.092,9.7,13,3,3,0.702,31.0,22
5.699,13,4,39.902,40,38,6,25.313,25.826,350.33,43.922,7.9,16,3,3,0.68,35.0,25
7.481,12,3,34.145,34,33,4,22.398,22.375,291.3,38.005,9.1,15,3,3,0.678,30.0,21
4.921,9,4,37.134,37,35,1,24.79,25.772,358.3,40.092,8.6,17,3,3,0.736,39.0,26
6.0,11,4,40.018,40,38,2,26.551,27.299,372.33,43.507,7.9,18,3,3,0.718,40.0,27
5.351,13,4,42.902,43,41,3,28.313,28.826,386.36,46.922,7.3,19,3,3,0.703,41.0,28
7.0,16,5,43.887,43,42,6,27.08,27.374,367.37,48.836,7.1,16,3,3,0.652,35.0,26
5.321,7,4,30.251,29,28,2,19.029,20.246,296.23,32.677,10.7,12,3,3,0.723,30.0,21
