pXC50,nBT,nC
4.287,45,22
4.533,41,18
4.0,44,16
4.0,27,11
7.469,19,8
5.824,19,8
5.678,19,8
4.0,66,22
4.337,44,17
5.301,19,8
6.921,22,9
5.77,22,9
5.398,21,8
5.886,20,8
5.0,21,10
7.222,18,7
7.699,19,8
7.538,20,9
7.155,22,9
7.523,25,10
6.959,21,8
5.959,19,8
7.301,18,7
6.921,18,7
6.469,21,8
7.658,20,8
5.77,21,8
6.201,19,8
4.886,25,10
4.699,22,9
8.699,20,8
6.921,22,9
6.824,19,8
5.77,19,8
4.699,23,9
7.638,19,8
4.215,61,24
6.0,21,9
4.027,41,16
4.398,31,12
4.301,59,26
4.699,18,7
4.699,20,9
5.398,32,14
4.301,28,12
4.523,31,13
7.169,26,9
4.223,63,26
4.951,41,18
4.75,41,18
