pXC50,AMW,C.,H.,Me
5.444,7.154,31.7,49.7,1.021
5.367,7.154,31.7,49.7,1.021
4.86,7.249,32.9,48.6,1.02
5.337,6.996,32.0,50.7,1.016
4.137,7.092,31.9,50.0,1.018
4.845,7.092,31.9,50.0,1.018
5.06,7.202,32.1,49.3,1.021
5.721,7.155,32.6,49.3,1.018
5.585,7.092,31.9,50.0,1.018
5.097,8.929,31.9,48.2,1.021
4.917,7.092,31.9,50.0,1.018
5.658,7.206,31.7,49.3,1.022
5.292,7.197,31.9,49.3,1.021
5.409,7.314,31.9,49.3,1.019
5.377,7.043,32.0,50.3,1.017
5.268,7.209,32.1,49.3,1.021
4.523,7.03,32.2,50.3,1.016
5.495,7.144,31.9,49.6,1.02
5.553,8.036,31.9,48.9,1.02
4.947,6.831,30.8,52.1,1.014
5.252,7.326,32.1,49.3,1.02
5.432,7.03,32.2,50.3,1.016
4.222,7.141,31.8,49.6,1.019
5.509,7.319,31.7,49.3,1.02
5.824,7.359,33.1,47.9,1.022
