pXC50,nS,nDB
4.523,1,3
4.0,0,1
4.523,1,3
4.485,0,3
4.59,0,2
4.203,0,1
4.312,0,1
4.039,0,1
4.408,0,1
4.523,1,3
4.523,1,3
4.0,0,1
4.0,0,2
4.0,0,2
4.523,1,3
5.088,0,3
4.542,0,3
5.26,0,3
4.69,0,3
4.0,0,2
4.697,0,2
4.293,0,2
4.491,0,4
4.519,0,2
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,4
4.523,1,2
4.523,1,3
4.523,1,3
4.523,2,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
5.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
5.008,1,3
4.523,1,5
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,5
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,5
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,4
4.523,2,3
4.523,1,3
4.303,0,2
4.0,0,2
4.0,1,4
4.0,1,4
5.455,0,2
5.71,0,2
4.898,1,4
5.502,0,2
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,1,3
4.523,2,4
4.0,0,1
5.638,0,2
4.74,0,1
4.34,0,1
4.62,0,1
4.432,0,3
4.312,0,2
4.0,0,1
4.0,0,1
4.134,0,2
4.0,0,1
