pXC50,C.,nBM,nCsp2,Sp,nAB,Mp,SCBO,Si,Sv,Se,nCsp3,AMW,H.,Me,Mi,Mv,MW,N.,nAT
7.561,47.4,22,17,29.284,21,0.771,39.5,42.04,27.647,38.458,1,10.877,34.2,1.012,1.106,0.728,413.32,10.5,38
5.301,43.2,15,15,29.472,12,0.67,36.0,49.445,28.423,44.356,4,7.668,43.2,1.008,1.124,0.646,337.41,6.8,44
6.469,41.7,18,16,31.784,16,0.662,38.0,54.149,30.256,48.014,4,7.301,45.8,1.0,1.128,0.63,350.46,8.3,48
5.301,46.8,23,19,33.33,22,0.709,44.0,52.389,32.251,47.68,3,8.678,38.3,1.014,1.115,0.686,407.88,6.4,47
7.699,50.0,27,21,32.693,26,0.743,46.0,48.614,31.148,44.113,1,8.738,36.4,1.003,1.105,0.708,384.49,9.1,44
6.921,47.7,23,19,32.426,22,0.737,44.0,48.918,31.551,45.12,2,9.734,34.1,1.025,1.112,0.717,428.29,6.8,44
7.678,41.7,14,15,31.296,12,0.652,33.0,53.983,29.267,47.578,5,6.76,50.0,0.991,1.125,0.61,324.46,4.2,48
5.301,43.9,15,15,27.71,12,0.676,35.0,46.03,26.896,41.473,3,7.887,41.5,1.012,1.123,0.656,323.38,7.3,41
6.572,45.7,22,17,32.909,21,0.715,43.5,51.238,31.39,46.323,4,8.489,39.1,1.007,1.114,0.682,390.5,8.7,46
5.921,45.2,22,17,30.148,21,0.718,40.5,46.823,28.863,42.44,2,8.678,38.1,1.01,1.115,0.687,364.46,9.5,42
6.921,45.2,22,17,31.341,21,0.746,40.5,46.534,29.335,42.189,2,9.06,38.1,1.004,1.108,0.698,380.53,9.5,42
5.301,44.7,22,17,33.216,21,0.707,41.5,52.444,31.202,46.88,4,8.011,42.6,0.997,1.116,0.664,376.52,8.5,47
6.046,47.4,22,17,27.87,21,0.733,39.5,42.538,27.005,38.742,1,9.274,34.2,1.02,1.119,0.711,352.42,10.5,38
6.57,46.3,22,17,29.506,21,0.72,42.5,46.633,29.298,42.651,2,9.815,31.7,1.04,1.137,0.715,402.43,9.8,41
6.432,48.7,23,17,29.176,21,0.748,42.5,43.282,28.116,39.447,1,9.216,33.3,1.011,1.11,0.721,359.44,12.8,39
7.222,47.4,22,17,29.284,21,0.771,39.5,42.04,27.647,38.458,1,10.877,34.2,1.012,1.106,0.728,413.32,10.5,38
5.301,43.2,24,17,32.25,21,0.733,44.5,48.953,30.765,44.844,2,9.376,36.4,1.019,1.113,0.699,412.53,9.1,44
6.854,45.2,22,17,29.96,21,0.713,43.5,47.842,30.013,43.978,2,9.963,31.0,1.047,1.139,0.715,418.43,9.5,42
5.301,47.4,22,17,28.79,21,0.758,39.5,42.143,27.449,38.553,1,9.707,34.2,1.015,1.109,0.722,368.87,10.5,38
5.845,47.4,22,17,28.79,21,0.758,39.5,42.143,27.449,38.553,1,9.707,34.2,1.015,1.109,0.722,368.87,10.5,38
7.285,47.4,22,17,29.648,21,0.78,40.5,42.087,28.277,38.876,1,10.613,31.6,1.023,1.108,0.744,403.31,10.5,38
7.373,48.7,23,17,30.034,21,0.77,43.5,43.226,28.944,39.771,1,10.099,30.8,1.02,1.108,0.742,393.88,12.8,39
5.301,50.0,27,21,33.551,26,0.763,47.0,48.558,31.976,44.436,1,9.521,34.1,1.01,1.104,0.727,418.93,9.1,44
7.16,46.3,22,17,30.551,21,0.745,40.5,45.558,28.976,41.436,2,9.339,36.6,1.011,1.111,0.707,382.9,9.8,41
5.301,44.7,22,17,34.074,21,0.725,42.5,52.388,32.029,47.203,4,8.744,40.4,1.004,1.115,0.681,410.96,8.5,47
5.301,46.3,22,17,30.551,21,0.745,40.5,45.558,28.976,41.436,2,9.339,36.6,1.011,1.111,0.707,382.9,9.8,41
7.412,47.4,22,17,28.79,21,0.758,39.5,42.143,27.449,38.553,1,9.707,34.2,1.015,1.109,0.722,368.87,10.5,38
7.581,46.3,22,17,30.551,21,0.745,40.5,45.558,28.976,41.436,2,9.339,36.6,1.011,1.111,0.707,382.9,9.8,41
7.523,47.4,22,17,29.648,21,0.78,40.5,42.087,28.277,38.876,1,10.613,31.6,1.023,1.108,0.744,403.31,10.5,38
7.699,50.0,27,21,32.693,26,0.743,46.0,48.614,31.148,44.113,1,8.738,36.4,1.003,1.105,0.708,384.49,9.1,44
7.339,47.4,22,17,28.79,21,0.758,39.5,42.143,27.449,38.553,1,9.707,34.2,1.015,1.109,0.722,368.87,10.5,38
7.461,48.7,22,18,29.546,21,0.758,39.5,43.06,27.954,39.334,1,9.433,35.9,1.009,1.104,0.717,367.88,7.7,39
7.417,45.2,22,17,29.909,21,0.712,40.5,47.136,28.81,42.462,2,8.711,38.1,1.011,1.122,0.686,365.85,11.9,42
7.207,48.8,23,19,29.904,22,0.729,41.0,45.638,28.789,41.36,1,8.85,36.6,1.009,1.113,0.702,362.84,9.8,41
7.528,48.8,23,19,30.762,22,0.75,42.0,45.582,29.616,41.684,1,9.69,34.1,1.017,1.112,0.722,397.28,9.8,41
7.854,51.1,28,23,33.807,27,0.719,47.5,52.109,32.488,46.92,1,8.052,38.3,0.998,1.109,0.691,378.46,8.5,47
7.528,50.0,24,19,31.148,22,0.742,45.0,46.721,30.283,42.578,1,9.235,33.3,1.014,1.112,0.721,387.85,11.9,42
6.921,47.5,22,18,28.904,21,0.723,39.5,44.638,27.789,40.36,1,8.771,37.5,1.009,1.116,0.695,350.83,10.0,40
6.704,47.4,22,17,27.597,21,0.726,39.5,42.432,26.977,38.804,1,9.284,34.2,1.021,1.117,0.71,352.8,10.5,38
6.616,50.0,23,20,30.659,22,0.73,41.0,46.555,29.294,42.142,1,8.615,38.1,1.003,1.108,0.697,361.85,7.1,42
6.347,50.0,23,20,31.517,22,0.75,42.0,46.499,30.122,42.465,1,9.435,35.7,1.011,1.107,0.717,396.29,7.1,42
5.886,50.0,23,20,30.597,22,0.728,42.0,46.894,29.677,42.654,1,9.044,35.7,1.016,1.117,0.707,379.84,7.1,42
5.301,45.7,17,14,24.898,16,0.711,32.0,39.14,23.767,35.258,2,8.565,40.0,1.007,1.118,0.679,299.78,8.6,35
8.699,39.1,16,14,30.79,12,0.669,38.0,52.096,29.987,47.109,4,8.497,41.3,1.024,1.133,0.652,390.86,8.7,46
8.262,39.6,15,15,32.097,12,0.669,37.0,54.302,30.799,48.665,4,8.102,43.8,1.014,1.131,0.642,388.89,8.3,48
8.638,44.0,19,18,33.54,17,0.671,39.5,56.066,31.762,49.796,4,7.23,46.0,0.996,1.121,0.635,361.48,6.0,50
8.921,42.9,19,17,32.784,17,0.669,39.5,55.149,31.256,49.014,4,7.397,44.9,1.0,1.125,0.638,362.47,8.2,49
7.745,40.0,14,14,32.972,12,0.659,38.0,57.444,32.266,51.541,6,8.558,42.0,1.031,1.149,0.645,427.89,6.0,50
8.301,39.2,15,15,33.858,12,0.664,38.0,57.717,32.326,51.549,5,7.9,45.1,1.011,1.132,0.634,402.92,7.8,51
7.886,43.4,19,18,35.302,17,0.666,40.5,59.481,33.289,52.68,5,7.085,47.2,0.994,1.122,0.628,375.51,5.7,53
7.66,37.0,16,14,35.318,12,0.654,41.0,61.425,34.062,54.978,6,8.036,44.4,1.018,1.138,0.631,433.94,9.3,54
5.301,46.0,19,19,33.841,17,0.677,38.5,55.773,31.552,49.251,4,6.89,48.0,0.985,1.115,0.631,344.49,4.0,50
8.572,44.9,19,18,33.086,17,0.675,38.5,54.856,31.047,48.469,4,7.051,46.9,0.989,1.12,0.634,345.48,6.1,49
8.222,44.9,19,18,33.086,17,0.675,38.5,54.856,31.047,48.469,4,7.051,46.9,0.989,1.12,0.634,345.48,6.1,49
6.511,44.9,19,18,33.086,17,0.675,38.5,54.856,31.047,48.469,4,7.051,46.9,0.989,1.12,0.634,345.48,6.1,49
5.959,44.9,19,18,33.086,17,0.675,38.5,54.856,31.047,48.469,4,7.051,46.9,0.989,1.12,0.634,345.48,6.1,49
5.301,41.5,14,14,27.262,12,0.665,33.0,46.318,26.203,41.247,3,7.57,43.9,1.006,1.13,0.639,310.39,9.8,41
5.301,44.2,18,17,34.603,17,0.665,37.5,58.188,32.079,51.134,6,6.664,50.0,0.983,1.119,0.617,346.51,3.8,52
6.921,40.9,13,13,29.392,12,0.668,31.0,49.511,27.568,44.018,5,7.565,47.7,1.0,1.125,0.627,332.86,4.5,44
7.854,45.1,20,20,35.398,18,0.694,42.0,57.01,33.589,51.12,3,7.999,43.1,1.002,1.118,0.659,407.93,5.9,51
5.301,46.8,19,19,32.938,18,0.701,38.0,52.302,30.853,46.691,3,7.764,44.7,0.993,1.113,0.656,364.9,4.3,47
7.302,42.9,14,14,28.631,12,0.682,32.0,47.096,27.041,42.134,4,7.877,45.2,1.003,1.121,0.644,330.84,4.8,42
7.699,42.2,14,14,30.205,12,0.671,36.0,51.531,29.718,46.556,5,8.863,40.0,1.035,1.145,0.66,398.84,4.4,45
7.276,41.3,15,15,31.091,12,0.676,36.0,51.804,29.777,46.563,4,8.128,43.5,1.012,1.126,0.647,373.87,6.5,46
6.959,43.6,14,14,26.87,12,0.689,31.0,43.681,25.514,39.251,3,8.123,43.6,1.006,1.12,0.654,316.81,5.1,39
5.301,44.4,14,14,25.108,12,0.697,30.0,40.266,23.988,36.367,2,8.411,41.7,1.01,1.118,0.666,302.78,5.6,36
7.222,46.9,20,20,34.637,18,0.707,43.0,54.595,33.063,49.236,3,8.284,40.8,1.005,1.114,0.675,405.91,6.1,49
5.301,42.6,14,15,31.699,12,0.674,33.0,52.717,29.38,46.574,5,7.296,48.9,0.991,1.122,0.625,342.9,4.3,47
5.301,43.9,14,14,28.08,12,0.685,32.0,45.807,26.735,41.36,4,8.093,43.9,1.009,1.117,0.652,331.82,2.4,41
5.301,44.2,14,14,29.387,12,0.683,32.0,48.013,27.547,42.916,5,7.671,46.5,0.998,1.117,0.641,329.85,2.3,43
6.921,43.9,14,14,28.08,12,0.685,32.0,45.807,26.735,41.36,4,8.093,43.9,1.009,1.117,0.652,331.82,2.4,41
8.398,40.4,14,14,31.211,12,0.664,37.0,54.029,30.739,48.658,5,8.806,40.4,1.035,1.15,0.654,413.86,6.4,47
6.495,43.2,14,15,29.08,12,0.661,31.0,49.358,27.026,43.367,4,6.692,50.0,0.986,1.122,0.614,294.43,4.5,44
7.566,43.2,14,15,29.938,12,0.68,32.0,49.302,27.853,43.691,4,7.474,47.7,0.993,1.121,0.633,328.87,4.5,44
7.699,43.2,14,15,30.432,12,0.692,32.0,49.2,28.051,43.596,4,8.485,47.7,0.991,1.118,0.638,373.32,4.5,44
6.481,43.2,14,15,29.938,12,0.68,32.0,49.302,27.853,43.691,4,7.474,47.7,0.993,1.121,0.633,328.87,4.5,44
5.301,43.2,14,15,29.938,12,0.68,32.0,49.302,27.853,43.691,4,7.474,47.7,0.993,1.121,0.633,328.87,4.5,44
5.301,41.1,14,15,36.126,12,0.645,35.0,63.019,33.133,54.901,8,6.26,53.6,0.98,1.125,0.592,350.55,3.6,56
7.301,43.2,14,15,30.796,12,0.7,33.0,49.246,28.681,44.014,4,8.257,45.5,1.0,1.119,0.652,363.31,4.5,44
7.699,42.6,14,15,31.512,12,0.67,36.0,53.736,30.53,48.112,5,8.444,42.6,1.024,1.143,0.65,396.87,4.3,47
8.594,41.7,14,15,32.154,12,0.67,34.0,53.927,30.095,47.902,5,7.477,47.9,0.998,1.123,0.627,358.9,4.2,48
8.581,41.7,15,16,32.398,12,0.675,36.0,54.01,30.589,48.12,4,7.748,45.8,1.002,1.125,0.637,371.9,6.3,48
7.854,41.2,15,16,34.159,12,0.67,37.0,57.425,32.116,51.003,5,7.567,47.1,1.0,1.126,0.63,385.93,5.9,51
7.932,40.7,15,16,35.921,12,0.665,38.0,60.84,33.643,53.887,6,7.407,48.1,0.998,1.127,0.623,399.96,5.6,54
6.959,42.0,14,15,32.75,12,0.655,36.0,56.192,30.982,49.905,6,7.049,48.0,0.998,1.124,0.62,352.47,4.0,50
7.398,46.0,19,19,33.841,17,0.677,38.5,55.773,31.552,49.251,4,6.89,48.0,0.985,1.115,0.631,344.49,4.0,50
6.016,43.9,15,15,27.71,12,0.676,35.0,46.03,26.896,41.473,3,7.887,41.5,1.012,1.123,0.656,323.38,7.3,41
5.301,37.9,9,9,18.977,6,0.654,24.0,33.073,18.622,29.596,2,8.009,41.4,1.021,1.14,0.642,232.27,13.8,29
5.301,38.5,9,9,25.017,6,0.641,27.0,44.235,23.708,39.029,6,7.009,48.7,1.001,1.134,0.608,273.37,7.7,39
5.301,43.9,15,15,27.71,12,0.676,35.0,46.03,26.896,41.473,3,7.887,41.5,1.012,1.123,0.656,323.38,7.3,41
5.301,43.2,15,15,29.472,12,0.67,36.0,49.445,28.423,44.356,4,7.668,43.2,1.008,1.124,0.646,337.41,6.8,44
5.301,43.9,15,15,27.523,12,0.671,38.0,47.049,28.046,43.011,3,9.204,34.1,1.049,1.148,0.684,377.35,7.3,41
5.301,45.0,15,15,27.256,12,0.681,34.0,44.82,26.181,40.145,3,7.684,42.5,1.004,1.121,0.655,307.38,7.5,40
5.301,43.5,15,15,30.779,12,0.669,36.0,51.651,29.235,45.912,5,7.292,45.7,0.998,1.123,0.636,335.44,6.5,46
6.596,45.9,15,15,26.352,12,0.712,34.0,41.349,25.482,37.585,2,8.859,37.8,1.016,1.118,0.689,327.79,8.1,37
5.301,45.9,15,15,25.432,12,0.687,34.0,41.745,25.038,37.774,2,8.415,37.8,1.021,1.128,0.677,311.34,8.1,37
6.025,47.4,16,15,26.739,12,0.704,37.0,42.488,26.149,38.48,2,8.378,36.8,1.013,1.118,0.688,318.36,10.5,38
5.301,45.0,15,15,27.068,12,0.677,37.0,45.839,27.331,41.683,3,9.034,35.0,1.042,1.146,0.683,361.35,7.5,40
5.301,41.9,17,15,29.813,12,0.693,39.0,48.159,28.798,43.876,3,8.638,39.5,1.02,1.12,0.67,371.45,7.0,43
5.301,45.0,15,15,27.068,12,0.677,37.0,45.839,27.331,41.683,3,9.034,35.0,1.042,1.146,0.683,361.35,7.5,40
5.301,45.9,15,15,26.352,12,0.712,34.0,41.349,25.482,37.585,2,8.859,37.8,1.016,1.118,0.689,327.79,8.1,37
7.141,45.9,15,15,27.21,12,0.735,35.0,41.293,26.31,37.909,2,9.79,35.1,1.025,1.116,0.711,362.23,8.1,37
7.324,45.9,15,15,27.705,12,0.749,35.0,41.191,26.507,37.814,2,10.991,35.1,1.022,1.113,0.716,406.68,8.1,37
7.47,45.0,15,15,28.421,12,0.711,38.0,45.681,28.357,41.912,3,11.006,32.5,1.048,1.142,0.709,440.24,7.5,40
7.744,45.0,15,15,27.926,12,0.698,38.0,45.783,28.159,42.007,3,9.895,32.5,1.05,1.145,0.704,395.79,7.5,40
7.276,46.3,16,15,28.313,12,0.691,41.0,46.922,28.826,42.902,3,9.423,31.7,1.046,1.144,0.703,386.36,9.8,41
6.433,47.4,16,15,27.597,12,0.726,38.0,42.432,26.977,38.804,2,9.284,34.2,1.021,1.117,0.71,352.8,10.5,38
6.824,45.0,15,15,27.006,12,0.675,38.0,46.179,27.715,42.196,3,9.484,32.5,1.055,1.154,0.693,379.34,7.5,40
5.301,43.2,15,15,29.284,12,0.666,39.0,50.464,29.573,45.894,4,8.895,36.4,1.043,1.147,0.672,391.38,6.8,44
