pXC50,nBO,C.,nCsp2,Sp,nC,Sv
4.523,30,47.5,15,29.455,19,28.505
7.552,81,35.0,30,91.069,49,87.909
9.2,45,39.7,18,50.483,31,48.11
5.16,46,39.7,18,50.728,31,48.604
5.0,108,38.3,46,124.024,74,118.224
6.576,105,36.7,42,115.688,66,112.078
5.0,102,36.6,41,113.904,64,109.361
7.498,112,39.2,50,125.717,76,120.412
7.812,112,39.2,50,125.717,76,120.412
5.727,112,37.4,48,126.637,74,121.884
8.023,117,38.2,52,131.399,78,126.411
7.723,119,38.1,52,134.922,80,129.464
9.1,115,38.4,51,130.7,78,125.201
8.799,113,38.6,51,127.177,76,122.148
9.0,26,47.5,18,28.898,19,27.347
6.716,49,44.7,29,51.654,34,50.244
6.706,51,46.8,30,54.603,37,51.933
6.796,49,45.9,29,50.989,34,49.309
6.19,50,45.5,29,52.75,35,50.836
7.327,47,45.9,28,50.841,34,48.406
6.202,47,46.6,28,50.29,34,48.1
6.282,50,46.7,29,52.086,35,49.901
5.0,50,47.4,30,52.841,36,50.406
5.742,46,47.2,28,49.836,34,47.385
5.409,70,36.9,28,82.154,48,78.564
6.9,49,44.7,29,51.654,34,50.244
6.319,43,43.8,22,48.807,32,46.132
6.533,42,44.3,22,47.046,31,44.605
5.921,38,44.4,22,42.523,28,40.552
9.699,35,49.0,23,36.023,25,34.73
9.6,41,47.5,24,40.841,28,40.289
8.523,46,41.3,17,51.995,33,49.121
10.328,51,47.3,28,51.131,35,49.891
7.356,44,47.7,26,45.25,31,43.715
5.0,44,47.8,27,47.83,33,45.364
5.534,44,47.8,27,47.83,33,45.364
5.0,44,48.6,28,48.586,34,45.869
7.456,44,48.6,28,48.586,34,45.869
7.481,44,47.8,27,47.83,33,45.364
6.664,44,47.1,26,47.074,32,44.858
7.417,44,47.1,26,47.074,32,44.858
7.536,45,46.5,26,48.836,33,46.385
8.753,44,47.1,26,47.074,32,44.858
7.678,45,46.5,26,48.836,33,46.385
6.33,46,45.8,26,49.29,33,47.1
5.787,44,47.0,26,45.767,31,44.046
9.441,47,47.1,26,48.529,33,46.573
7.747,43,47.7,26,45.313,31,43.331
7.346,44,47.1,26,47.074,32,44.858
6.734,44,47.1,26,47.074,32,44.858
7.336,44,47.7,26,46.171,31,44.159
8.46,44,47.7,26,45.25,31,43.715
8.854,44,47.7,26,45.25,31,43.715
9.603,45,47.1,26,47.012,32,45.241
7.671,44,47.8,27,47.83,33,45.364
7.828,44,47.1,26,47.074,32,44.858
7.721,44,47.1,26,47.074,32,44.858
8.002,43,47.0,25,45.523,31,43.552
7.284,43,46.3,25,46.074,31,43.858
5.299,48,46.7,28,51.5,35,49.32
7.126,47,47.2,28,49.739,34,47.793
8.173,48,46.7,28,51.5,35,49.32
8.699,47,47.2,28,49.739,34,47.793
9.658,48,47.2,28,49.676,34,48.176
6.155,112,33.7,35,125.887,68,122.515
6.155,112,34.0,36,126.984,69,123.107
6.155,121,33.6,38,137.188,74,133.16
6.155,130,32.8,32,154.302,83,148.222
6.155,121,33.8,38,137.302,75,133.499
6.155,130,33.3,40,147.393,79,143.212
6.155,148,32.8,44,167.802,89,163.318
6.155,148,33.6,44,164.495,89,161.478
6.155,106,34.0,32,122.484,67,118.075
6.155,112,33.6,32,130.438,71,125.612
6.155,106,34.0,34,119.45,65,116.011
7.454,44,40.0,18,48.722,30,46.583
8.409,36,46.4,23,38.449,26,37.191
6.012,36,46.4,23,38.449,26,37.191
8.438,36,46.4,23,38.449,26,37.191
7.294,50,43.8,24,53.819,35,51.175
6.398,48,44.7,24,51.603,34,48.933
5.883,53,47.5,30,55.603,38,52.933
6.34,53,46.8,29,54.847,37,52.428
5.777,53,47.5,30,55.603,38,52.933
5.674,52,48.1,30,53.841,37,51.406
6.306,49,44.3,24,53.364,35,50.46
7.213,54,47.0,30,57.364,39,54.46
6.592,54,43.8,24,59.648,39,56.04
7.263,54,46.3,29,56.608,38,53.955
6.423,54,46.3,29,56.608,38,53.955
6.42,51,46.2,29,53.847,36,51.428
8.287,50,43.0,23,53.063,34,50.669
7.667,54,46.3,29,56.608,38,53.955
6.175,55,45.9,29,58.37,39,55.481
7.644,56,45.5,29,60.131,40,57.008
7.362,35,47.2,23,36.688,25,35.665
5.0,40,39.2,16,47.574,29,44.68
5.23,40,39.7,16,47.023,29,44.374
5.0,41,40.3,17,46.716,29,44.562
5.93,40,40.0,16,48.33,30,45.186
5.0,70,37.6,28,79.631,47,76.511
6.71,30,35.0,9,38.421,21,36.174
5.0,44,38.1,16,53.313,32,49.975
6.495,67,37.2,28,76.87,45,73.984
4.896,37,45.0,24,40.665,27,39.433
5.601,69,37.0,28,80.393,47,77.037
5.0,32,39.6,13,35.125,19,32.844
5.0,37,39.0,13,40.512,23,38.114
5.0,33,38.9,13,37.296,21,34.872
5.0,34,38.5,14,36.233,20,34.555
5.0,30,43.2,14,32.262,19,30.415
5.0,32,40.0,13,34.716,18,32.342
5.0,37,43.6,19,39.534,24,37.345
5.0,32,38.3,13,33.875,18,32.141
5.0,32,41.3,15,33.171,19,31.845
5.0,34,43.8,19,35.869,21,34.119
5.0,35,43.1,17,36.773,22,34.819
5.0,30,40.0,13,30.994,16,29.253
5.0,38,38.3,13,41.921,23,39.248
5.0,32,39.6,13,34.631,19,32.646
5.0,39,40.3,17,43.063,25,40.42
5.0,33,39.6,14,33.921,19,32.721
5.0,32,41.3,15,34.477,19,32.136
5.0,31,38.3,13,33.017,18,31.313
5.0,34,37.7,13,36.443,20,34.775
5.0,33,38.3,13,33.165,18,32.216
5.0,32,39.6,13,35.125,19,32.844
5.0,31,39.5,13,33.364,17,30.797
5.0,32,41.3,15,32.676,19,31.647
5.0,32,38.8,13,34.227,19,32.533
5.0,30,39.5,13,30.705,17,29.48
5.0,32,39.6,13,35.125,19,32.844
5.0,34,40.4,15,36.199,21,34.701
5.0,31,40.0,13,33.364,18,31.317
5.0,33,44.4,19,34.108,20,32.593
5.0,33,37.7,13,36.54,20,34.367
5.0,32,44.0,17,35.989,22,33.668
6.7,37,44.4,22,39.142,24,37.592
5.0,32,41.3,15,33.869,19,32.119
5.0,33,38.8,13,35.085,19,33.361
5.0,32,39.6,13,34.631,19,32.646
5.0,38,43.6,19,40.392,24,38.173
5.0,86,37.4,36,98.575,58,94.859
5.959,74,38.9,34,84.393,51,81.037
5.0,32,38.3,13,33.875,18,32.141
6.886,86,37.4,36,98.575,58,94.859
5.721,79,37.9,35,89.62,53,86.322
5.6,40,42.4,20,41.994,25,40.082
5.444,74,38.9,34,84.393,51,81.037
5.76,44,39.2,17,48.307,29,46.164
5.0,35,41.4,16,38.216,24,36.74
5.0,38,41.3,17,41.432,26,39.981
6.23,45,40.0,18,48.966,30,47.078
5.0,43,41.1,17,47.716,30,45.562
5.1,44,40.8,17,49.478,31,47.088
5.0,42,40.0,17,48.478,30,46.088
5.0,43,39.7,17,50.239,31,47.615
5.19,44,38.8,17,51.245,31,48.637
5.39,43,39.5,17,48.932,30,46.803
5.0,40,40.6,17,44.955,28,43.035
5.24,42,40.0,17,48.478,30,46.088
5.19,46,38.0,17,51.074,30,48.712
5.0,47,41.0,20,52.37,32,49.77
6.33,47,40.8,18,49.966,31,48.078
5.0,46,40.5,19,51.483,32,49.11
5.6,45,40.5,17,51.239,32,48.615
5.68,45,40.3,17,51.125,31,48.275
6.43,47,41.3,17,52.239,33,49.615
7.796,77,35.6,27,86.716,48,83.491
5.127,89,34.6,31,99.057,53,95.72
5.19,91,34.6,31,102.58,55,98.774
5.159,90,34.6,31,100.819,54,97.247
7.6,36,46.4,22,39.063,26,37.524
7.6,36,46.4,22,39.063,26,37.524
7.6,35,47.3,22,38.608,26,36.809
7.6,34,48.1,22,36.847,25,35.283
7.6,35,47.3,22,38.608,26,36.809
7.6,36,45.8,22,39.966,27,38.224
7.6,36,45.8,22,39.966,27,38.224
7.6,36,45.8,22,39.966,27,38.224
7.6,35,46.6,22,39.512,27,37.509
7.2,30,35.5,9,39.728,22,36.986
7.6,35,46.6,22,39.512,27,37.509
7.6,34,47.3,22,37.75,26,35.982
9.2,31,47.6,19,31.455,20,30.384
7.6,35,48.1,22,37.705,25,36.11
5.699,27,46.3,17,28.773,19,27.923
6.35,41,39.5,16,48.785,30,45.9
7.14,48,39.0,18,52.944,32,50.846
6.55,45,38.8,17,52.341,31,49.517
5.0,31,40.4,14,33.478,19,31.657
5.63,44,39.2,17,50.694,31,48.33
5.0,44,43.3,23,45.131,29,44.191
5.81,46,40.5,19,52.677,32,49.582
5.0,32,38.8,13,34.483,19,32.678
5.0,31,41.3,14,34.12,19,31.822
5.63,41,38.7,16,48.029,29,45.395
5.0,32,38.8,13,34.483,19,32.678
5.0,32,41.7,15,34.478,20,32.657
5.244,66,37.3,28,75.109,44,72.457
5.0,32,40.4,14,33.722,19,32.151
9.004,73,36.4,28,84.16,48,80.874
5.68,47,37.5,17,51.529,30,49.427
5.478,82,38.2,36,92.285,55,89.257
5.0,32,40.0,13,34.716,18,32.342
9.301,73,36.4,28,84.16,48,80.874
8.377,76,36.8,28,86.921,50,83.401
5.0,39,40.0,16,45.262,28,42.847
5.0,45,39.0,17,50.069,30,47.691
5.854,46,44.9,22,46.983,31,45.288
5.663,48,36.8,20,55.165,32,53.109
5.0,57,43.5,30,61.705,40,59.373
5.569,51,37.4,20,57.927,34,55.636
6.439,63,38.4,26,71.984,43,68.786
5.0,48,36.9,19,53.745,31,51.669
6.8,46,45.9,28,50.5,34,48.32
8.4,60,38.3,27,68.671,41,65.952
7.1,42,40.0,16,45.444,28,43.725
8.0,48,43.2,22,49.381,32,48.108
7.3,46,45.2,28,49.745,33,47.815
7.52,40,41.8,21,44.534,28,42.594
4.681,45,39.7,18,50.483,31,48.11
6.06,66,37.3,28,75.109,44,72.457
5.721,64,37.6,27,74.41,44,71.248
5.131,65,37.8,26,76.91,45,72.532
5.602,41,44.8,22,45.284,30,43.078
6.143,40,43.5,22,46.046,30,43.605
5.0,43,43.8,22,48.807,32,46.132
8.6,46,41.3,17,51.995,33,49.121
6.357,41,44.8,22,45.284,30,43.078
6.955,39,43.9,22,44.284,29,42.078
7.554,45,38.8,17,52.438,31,49.109
8.102,49,42.0,22,53.483,34,51.11
5.0,32,39.2,13,35.534,20,33.345
5.721,87,37.8,36,99.234,59,95.772
5.72,50,41.7,17,55.0,35,52.142
5.0,45,38.5,17,51.034,30,48.705
5.53,45,38.0,17,51.586,30,49.012
7.553,81,35.3,30,90.517,49,87.602
5.0,79,38.4,35,88.518,53,85.709
5.398,33,47.2,23,36.443,25,35.17
5.82,39,40.0,16,45.262,28,42.847
5.699,73,39.1,34,82.631,50,79.511
6.14,40,40.0,16,48.33,30,45.186
5.553,28,44.2,17,29.165,19,28.611
5.0,44,39.5,16,52.097,32,48.734
5.06,44,37.6,16,53.864,32,50.282
6.527,73,39.1,34,82.631,50,79.511
5.292,67,37.2,28,76.87,45,73.984
5.187,66,37.3,28,75.109,44,72.457
5.0,32,38.8,13,35.421,19,33.006
5.0,31,40.0,13,34.671,18,31.609
5.0,36,44.9,19,36.869,22,35.119
5.0,31,40.0,13,32.869,18,31.119
5.0,33,39.2,13,36.392,20,34.173
5.0,34,40.4,15,36.199,21,34.701
5.0,31,40.0,13,31.676,18,30.647
5.0,31,40.0,13,32.869,18,31.119
5.0,32,41.3,15,31.756,19,31.203
5.0,32,40.0,13,33.727,18,31.947
5.0,33,40.8,15,34.438,20,33.174
5.0,31,39.5,13,30.642,17,29.863
5.0,33,38.8,13,35.085,19,33.361
5.0,32,42.9,16,34.739,21,32.964
5.1,30,41.7,15,32.881,20,31.137
5.0,30,40.5,13,31.108,17,29.593
5.081,86,37.4,36,98.575,58,94.859
5.0,33,40.8,15,34.438,20,33.174
5.155,79,37.9,35,89.62,53,86.322
5.0,29,41.0,13,29.347,16,28.066
5.0,36,41.5,17,37.779,22,35.84
5.0,33,40.0,14,33.017,18,32.022
5.0,31,39.6,13,33.773,19,31.819
5.0,34,39.6,13,33.585,19,32.969
5.0,32,42.9,16,35.233,21,33.162
5.5,36,44.4,22,37.79,24,36.566
5.0,32,42.9,16,35.233,21,33.162
5.0,31,39.5,13,32.057,17,30.505
5.0,31,40.0,13,32.869,18,31.119
5.0,32,40.0,13,33.301,18,31.7
5.0,31,40.0,13,33.364,18,31.317
5.0,31,39.5,13,31.563,17,30.307
5.0,44,40.8,17,49.478,31,47.088
5.4,44,40.8,17,49.478,31,47.088
6.26,48,42.7,23,54.239,35,51.615
6.34,47,41.8,21,51.932,33,49.803
5.15,37,40.0,17,42.193,26,40.508
6.19,43,39.5,17,50.125,30,47.275
6.26,46,40.5,19,51.483,32,49.11
5.67,46,39.7,18,50.728,31,48.604
5.09,46,39.7,18,50.728,31,48.604
5.0,43,40.3,17,46.961,29,45.056
5.0,45,43.8,23,48.955,32,47.035
5.0,40,40.0,11,45.017,28,42.352
4.606,92,34.6,31,104.341,56,100.301
5.143,80,33.3,25,88.767,46,86.118
7.983,35,49.0,23,36.023,25,34.73
4.579,87,35.1,31,96.29,52,93.172
4.574,88,35.1,31,98.052,53,94.699
7.495,131,34.6,44,149.444,82,144.776
4.824,92,34.6,31,104.341,56,100.301
7.6,35,47.3,22,38.608,26,36.809
7.6,35,47.3,22,38.608,26,36.809
7.6,35,48.1,22,37.705,25,36.11
7.6,36,46.4,22,39.063,26,37.524
6.5,46,39.5,18,49.421,30,47.792
5.387,86,37.9,36,97.472,58,94.245
5.495,82,38.2,36,92.285,55,89.257
