pXC50,AMW,C.,H.,Me,Mi,Mp,Mv,MW,N.,nAB,nAT,nB,nBM,nBO,nBR,nBT,nC,nCL,nCsp,nCsp2,nCsp3,nDB,nF,nH,nHet,nHM,nI,nN,nO,nP,nS,nSK,nTB,nX,O.,RBF,RBN,SCBO,Se,Si,Sp,Sv,X.
5.102,8.778,48.8,37.2,1.009,1.113,0.73,0.699,377.47,7.0,23,43,0,24,30,0,46,21,0,0,20,1,1,1,16,6,1,0,3,1,0,1,27,0,1,2.3,0.087,4,42.5,43.407,47.87,31.387,30.037,2.3
5.0,8.671,50.0,37.5,1.001,1.111,0.736,0.702,346.84,10.0,23,40,0,23,28,0,43,20,1,0,19,1,0,0,15,5,1,0,4,0,0,0,25,0,1,0.0,0.093,4,39.5,40.033,44.428,29.449,28.074,2.5
5.6,8.46,39.6,43.4,1.012,1.131,0.684,0.65,448.39,9.4,18,53,0,18,32,0,55,21,2,0,16,5,0,0,23,9,2,0,5,2,0,0,30,0,2,3.8,0.164,9,41.0,53.647,59.95,36.267,34.46,3.8
5.0,8.446,47.5,40.0,1.004,1.114,0.716,0.682,337.83,7.5,18,40,0,19,26,0,42,19,1,0,18,1,1,0,16,5,1,0,3,1,0,0,24,0,1,2.5,0.119,5,36.0,40.142,44.555,28.659,27.294,2.5
5.3,6.944,40.8,48.7,0.995,1.128,0.652,0.614,527.73,6.6,22,76,0,23,43,0,80,31,0,0,20,11,1,0,37,8,0,0,5,3,0,0,39,0,0,3.9,0.1,8,55.0,75.629,85.763,49.574,46.68,0.0
5.0,12.274,43.6,35.9,1.034,1.13,0.754,0.708,478.68,5.1,12,39,0,13,27,0,41,17,1,0,13,4,1,2,14,8,2,1,2,2,0,0,25,0,4,5.1,0.146,6,34.0,40.345,44.081,29.404,27.598,10.3
5.398,8.438,42.9,37.1,1.02,1.131,0.685,0.676,295.33,14.3,17,35,0,18,24,0,37,15,0,0,14,1,1,0,13,7,0,0,5,2,0,0,22,0,0,5.7,0.108,4,33.5,35.698,39.571,23.983,23.644,0.0
5.0,9.228,50.0,31.3,1.031,1.122,0.716,0.718,295.29,9.4,20,32,0,21,25,0,35,16,0,0,16,0,1,1,10,6,0,0,3,2,0,0,22,0,1,6.3,0.057,2,36.0,33.007,35.914,22.909,22.984,3.1
5.398,8.109,42.5,40.0,1.017,1.128,0.674,0.66,324.37,10.0,17,40,0,18,26,0,42,17,0,0,15,2,1,0,16,7,0,0,4,3,0,0,24,0,0,7.5,0.119,5,35.5,40.691,45.113,26.955,26.391,0.0
5.6,7.79,41.5,41.5,1.003,1.136,0.679,0.653,319.41,17.1,20,41,0,20,28,0,45,17,0,0,12,5,0,0,17,7,0,0,7,0,0,0,24,0,0,0.0,0.044,2,38.0,41.131,46.564,27.847,26.784,0.0
5.5,7.43,37.2,48.8,1.0,1.13,0.661,0.614,319.47,7.0,11,43,0,13,24,0,45,16,0,0,9,7,2,0,21,6,1,0,3,2,0,1,22,0,0,4.7,0.044,2,31.5,42.989,48.571,28.426,26.422,0.0
6.6,9.228,38.2,36.4,1.043,1.152,0.672,0.67,507.55,12.7,18,55,0,21,38,0,58,21,0,0,16,5,3,3,20,14,1,0,7,3,0,1,35,0,3,5.5,0.121,7,50.0,57.378,63.377,36.955,36.846,5.5
5.0,7.138,40.0,47.1,0.998,1.133,0.655,0.62,499.68,10.0,22,70,0,23,41,0,74,28,0,0,19,9,1,0,33,9,0,0,7,2,0,0,37,0,0,2.9,0.095,7,53.0,69.854,79.305,45.847,43.428,0.0
7.155,8.503,46.2,38.5,1.011,1.12,0.71,0.683,552.68,9.2,32,65,0,33,45,0,70,30,0,0,26,4,1,1,25,10,1,0,6,2,0,1,40,0,1,3.1,0.114,8,62.0,65.691,72.82,46.142,44.396,1.5
7.097,9.118,48.2,33.9,1.019,1.117,0.73,0.711,510.59,10.7,32,56,0,33,42,0,61,27,0,0,26,1,1,1,19,10,1,0,6,2,0,1,37,0,1,3.6,0.098,6,59.0,57.04,62.575,40.858,39.816,1.8
5.398,8.438,42.9,37.1,1.02,1.131,0.685,0.676,295.33,14.3,17,35,0,18,24,0,37,15,0,0,14,1,1,0,13,7,0,0,5,2,0,0,22,0,0,5.7,0.108,4,33.5,35.698,39.571,23.983,23.644,0.0
7.155,8.892,47.5,35.6,1.016,1.118,0.722,0.701,524.62,10.2,32,59,0,33,43,0,64,28,0,0,26,2,1,1,21,10,1,0,6,2,0,1,38,0,1,3.4,0.094,6,60.0,59.923,65.99,42.62,41.343,1.7
5.509,7.655,46.8,41.9,0.996,1.119,0.695,0.663,474.61,9.7,28,62,0,28,42,0,68,29,0,0,23,6,0,0,26,7,0,0,6,1,0,0,36,0,0,1.6,0.059,4,56.0,61.774,69.351,43.103,41.111,0.0
6.699,9.209,46.7,33.3,1.043,1.139,0.687,0.696,552.52,6.7,28,60,0,29,44,0,64,28,0,0,25,3,1,4,20,12,0,0,4,4,0,0,40,0,4,6.7,0.109,7,59.0,62.603,68.342,41.205,41.746,6.7
4.824,9.424,45.3,32.1,1.049,1.147,0.684,0.698,499.46,9.4,23,53,0,25,39,0,56,24,0,0,22,2,2,4,17,12,0,0,5,3,0,0,36,0,4,5.7,0.107,6,52.5,55.611,60.8,36.233,36.999,7.5
6.5,7.825,46.3,40.7,1.0,1.121,0.696,0.668,422.53,11.1,27,54,0,28,36,0,58,25,0,0,23,2,1,0,22,7,0,0,6,1,0,0,32,0,0,1.9,0.086,5,50.5,54.007,60.521,37.58,36.058,0.0
5.6,8.163,45.8,40.3,1.002,1.117,0.708,0.674,587.76,9.7,33,72,0,34,49,0,78,33,0,0,28,5,1,0,29,10,1,0,7,2,0,1,43,0,0,2.8,0.103,8,66.5,72.163,80.394,50.972,48.561,0.0
4.301,8.282,47.3,38.2,1.016,1.114,0.693,0.68,455.5,5.5,22,55,0,25,38,0,59,26,0,0,23,3,3,0,21,8,0,0,3,5,0,0,34,0,0,9.1,0.085,5,52.0,55.894,61.279,38.142,37.379,0.0
5.0,7.354,37.7,45.9,1.005,1.14,0.649,0.621,448.59,13.1,17,61,0,18,37,0,65,23,0,0,14,9,1,0,28,10,0,0,8,2,0,0,33,0,0,3.3,0.077,5,46.5,61.305,69.557,39.569,37.869,0.0
6.398,9.807,47.5,30.5,1.042,1.136,0.719,0.72,578.59,10.2,32,59,0,33,46,0,64,28,0,0,26,2,1,4,18,13,1,0,6,2,0,1,41,0,4,3.4,0.094,6,63.0,61.461,67.009,42.432,42.493,6.8
6.824,9.807,47.5,30.5,1.042,1.136,0.719,0.72,578.59,10.2,32,59,0,33,46,0,64,28,0,0,26,2,1,4,18,13,1,0,6,2,0,1,41,0,4,3.4,0.094,6,63.0,61.461,67.009,42.432,42.493,6.8
7.523,8.754,45.1,37.8,1.027,1.132,0.691,0.678,717.8,6.1,33,82,0,35,56,0,87,37,0,0,30,7,2,4,31,14,1,0,5,4,0,1,51,0,4,4.9,0.126,11,74.5,84.199,92.836,56.665,55.588,4.9
7.222,9.339,44.7,35.5,1.033,1.131,0.708,0.694,709.8,6.6,33,76,0,36,54,0,81,34,0,0,29,5,3,4,27,15,2,0,5,4,0,2,49,0,4,5.3,0.136,11,73.5,78.509,85.926,53.79,52.722,5.3
7.301,9.358,47.8,33.3,1.034,1.13,0.713,0.707,645.68,7.2,33,69,0,35,51,0,74,33,0,0,30,3,2,4,23,13,1,0,5,3,0,1,46,0,4,4.3,0.095,7,69.5,71.338,77.966,49.165,48.766,5.8
7.523,8.785,45.0,37.5,1.026,1.134,0.693,0.68,702.79,7.5,33,80,0,35,55,0,85,36,0,0,30,6,2,4,30,14,1,0,6,3,0,1,50,0,4,3.8,0.118,10,73.5,82.09,90.71,55.455,54.368,5.0
7.398,8.825,45.7,37.0,1.026,1.132,0.697,0.684,714.8,7.4,33,81,0,35,57,0,87,37,0,0,30,7,2,4,30,14,1,0,6,3,0,1,51,0,4,3.7,0.092,8,75.5,83.09,91.71,56.455,55.368,4.9
7.398,9.51,47.1,32.4,1.038,1.133,0.712,0.71,646.67,8.8,33,68,0,35,51,0,73,32,0,0,29,3,2,4,22,14,1,0,6,3,0,1,46,0,4,4.4,0.096,7,69.5,70.556,77.049,48.409,48.261,5.9
7.222,9.399,45.8,33.3,1.038,1.134,0.703,0.701,676.7,8.3,33,72,0,35,53,0,77,33,0,0,29,4,2,4,24,15,1,0,6,4,0,1,48,0,4,5.6,0.13,10,71.5,74.767,81.673,50.625,50.503,5.6
7.301,9.279,46.3,34.3,1.035,1.134,0.704,0.698,621.66,7.5,27,67,0,30,49,0,72,31,0,0,26,5,3,4,23,13,1,0,5,3,0,1,44,0,4,4.5,0.083,6,65.5,69.338,75.966,47.165,46.766,6.0
4.301,7.416,37.3,45.8,1.009,1.14,0.644,0.62,437.56,11.9,16,59,0,17,36,0,63,22,0,0,12,10,1,0,27,10,0,0,7,3,0,0,32,0,0,5.1,0.063,4,45.0,59.531,67.268,38.017,36.562,0.0
4.301,7.054,36.8,48.5,1.003,1.14,0.637,0.605,479.65,10.3,16,68,0,17,39,0,72,25,0,0,12,13,1,0,33,10,0,0,7,3,0,0,35,0,0,4.4,0.069,5,48.0,68.181,77.514,43.302,41.143,0.0
