pXC50,nAB,nBM
5.301,22,26
5.301,12,16
4.585,16,19
4.301,16,19
4.699,16,19
4.301,16,19
9.0,16,19
5.398,6,7
5.398,6,6
5.097,6,6
5.523,6,6
4.357,16,16
5.585,16,16
5.854,16,16
4.842,16,16
4.444,16,16
4.921,16,16
4.0,10,12
5.602,10,13
4.0,10,12
4.0,10,13
4.0,18,21
4.78,0,1
4.643,0,2
4.916,0,8
4.398,12,15
4.398,11,14
5.0,28,31
5.0,28,29
5.0,28,29
5.0,28,29
5.0,28,29
4.903,0,5
5.161,6,12
4.706,6,9
6.545,0,6
4.398,0,6
4.492,0,6
5.721,0,6
5.481,0,6
5.0,28,30
4.0,6,9
4.301,0,6
4.18,0,2
4.545,11,13
5.301,16,16
6.0,16,16
4.201,17,18
5.585,0,0
5.523,6,8
5.155,6,6
6.0,6,6
4.347,0,1
4.398,17,18
4.753,0,3
5.367,0,3
4.301,12,17
4.602,6,9
4.701,6,9
5.456,0,6
5.721,0,6
5.102,12,15
5.0,28,29
5.0,28,29
5.0,28,29
5.0,12,13
5.0,6,10
5.0,6,12
5.0,28,29
5.432,0,4
5.0,28,29
4.678,16,19
5.051,6,9
4.398,11,14
5.301,6,8
5.638,0,6
4.0,12,15
5.699,0,6
6.081,12,14
4.169,16,16
4.036,16,16
4.553,12,12
4.699,28,31
4.699,23,26
4.699,23,26
4.0,0,6
4.0,17,20
4.745,17,18
4.032,21,22
4.495,17,20
4.699,0,2
4.0,17,20
4.0,11,14
