pXC50,Sp,Sv,C.,nBT,nSK,N.,nN,MW,nHM,nBO,nAB,nO,nBM,Si,nH,RBN,nAT,Se,nX,X.,nS,O.,nF,nCsp2,RBF,Mp,nDB,SCBO,nC,Mi
8.0,43.495,40.366,34.8,68,34,4.5,3,509.62,2,36,11,6,14,74.623,32,13,66,66.574,0,0.0,1,9.1,0,11,0.191,0.659,3,44.5,23,1.131
5.092,34.318,33.325,41.5,55,29,0.0,0,400.46,0,31,15,7,17,59.448,24,6,53,53.894,0,0.0,0,13.2,0,14,0.109,0.648,2,40.5,22,1.122
5.222,34.318,33.325,41.5,55,29,0.0,0,400.46,0,31,15,7,17,59.448,24,6,53,53.894,0,0.0,0,13.2,0,14,0.109,0.648,2,40.5,22,1.122
8.0,47.017,43.419,34.7,74,36,4.2,3,537.68,2,38,11,6,14,81.453,36,13,72,72.341,0,0.0,1,8.3,0,11,0.176,0.653,3,46.5,25,1.131
8.0,39.972,37.312,35.0,62,32,5.0,3,481.56,2,34,11,6,14,67.793,28,13,60,60.807,0,0.0,1,10.0,0,11,0.21,0.666,3,42.5,21,1.13
9.0,42.432,40.048,34.4,66,35,6.3,4,524.59,2,37,11,7,15,72.5,29,14,64,65.236,0,0.0,1,10.9,0,12,0.212,0.663,4,46.5,22,1.133
8.699,44.193,41.575,34.3,69,36,6.0,4,538.62,2,38,11,7,15,75.916,31,14,67,68.12,0,0.0,1,10.4,0,12,0.203,0.66,4,47.5,23,1.133
7.959,51.239,47.682,34.2,81,40,5.1,4,594.74,2,42,11,7,15,89.576,39,16,79,79.654,0,0.0,1,8.9,0,12,0.198,0.649,4,51.5,27,1.134
8.097,41.733,38.839,34.9,65,33,4.8,3,495.59,2,35,11,6,14,71.208,30,13,63,63.691,0,0.0,1,9.5,0,11,0.2,0.662,3,43.5,22,1.13
7.959,43.495,40.366,34.8,68,34,4.5,3,509.62,2,36,11,6,14,74.623,32,14,66,66.574,0,0.0,1,9.1,0,11,0.206,0.659,3,44.5,23,1.131
7.796,24.188,22.91,31.4,37,21,8.6,3,331.32,2,23,10,5,11,39.677,14,3,35,36.295,0,0.0,1,14.3,0,7,0.081,0.691,1,29.0,11,1.134
7.0,24.244,22.206,34.3,36,19,2.9,1,301.33,2,20,10,4,11,39.301,16,4,35,35.531,0,0.0,1,11.4,0,7,0.111,0.693,1,26.0,12,1.123
6.398,26.006,23.733,34.2,39,20,2.6,1,315.36,2,21,10,4,11,42.716,18,5,38,38.414,0,0.0,1,10.5,0,7,0.128,0.684,1,27.0,13,1.124
5.921,25.244,23.206,36.1,37,20,2.8,1,313.34,2,21,10,4,12,40.301,16,5,36,36.531,0,0.0,1,11.1,0,9,0.135,0.701,2,28.0,13,1.119
6.658,24.699,22.921,33.3,37,20,2.8,1,317.33,2,21,10,5,11,40.511,16,5,36,36.858,0,0.0,1,13.9,0,7,0.135,0.686,1,27.0,12,1.125
6.301,22.483,20.679,34.4,33,18,3.1,1,287.3,2,19,10,4,11,35.886,14,4,32,32.647,0,0.0,1,12.5,0,7,0.121,0.703,1,25.0,11,1.121
6.745,23.341,21.507,34.4,33,19,3.1,1,321.74,3,20,10,4,11,35.83,13,4,32,32.971,1,3.1,1,12.5,0,7,0.121,0.729,1,26.0,11,1.12
7.097,23.835,21.704,34.4,33,19,3.1,1,366.19,3,20,10,4,11,35.728,13,4,32,32.876,1,3.1,1,12.5,0,7,0.121,0.745,1,26.0,11,1.116
6.051,25.892,23.393,33.3,37,20,2.8,1,333.4,3,21,10,4,11,40.221,16,5,36,36.607,0,0.0,2,11.1,0,7,0.135,0.719,1,27.0,12,1.117
5.699,23.727,22.174,36.4,34,20,6.1,2,312.31,2,21,10,4,12,36.969,13,4,33,33.865,0,0.0,1,12.1,0,7,0.118,0.719,1,29.0,12,1.12
6.0,25.25,23.227,32.4,38,20,5.4,2,316.35,2,21,10,4,11,41.8,17,5,37,37.633,0,0.0,1,10.8,0,7,0.132,0.682,1,27.0,12,1.13
5.0,26.705,24.942,33.3,40,22,5.1,2,344.36,2,23,10,5,12,44.009,17,5,39,39.96,0,0.0,1,12.8,0,8,0.125,0.685,2,30.0,13,1.128
5.561,24.943,23.415,33.3,37,21,5.6,2,330.33,2,22,10,5,12,40.594,15,5,36,37.076,0,0.0,1,13.9,0,8,0.135,0.693,2,29.0,12,1.128
6.301,26.136,23.888,33.3,37,21,5.6,2,346.4,3,22,10,4,12,40.304,15,5,36,36.825,0,0.0,2,11.1,0,8,0.135,0.726,2,29.0,12,1.12
4.87,30.006,27.733,40.5,44,24,2.4,1,363.4,2,26,16,4,17,46.716,18,5,42,42.414,0,0.0,1,9.5,0,13,0.114,0.714,1,35.0,17,1.112
5.097,28.892,26.393,38.5,41,23,2.6,1,369.43,3,25,15,4,16,43.221,16,5,39,39.607,0,0.0,2,10.3,0,11,0.122,0.741,1,33.5,15,1.108
5.301,29.25,27.227,39.0,43,24,4.9,2,364.39,2,26,16,4,17,45.8,17,5,41,41.633,0,0.0,1,9.8,0,12,0.116,0.713,1,35.0,16,1.117
6.347,16.443,15.593,31.8,23,15,9.1,2,246.2,2,16,10,4,11,24.724,7,2,22,23.215,0,0.0,1,18.2,0,7,0.087,0.747,1,22.0,7,1.124
6.921,18.205,17.12,32.0,26,16,8.0,2,260.23,2,17,10,4,11,28.139,9,2,25,26.098,0,0.0,1,16.0,0,7,0.077,0.728,1,23.0,8,1.126
6.301,18.659,17.835,30.8,27,17,7.7,2,276.23,2,18,10,5,11,29.348,9,3,26,27.426,0,0.0,1,19.2,0,7,0.111,0.718,1,24.0,8,1.129
7.523,21.727,20.174,32.3,32,18,6.5,2,288.29,2,19,10,4,11,34.969,13,4,31,31.865,0,0.0,1,12.9,0,7,0.125,0.701,1,25.0,10,1.128
7.553,21.727,20.174,32.3,32,18,6.5,2,288.29,2,19,10,4,11,34.969,13,3,31,31.865,0,0.0,1,12.9,0,7,0.094,0.701,1,25.0,10,1.128
7.658,26.182,24.888,38.9,38,23,5.6,2,352.33,2,25,16,5,17,40.179,13,4,36,37.193,0,0.0,1,13.9,0,13,0.105,0.727,1,34.0,14,1.116
